date,browser,os,visits
2024-01-04,Chrome,Windows,378669
2024-01-04,Edge,Windows,203714
2024-01-04,Chrome,Linux,188737
2024-01-04,Safari,iOS,158101
2024-01-04,Chrome,Android,102841
2024-01-04,Chrome,Macintosh,68113
2024-01-04,Safari,Macintosh,45147
2024-01-04,Chrome,iOS,21992
2024-01-04,Firefox,Windows,21593
2024-01-04,Chrome,Chrome OS,13738
2024-01-04,Samsung Internet,Android,8962
2024-01-04,Firefox,Macintosh,3854
2024-01-04,Firefox,Linux,3787
2024-01-04,Android Webview,Android,2522
2024-01-04,Safari (in-app),iOS,2453
2024-01-04,(not set),(not set),1365
2024-01-04,Opera,Windows,1037
2024-01-04,Edge,Android,1017
2024-01-04,Amazon Silk,Android,933
2024-01-04,Firefox,Android,817
2024-01-04,Internet Explorer,Windows,764
2024-01-04,Edge,Macintosh,750
2024-01-04,Opera,Android,292
2024-01-04,Safari,Linux,251
2024-01-04,Samsung Internet,Linux,250
2024-01-04,Mozilla Compatible Agent,Macintosh,174
2024-01-04,Edge,Linux,84
2024-01-04,Opera,Macintosh,76
2024-01-04,Android Runtime,Android,69
2024-01-04,YaBrowser,Windows,67
2024-01-04,Whale Browser,Windows,60
2024-01-04,Opera Mini,(not set),45
2024-01-04,Mozilla Compatible Agent,(not set),38
2024-01-04,YaBrowser,Android,32
2024-01-04,UC Browser,Android,22
2024-01-04,Coc Coc,Windows,21
2024-01-04,Opera Mini,Android,20
2024-01-04,Safari,Windows,20
2024-01-04,YaBrowser,iOS,20
2024-01-04,Opera,Linux,16
2024-01-04,Samsung Internet,Tizen,16
2024-01-04,(not set),iOS,15
2024-01-04,Android Browser,Android,15
2024-01-04,Chrome,Fuchsia,15
2024-01-04,(not set),Windows,11
2024-01-04,Chrome,(not set),11
2024-01-04,Firefox,OS/2,11
2024-01-04,Whale Browser,Android,10
2024-01-04,Firefox,Firefox OS,9
2024-01-04,Aloha Browser,iOS,8
2024-01-04,Aloha Browser,Android,7
2024-01-04,SeaMonkey,Windows,7
2024-01-04,Vivaldi,Windows,7
2024-01-04,Lynx,(not set),6
2024-01-04,DuckDuckGo Browser,iOS,5
2024-01-04,Safari,Playstation 4,5
2024-01-04,Iron,iOS,4
2024-01-04,Meta Quest Browser,Linux,4
2024-01-04,Mozilla,Linux,4
2024-01-04,Safari,SymbianOS,4
2024-01-04,UC Browser,iOS,4
2024-01-04,YaBrowser,Macintosh,4
2024-01-04,Firefox,FreeBSD,3
2024-01-04,PaleMoon,Windows,3
2024-01-04,Puffin,Linux,3
2024-01-04,(not set),Linux,2
2024-01-04,BlackBerry,BlackBerry,2
2024-01-04,Konqueror,Linux,2
2024-01-04,NetFront,Sony,2
2024-01-04,Safari,(not set),2
2024-01-04,Waterfox,Windows,2
2024-01-04,(not set),Android,1
2024-01-04,(not set),FreeBSD,1
2024-01-04,(not set),MOT,1
2024-01-04,(not set),Nokia,1
2024-01-04,(not set),Sony,1
2024-01-04,Chrome,Mac OS,1
2024-01-04,Chrome,OpenBSD,1
2024-01-04,Coc Coc,Macintosh,1
2024-01-04,Galeon,Linux,1
2024-01-04,Internet Explorer,Windows Phone,1
2024-01-04,Maxthon,Windows,1
2024-01-04,Mozilla,FreeBSD,1
2024-01-04,Mozilla,Windows,1
2024-01-04,Mozilla Compatible Agent,Chrome OS,1
2024-01-04,Mozilla Compatible Agent,Linux,1
2024-01-04,Mozilla Compatible Agent,Windows,1
2024-01-04,Opera,Nintendo Wii,1
2024-01-04,Opera Mini,Samsung,1
2024-01-04,Phoenix Browser,Android,1
2024-01-04,Playstation 3,Playstation 3,1
2024-01-04,Puffin,Windows,1
2024-01-04,Safari,OS/2,1
2024-01-04,SeaMonkey,Linux,1
2024-01-04,Seznam,Android,1
2024-01-04,UC Browser,SymbianOS,1
2024-01-04,Vivaldi,Macintosh,1
2024-01-03,Chrome,Windows,376347
2024-01-03,Edge,Windows,215957
2024-01-03,Safari,iOS,168836
2024-01-03,Chrome,Android,112739
2024-01-03,Chrome,Linux,87269
2024-01-03,Chrome,Macintosh,69110
2024-01-03,Safari,Macintosh,46548
2024-01-03,Chrome,iOS,24202
2024-01-03,Firefox,Windows,21554
2024-01-03,Chrome,Chrome OS,12305
2024-01-03,Samsung Internet,Android,9171
2024-01-03,Firefox,Macintosh,3756
2024-01-03,Firefox,Linux,3490
2024-01-03,Android Webview,Android,2511
2024-01-03,Safari (in-app),iOS,2309
2024-01-03,(not set),(not set),1460
2024-01-03,Opera,Windows,1058
2024-01-03,Amazon Silk,Android,1001
2024-01-03,Edge,Android,965
2024-01-03,Firefox,Android,825
2024-01-03,Edge,Macintosh,691
2024-01-03,Internet Explorer,Windows,670
2024-01-03,Opera,Android,312
2024-01-03,Samsung Internet,Linux,287
2024-01-03,Safari,Linux,264
2024-01-03,Mozilla Compatible Agent,Macintosh,179
2024-01-03,Opera,Macintosh,94
2024-01-03,Edge,Linux,76
2024-01-03,YaBrowser,Windows,56
2024-01-03,Whale Browser,Windows,51
2024-01-03,Android Runtime,Android,50
2024-01-03,Opera Mini,(not set),41
2024-01-03,UC Browser,Android,35
2024-01-03,YaBrowser,Android,32
2024-01-03,Opera,Linux,23
2024-01-03,YaBrowser,iOS,19
2024-01-03,Coc Coc,Windows,17
2024-01-03,Opera Mini,Android,17
2024-01-03,Safari,Windows,17
2024-01-03,Whale Browser,Android,16
2024-01-03,(not set),iOS,13
2024-01-03,Android Browser,Android,13
2024-01-03,Chrome,Fuchsia,13
2024-01-03,Firefox,Firefox OS,12
2024-01-03,Chrome,(not set),11
2024-01-03,(not set),Windows,7
2024-01-03,UC Browser,iOS,7
2024-01-03,Mozilla Compatible Agent,Linux,6
2024-01-03,PaleMoon,Windows,6
2024-01-03,Samsung Internet,Tizen,6
2024-01-03,Vivaldi,Windows,6
2024-01-03,(not set),Nokia,5
2024-01-03,Aloha Browser,iOS,5
2024-01-03,Firefox,OS/2,5
2024-01-03,Mozilla,Windows,5
2024-01-03,Chrome,FreeBSD,4
2024-01-03,Iron,iOS,4
2024-01-03,Phoenix Browser,Android,4
2024-01-03,Whale Browser,Macintosh,4
2024-01-03,Meta Quest Browser,Linux,3
2024-01-03,Safari,Playstation 4,3
2024-01-03,Safari,SymbianOS,3
2024-01-03,(not set),Sony,2
2024-01-03,Aloha Browser,Windows,2
2024-01-03,BrowserNG,SymbianOS,2
2024-01-03,Coc Coc,Android,2
2024-01-03,Internet Explorer,Windows Phone,2
2024-01-03,Mozilla,Linux,2
2024-01-03,SeaMonkey,Windows,2
2024-01-03,Aloha Browser,Android,1
2024-01-03,BlackBerry,BlackBerry,1
2024-01-03,Blazer,PalmOS,1
2024-01-03,Chrome,OpenBSD,1
2024-01-03,Chrome,UNIX,1
2024-01-03,Coc Coc,Macintosh,1
2024-01-03,DuckDuckGo Browser,Macintosh,1
2024-01-03,DuckDuckGo Browser,iOS,1
2024-01-03,Edge,Xbox,1
2024-01-03,IE with Chrome Frame,Windows,1
2024-01-03,Konqueror,NetBSD,1
2024-01-03,Lynx,(not set),1
2024-01-03,Maxthon,Windows,1
2024-01-03,Mozilla Compatible Agent,(not set),1
2024-01-03,Mozilla Compatible Agent,Android,1
2024-01-03,Mozilla Compatible Agent,Chrome OS,1
2024-01-03,NetFront,Samsung,1
2024-01-03,Netscape,SunOS,1
2024-01-03,Opera,BlackBerry,1
2024-01-03,Opera,Nintendo Wii,1
2024-01-03,Puffin,Linux,1
2024-01-03,Puffin,iOS,1
2024-01-03,Safari,OS/2,1
2024-01-03,Waterfox,Windows,1
2024-01-03,YaBrowser,Linux,1
2024-01-02,Chrome,Windows,364013
2024-01-02,Edge,Windows,191029
2024-01-02,Chrome,Linux,184535
2024-01-02,Safari,iOS,163798
2024-01-02,Chrome,Android,102755
2024-01-02,Chrome,Macintosh,67104
2024-01-02,Safari,Macintosh,47050
2024-01-02,Chrome,iOS,21764
2024-01-02,Firefox,Windows,19351
2024-01-02,Chrome,Chrome OS,9304
2024-01-02,Samsung Internet,Android,9042
2024-01-02,Firefox,Macintosh,3547
2024-01-02,Android Webview,Android,2533
2024-01-02,Firefox,Linux,2335
2024-01-02,(not set),(not set),2003
2024-01-02,Safari (in-app),iOS,1982
2024-01-02,Opera,Windows,992
2024-01-02,Amazon Silk,Android,962
2024-01-02,Edge,Android,936
2024-01-02,Edge,Macintosh,783
2024-01-02,Firefox,Android,775
2024-01-02,Internet Explorer,Windows,641
2024-01-02,Opera,Android,322
2024-01-02,Samsung Internet,Linux,287
2024-01-02,Safari,Linux,254
2024-01-02,Mozilla Compatible Agent,Macintosh,183
2024-01-02,Edge,Linux,82
2024-01-02,Opera,Macintosh,77
2024-01-02,Android Runtime,Android,52
2024-01-02,YaBrowser,Windows,47
2024-01-02,Whale Browser,Windows,39
2024-01-02,Opera Mini,(not set),35
2024-01-02,YaBrowser,Android,25
2024-01-02,Coc Coc,Windows,21
2024-01-02,UC Browser,Android,21
2024-01-02,Opera,Linux,17
2024-01-02,Opera Mini,Android,15
2024-01-02,Whale Browser,Android,15
2024-01-02,Safari,Windows,12
2024-01-02,(not set),iOS,11
2024-01-02,Android Browser,Android,10
2024-01-02,Chrome,(not set),10
2024-01-02,Chrome,Fuchsia,10
2024-01-02,Firefox,Firefox OS,10
2024-01-02,Firefox,OS/2,8
2024-01-02,Samsung Internet,Tizen,7
2024-01-02,Aloha Browser,iOS,6
2024-01-02,Mozilla Compatible Agent,(not set),6
2024-01-02,UC Browser,iOS,6
2024-01-02,Vivaldi,Windows,6
2024-01-02,YaBrowser,iOS,6
2024-01-02,Mozilla,Windows,5
2024-01-02,SeaMonkey,Windows,5
2024-01-02,PaleMoon,Windows,4
2024-01-02,Safari,SymbianOS,4
2024-01-02,Aloha Browser,Android,3
2024-01-02,Internet Explorer,Windows Phone,3
2024-01-02,Meta Quest Browser,Linux,3
