date,screen_resolution,visits
2024-01-04,1920x1080,279878
2024-01-04,1360x1020,171175
2024-01-04,1536x864,72802
2024-01-04,1280x720,61184
2024-01-04,1440x900,54670
2024-01-04,390x844,50465
2024-01-04,1366x768,43546
2024-01-04,428x926,28521
2024-01-04,800x600,27548
2024-01-04,430x932,24764
2024-01-04,414x896,23659
2024-01-04,2560x1440,21952
2024-01-04,393x852,16929
2024-01-04,375x812,16763
2024-01-04,412x915,15886
2024-01-04,1600x900,15402
2024-01-04,1680x1050,14741
2024-01-04,1920x1200,14584
2024-01-04,360x800,11838
2024-01-04,1280x960,11713
2024-01-04,1280x800,10881
2024-01-04,1024x768,9074
2024-01-04,375x667,8896
2024-01-04,3440x1440,8795
2024-01-04,360x780,7944
2024-01-04,1280x1024,7524
2024-01-04,1536x960,6045
2024-01-04,810x1080,6014
2024-01-04,385x854,5302
2024-01-04,384x857,5193
2024-01-04,412x892,4956
2024-01-04,2048x1152,4837
2024-01-04,384x824,4835
2024-01-04,1512x982,4556
2024-01-04,320x693,4443
2024-01-04,2560x1080,4342
2024-01-04,384x854,4219
2024-01-04,768x1024,4184
2024-01-04,1470x956,3937
2024-01-04,1728x1117,3802
2024-01-04,384x832,3649
2024-01-04,1024x1366,3500
2024-01-04,412x883,3383
2024-01-04,393x873,3099
2024-01-04,820x1180,3002
2024-01-04,412x869,2912
2024-01-04,1792x1120,2795
2024-01-04,414x736,2779
2024-01-04,320x712,2573
2024-01-04,1368x912,2373
2024-01-04,432x960,2121
2024-01-04,834x1194,2053
2024-01-04,1504x1003,2015
2024-01-04,360x760,1930
2024-01-04,2240x1260,1868
2024-01-04,320x568,1708
2024-01-04,412x846,1670
2024-01-04,1360x768,1658
2024-01-04,1600x2000,1601
2024-01-04,360x740,1548
2024-01-04,1707x1067,1501
2024-01-04,1707x960,1434
2024-01-04,360x720,1374
2024-01-04,360x772,1344
2024-01-04,393x851,1255
2024-01-04,360x640,1237
2024-01-04,1440x960,1208
2024-01-04,2752x1152,1198
2024-01-04,320x694,1186
2024-01-04,3840x1080,1171
2024-01-04,432x984,1153
2024-01-04,360x806,1100
2024-01-04,1710x1107,1091
2024-01-04,1080x1920,1066
2024-01-04,834x1112,1061
2024-01-04,320x640,1011
2024-01-04,1536x865,997
2024-01-04,360x880,983
2024-01-04,1517x852,982
2024-01-04,360x820,976
2024-01-04,3840x1600,929
2024-01-04,1664x1110,917
2024-01-04,339x753,916
2024-01-04,1024x1024,905
2024-01-04,5120x1440,852
2024-01-04,1098x618,830
2024-01-04,1536x1024,816
2024-01-04,1300x2000,786
2024-01-04,385x824,760
2024-01-04,1344x840,748
2024-01-04,1300x730,745
2024-01-04,347x772,732
2024-01-04,412x938,726
2024-01-04,377x837,701
2024-01-04,800x1280,696
2024-01-04,3840x2160,687
2024-01-04,2195x1235,618
2024-01-04,1500x1000,580
2024-01-04,2294x960,573
2024-01-04,345x883,566
2024-01-04,360x803,563
2024-01-04,1024x2160,546
2024-01-04,1093x615,485
2024-01-04,320x687,477
2024-01-04,1746x982,468
2024-01-04,339x735,450
2024-01-04,1280x721,447
2024-01-04,601x962,445
2024-01-04,1600x1200,440
2024-01-04,2560x1441,433
2024-01-04,320x676,409
2024-01-04,534x854,400
2024-01-04,691x829,385
2024-01-04,1280x854,383
2024-01-04,388x861,381
2024-01-04,3072x1728,369
2024-01-04,448x998,368
2024-01-04,744x1133,367
2024-01-04,320x714,361
2024-01-04,424x942,361
2024-01-04,1685x948,357
2024-01-04,361x722,342
2024-01-04,412x823,342
2024-01-04,360x804,341
2024-01-04,2560x1600,339
2024-01-04,1241x697,334
2024-01-04,2048x1153,334
2024-01-04,320x658,333
2024-01-04,412x918,332
2024-01-04,1494x934,319
2024-01-04,485x1076,317
2024-01-04,360x825,315
2024-01-04,376x835,314
2024-01-04,352x781,311
2024-01-04,412x1006,310
2024-01-04,1152x720,290
2024-01-04,360x796,288
2024-01-04,1187x667,271
2024-01-04,339x727,267
2024-01-04,412x877,267
2024-01-04,412x732,264
2024-01-04,3008x1692,262
2024-01-04,1715x965,260
2024-01-04,1620x1080,259
2024-01-04,1280x768,258
2024-01-04,320x729,257
2024-01-04,1600x1067,245
2024-01-04,1024x640,241
2024-01-04,1537x864,241
2024-01-04,1463x823,238
2024-01-04,1496x967,237
2024-01-04,2056x1329,236
2024-01-04,1477x831,230
2024-01-04,1440x810,229
2024-01-04,352x800,227
2024-01-04,320x872,223
2024-01-04,2048x1280,221
2024-01-04,1281x720,220
2024-01-04,1739x979,220
2024-01-04,1229x692,218
2024-01-04,1372x772,218
2024-01-04,388x883,216
2024-01-04,393x876,216
2024-01-04,1383x864,209
2024-01-04,1800x1169,208
2024-01-04,1397x786,207
2024-01-04,1744x770,205
2024-01-04,2048x864,201
2024-01-04,1700x956,191
2024-01-04,1352x878,189
2024-01-04,2561x1440,189
2024-01-04,339x756,189
2024-01-04,320x569,186
2024-01-04,674x842,185
2024-01-04,1829x1029,181
2024-01-04,1423x800,180
2024-01-04,1280x832,179
2024-01-04,346x768,175
2024-01-04,1024x576,173
2024-01-04,601x1007,165
2024-01-04,800x1334,165
2024-01-04,915x412,164
2024-01-04,3072x1280,162
2024-01-04,1200x800,161
2024-01-04,2048x1080,161
2024-01-04,384x811,160
2024-01-04,1762x991,158
2024-01-04,1795x1010,158
2024-01-04,1642x924,157
2024-01-04,2000x2000,157
2024-01-04,1676x943,156
2024-01-04,1708x960,155
2024-01-04,4096x1152,155
2024-01-04,385x769,154
2024-01-04,1120x700,149
2024-01-04,2144x1206,148
2024-01-04,1463x915,144
2024-01-04,1200x1920,143
2024-01-04,1812x1019,143
2024-01-04,1730x973,142
2024-01-04,1440x2560,139
2024-01-04,1760x990,138
2024-01-04,1628x916,137
2024-01-04,1348x758,136
2024-01-04,2400x1350,136
2024-01-04,1670x940,135
2024-01-04,1152x864,134
2024-01-04,3360x1890,133
2024-01-04,486x1079,133
2024-01-04,1067x600,131
2024-01-04,2560x1067,129
2024-01-04,339x716,129
2024-01-04,350x738,129
2024-01-04,3840x1200,129
2024-01-04,320x783,128
2024-01-04,1561x879,127
2024-01-04,360x771,123
2024-01-04,962x601,123
2024-01-04,1408x792,122
2024-01-04,320x570,122
2024-01-04,1549x871,121
2024-01-04,1710x1112,120
2024-01-04,1220x686,119
2024-01-04,1334x800,118
2024-01-04,1024x820,117
2024-01-04,1376x774,116
2024-01-04,1280x649,115
2024-01-04,350x699,113
2024-01-04,509x1130,113
2024-01-04,1290x860,112
2024-01-04,1536x961,111
2024-01-04,1883x1059,111
2024-01-04,1164x655,109
2024-01-04,1205x753,109
2024-01-04,424x918,109
2024-01-04,1138x639,108
2024-01-04,640x1024,108
2024-01-04,1280x1400,106
2024-01-04,3200x1800,105
2024-01-04,1614x908,104
2024-01-04,1312x848,102
2024-01-04,1603x902,102
2024-01-04,376x814,102
2024-01-04,582x931,101
2024-01-04,1847x1039,100
2024-01-04,1050x1680,99
2024-01-04,1587x893,99
2024-01-04,384x768,99
2024-01-04,753x1205,99
2024-01-04,1440x932,97
2024-01-04,1524x858,97
2024-01-04,1396x785,95
2024-01-04,393x895,95
2024-01-04,1455x819,93
2024-01-04,412x960,93
2024-01-04,800x360,93
2024-01-04,1865x1049,92
2024-01-04,1639x922,91
2024-01-04,1756x1098,91
2024-01-04,1400x1050,89
2024-01-04,1466x825,89
2024-01-04,712x1138,89
2024-01-04,1300x731,87
2024-01-04,1778x1000,87
2024-01-04,393x786,87
2024-01-04,412x922,86
2024-01-04,1098x686,85
2024-01-04,1475x830,84
2024-01-04,1489x838,84
2024-01-04,1728x972,84
2024-01-04,1799x790,84
2024-01-04,1966x823,84
2024-01-04,2049x1152,83
2024-01-04,3414x960,83
2024-01-04,1392x783,82
2024-01-04,509x1158,82
2024-01-04,1143x643,81
2024-01-04,1512x851,81
2024-01-04,377x816,81
2024-01-04,1138x640,80
2024-01-04,485x1049,80
2024-01-04,1680x945,79
2024-01-04,432x964,79
2024-01-04,1740x979,78
2024-01-04,385x833,78
2024-01-04,1128x752,77
2024-01-04,1200x675,77
2024-01-04,1410x940,76
2024-01-04,600x1024,76
2024-01-04,1450x816,75
2024-01-04,1537x865,75
2024-01-04,1600x1000,75
2024-01-04,2880x1620,75
2024-01-04,960x540,75
2024-01-04,1707x720,74
2024-01-04,1239x697,73
2024-01-04,3414x1440,72
2024-01-04,1200x750,71
2024-01-04,1476x830,71
2024-01-04,1574x886,71
2024-01-04,339x829,71
2024-01-04,1182x665,70
2024-01-04,1410x793,70
2024-01-04,960x600,70
2024-01-04,1366x912,68
2024-01-04,1433x806,68
2024-01-04,1707x961,68
2024-01-04,640x480,68
2024-01-04,1600x1600,67
2024-01-04,1805x1204,67
2024-01-04,1186x667,66
2024-01-04,1216x684,66
2024-01-04,1280x801,66
2024-01-04,1281x721,66
2024-01-04,1500x844,66
2024-01-04,1830x1029,66
2024-01-04,1255x706,65
2024-01-04,1291x727,65
2024-01-04,1360x765,65
2024-01-04,1382x777,64
2024-01-04,1418x798,64
2024-01-04,385x811,64
2024-01-04,396x880,64
2024-01-04,600x960,64
2024-01-04,1384x779,63
2024-01-04,1478x831,63
2024-01-04,384x939,63
2024-01-04,1720x720,62
2024-01-04,2311x1230,62
2024-01-04,339x697,62
2024-01-04,1147x745,61
2024-01-04,1353x761,61
2024-01-04,393x808,61
2024-01-04,2304x1296,60
2024-01-04,346x692,60
2024-01-04,1092x613,59
2024-01-04,1242x699,59
2024-01-04,1334x750,59
2024-01-04,1336x752,59
2024-01-04,1444x813,59
2024-01-04,1564x1043,59
2024-01-04,407x904,59
2024-01-04,1024x600,58
2024-01-04,1616x909,58
2024-01-04,780x360,58
2024-01-04,1138x712,57
2024-01-04,1318x825,56
2024-01-04,1325x745,56
2024-01-04,1779x1000,56
2024-01-04,385x860,56
2024-01-04,985x554,56
2024-01-04,1095x730,55
2024-01-04,1270x715,55
2024-01-04,1427x951,55
2024-01-04,1920x1280,55
2024-01-04,1260x709,54
2024-01-04,1344x756,54
2024-01-04,1517x853,54
2024-01-04,1671x940,54
2024-01-04,2250x1500,54
2024-01-04,1216x811,53
2024-01-04,1440x3210,53
2024-01-04,1752x1033,53
2024-01-04,360x770,53
2024-01-04,412x919,53
2024-01-04,1123x632,52
2024-01-04,1436x808,52
2024-01-04,1241x698,51
2024-01-04,3072x864,51
2024-01-04,1130x636,50
2024-01-04,1289x725,50
2024-01-04,1313x739,50
2024-01-04,1525x858,50
2024-01-04,1672x872,50
2024-01-04,2752x1153,50
2024-01-04,1746x983,49
2024-01-04,1302x733,48
2024-01-04,1344x841,48
2024-01-04,1720x1440,48
2024-01-04,1799x778,48
2024-01-04,1920x1243,48
2024-01-04,1228x691,47
2024-01-04,1669x938,47
2024-01-04,970x1389,47
2024-01-04,1280x828,46
2024-01-04,1301x732,46
2024-01-04,1492x839,46
2024-01-04,1872x932,46
2024-01-04,393x830,46
2024-01-04,1362x766,45
2024-01-04,1745x981,45
2024-01-04,360x792,45
2024-01-04,1024x1280,44
2024-01-04,1152x648,44
2024-01-04,1728x1080,44
2024-01-04,377x795,44
2024-01-04,384x790,44
2024-01-04,1272x716,43
2024-01-04,1343x756,43
2024-01-04,360x757,43
2024-01-04,1139x640,42
2024-01-04,1371x771,42
2024-01-04,1412x795,42
2024-01-04,320x717,42
2024-01-04,360x756,42
2024-01-04,1562x879,41
2024-01-04,347x791,41
2024-01-04,400x889,41
2024-01-04,486x1052,41
2024-01-04,686x1098,41
2024-01-04,1093x614,40
2024-01-04,1168x657,40
2024-01-04,1181x664,40
2024-01-04,1231x693,40
2024-01-04,375x833,40
2024-01-04,393x875,40
2024-01-04,424x937,40
2024-01-04,444x1010,40
2024-01-04,857x384,40
2024-01-04,1249x703,39
2024-01-04,1402x789,39
2024-01-04,1696x954,39
2024-01-04,1731x973,39
2024-01-04,1901x1070,39
2024-01-04,376x800,39
2024-01-04,377x753,39
2024-01-04,377x858,39
2024-01-04,1120x630,38
2024-01-04,1307x735,38
2024-01-04,1472x828,38
2024-01-04,1600x901,38
2024-01-04,414x920,38
2024-01-04,598x718,38
2024-01-04,1208x680,37
2024-01-04,378x840,37
2024-01-04,590x736,37
2024-01-04,712x320,37
2024-01-04,1088x615,36
2024-01-04,1231x692,36
2024-01-04,1824x1026,36
2024-01-04,1175x661,35
2024-01-04,1210x681,35
2024-01-04,1229x820,35
2024-01-04,2134x1200,35
2024-01-04,854x385,35
2024-01-04,1020x635,34
2024-01-04,1033x581,34
2024-01-04,1106x622,34
2024-01-04,1232x448,34
2024-01-04,1334x889,34
2024-01-04,1677x943,34
2024-01-04,1920x968,34
2024-01-04,378x811,34
2024-01-04,402x1030,34
2024-01-04,557x891,34
2024-01-04,1155x650,33
2024-01-04,1201x676,33
2024-01-04,1264x711,33
2024-01-04,1664x936,33
2024-01-04,2195x915,33
2024-01-04,2328x1310,33
2024-01-04,412x797,33
2024-01-04,424x949,33
2024-01-04,824x384,33
2024-01-04,854x480,33
2024-01-04,892x412,33
2024-01-04,1050x590,32
2024-01-04,1298x730,32
2024-01-04,424x848,32
2024-01-04,458x732,32
2024-01-04,1192x1590,31
2024-01-04,1824x1216,31
2024-01-04,2195x1236,31
2024-01-04,240x320,31
2024-01-04,3072x1729,31
2024-01-04,360x748,31
2024-01-04,829x691,31
2024-01-04,915x515,31
2024-01-04,1085x611,30
2024-01-04,1537x960,30
2024-01-04,854x534,30
2024-01-04,1114x627,29
2024-01-04,1168x755,29
2024-01-04,1280x600,29
2024-01-04,1549x872,29
2024-01-04,1575x886,29
2024-01-04,1588x893,29
2024-01-04,346x736,29
2024-01-04,806x968,29
2024-01-04,883x412,29
2024-01-04,1088x612,28
2024-01-04,1133x638,28
2024-01-04,1173x660,28
2024-01-04,1199x674,28
2024-01-04,1229x768,28
2024-01-04,1280x1696,28
2024-01-04,1464x823,28
2024-01-04,2752x1548,28
2024-01-04,353x765,28
2024-01-04,1504x846,27
2024-01-04,1902x1070,27
2024-01-04,2293x960,27
2024-01-04,3128x1310,27
2024-01-04,432x864,27
2024-01-04,491x1091,27
2024-01-04,686x1143,27
2024-01-04,1007x601,26
2024-01-04,1147x645,26
2024-01-04,1152x2048,26
2024-01-04,1316x740,26
2024-01-04,1327x746,26
2024-01-04,1614x909,26
2024-01-04,1746x1091,26
2024-01-04,1920x1081,26
2024-01-04,1920x1440,26
2024-01-04,2176x1224,26
2024-01-04,2560x720,26
2024-01-04,320x534,26
2024-01-04,320x682,26
2024-01-04,346x749,26
2024-01-04,418x976,26
2024-01-04,501x1114,26
2024-01-04,640x320,26
2024-01-04,825x1318,26
2024-01-04,1024x666,25
2024-01-04,1068x600,25
2024-01-04,1143x686,25
2024-01-04,1178x663,25
