domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.usa.gov,5828645,5150736,9227209,1.5830796008334698,123.19767804744961,0.39759961363232793
sam.gov,4185316,1886882,38648832,9.23438803665004,465.03687432216469,0.2457303104472876
www.gsaadvantage.gov,3145983,2967039,12867894,4.0902617719167589,71.888926909752854,0.051232953261349475
www.gsa.gov,2222449,1364453,4227436,1.9021520853796869,195.91831540778708,0.44339285175947796
search.usa.gov,1868944,1570973,3411328,1.8252703130751911,154.79980179249728,0.36440417690417692
www.login.gov,1740308,1378062,3649161,2.0968477993550567,195.4580384052708,0.36891688137961787
login.gov,1010431,831450,1677771,1.6604508373159572,125.02829078764607,0.44009140653839796
www.acquisition.gov,635156,283872,1806184,2.8436856457311275,372.39880430256505,0.44123490921915248
www.regulations.gov,484802,314823,1914401,3.9488306566392053,250.35925899455862,0.496163382164265
www.fsd.gov,340923,185632,1137882,3.3376510238382275,404.717179465196,0.35174218225229742
www.gsaauctions.gov,310775,203110,2253678,7.2517995334245029,345.55413568348808,0.064915131526023656
gsaauctions.gov,259854,152962,1986637,7.6452046148991357,363.95966089250118,0.071355453446935585
www.reginfo.gov,177987,116676,1747964,9.820739716945619,360.16718472662052,0.49273823369122466
vote.gov,139367,122386,199478,1.4313144431608631,118.06513622627307,0.41854240960916145
data.gov,128110,112694,157951,1.2329326360159238,83.500458466489732,0.54659277183670285
www.gsaelibrary.gsa.gov,122985,63268,425970,3.4635931211123308,375.2657412974184,0.37546042200268326
realestatesales.gov,120765,103650,389983,3.2292717260795762,183.18770599040283,0.24061607253757297
www.usability.gov,114412,80311,130801,1.1432454637625424,143.9035417001713,0.53615879453204207
www.fpds.gov,93021,38588,105856,1.137979596005203,206.70107551711979,0.63414712806785567
www.fai.gov,91005,45624,145712,1.6011427943519587,268.58895004682159,0.43851436734245369
