exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
secure.login.gov/,33589305,74906162,16409184,2.2300598955530635,623.9191955594199,33589305
secure.login.gov/es,6112510,10200459,905527,1.6687840183492542,203.65805029357824,6112510
gsaadvantage.gov/ws/catalog/product_detail,1610701,4370886,1569227,2.7136544895669648,34.284834367148214,1610701
sam.gov/,1420329,7914962,866314,5.572625778956847,220.9436440430351,1420329
secure.login.gov/fr,1041866,1662528,94712,1.5957215227294106,207.57332804794476,1041866
sam.gov/content/home,833669,4861825,480366,5.831840934471595,282.7981153191495,833669
login.gov/,726975,1189072,608691,1.6356435915953094,86.93948347604801,726975
usa.gov/,546600,752915,505509,1.377451518477863,41.491955726308085,546600
gsa.gov/,412955,491736,383756,1.1907738131273384,23.346054654865544,412955
fsd.gov/gsafsd_sp,393266,678257,203171,1.7246774447829205,165.91704851169436,393266
login.gov/help/get-started/authentication-methods/,319393,585152,288023,1.832075217678534,138.56663420926571,319393
gsaadvantage.gov/ws/search/advantage_search,218760,1918952,173623,8.771950996525874,290.23681203145,218760
gsaauctions.gov/auctions/home,201706,713850,161470,3.5390618028219287,97.50772907102416,201706
login.gov/help/specific-agencies/trusted-traveler-programs/,198595,267556,157045,1.3472443918527657,40.413605579193835,198595
login.gov/policy/rules-of-use/,198278,271093,190120,1.3672369097933206,48.42035929351718,198278
usa.gov/unclaimed-money,182064,299318,166697,1.6440262764742068,108.53141752350821,182064
gsa.gov/travel/plan-book/per-diem-rates,147174,287861,109216,1.955922921168141,111.4616780137796,147174
usa.gov/renew-adult-passport,147111,258585,127478,1.757754348757061,140.09891850371488,147111
login.gov/help/,139052,284024,129909,2.0425740010931164,107.32691367258292,139052
data.gov/,122587,145859,99883,1.1898406845750364,72.56723796161094,122587
