domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
sam.gov,/content/home,18321448,1357063,667520,13.500808731798008,665.87197791657,0.1523186469603843
www.gsaadvantage.gov,/advantage/ws/catalog/product_detail,6063224,2662683,2704370,2.27711071877501,15.705566333929223,0.026403819005116267
sam.gov,/search/,5875411,629075,349283,9.3397623494813811,434.74902804612884,0.0493597742717482
sam.gov,/search,2720150,326109,325938,8.3412294662214173,104.19310767827349,0.0038545394331343202
www.gsaadvantage.gov,/advantage/,1971381,149187,121233,13.214160751271894,334.68879696864343,0.21603759040667081
www.gsaadvantage.gov,/advantage/ws/main/start_page,1732648,54918,24708,31.549728686405185,875.40613926710182,0.035616737681634439
www.gsaauctions.gov,/auctions/home,1646040,194004,149886,8.4845724830415872,367.13311136487448,0.014561555431846765
www.gsa.gov,/travel/plan-book/per-diem-rates,1546043,525260,328525,2.9433861325819595,351.18147125007505,0.090549442181015113
sam.gov,/workspace,1422698,65990,33337,21.559312016972267,1205.5142862091609,0.027367782997423852
login.gov,/,1249838,785168,661937,1.5918096509282089,108.39836257494353,0.47055152527866645
gsaauctions.gov,/auctions/home,1207555,143287,101775,8.4275265725432167,387.54293611008939,0.010719744289433095
www.fsd.gov,/gsafsd_sp,1099311,305514,176532,3.5982344507943989,433.60168311891346,0.29646104597497985
www.usa.gov,/,1060612,514306,471015,2.06221782363029,102.2439730076208,0.58029655496922061
sam.gov,/content/exclusions,984911,110321,94854,8.9276837592117548,160.21514174043122,0.0017222468976894698
www.reginfo.gov,/public/do/PRAViewDocument,981990,2335,2076,420.55246252676659,5030.9374681942954,0.25610278372591005
sam.gov,/content/opportunities,756401,75711,58374,9.990635442670154,459.4235485133479,0.26354162539129056
www.login.gov,/help/,720993,242042,222827,2.978788805248676,198.90985620749407,0.17014815610513878
www.login.gov,/help/get-started/authentication-methods/,681638,312073,276218,2.1842261265793579,239.44530526943669,0.32170998452285204
www.gsa.gov,/,651004,409819,363723,1.5885159058023177,97.713875097151018,0.6887040376361272
sam.gov,//expired/,520711,83642,54446,6.2254728485689,297.44540059581806,0.028538294158437148
