domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.gsaadvantage.gov,www.gsaadvantage.gov/advantage/ws/catalog/product_detail,GSA Advantage,2974604,2719629,2746441,1.0937532288411398,5.0105853307139707,0.027259968179483306
sam.gov,sam.gov/content/home,"SAM.gov | Home",2683831,1792870,726514,1.4969473525687864,117.9687282376907,0.14735981973037643
www.gsaadvantage.gov,www.gsaadvantage.gov/ds/error/http_error,null,1666732,1627780,1659573,1.0239295236457016,5.1862341866080506,0
sam.gov,sam.gov/search/,"SAM.gov | Search",1441968,1270840,576306,1.1346573919612224,153.80013489547159,0.084976865695130785
sam.gov,sam.gov/search/,"beta.SAM.gov | Search",1241076,785900,419005,1.5791780124697798,18.234989293494948,0.018509988548161344
sam.gov,sam.gov/workspace/profile/workspace,"SAM.gov | Workspace",1172176,693732,280391,1.6896669030691966,5.15472646090442,0.0063612461296293091
sam.gov,sam.gov/workspace,SAM.gov,1158518,710702,284540,1.63010375656745,67.940363833571723,0.0081848651052058383
login.gov,login.gov/,"The public’s one account for government. | Login.gov",1055517,843981,701375,1.2506407134757773,97.044197082158774,0.45655411673959484
sam.gov,sam.gov/,/,1041545,731358,378394,1.4241247104701118,1.9661575476049822,0.006576806434058286
sam.gov,sam.gov/search/?page=1&pageSize=25&sort=-modifiedDate&sfm%5BsimpleSearch%5D%5BkeywordRadio%5D=ALL&sfm%5Bstatus%5D%5Bis_active%5D=true,"SAM.gov | Search",1033370,690251,343806,1.4970930864279806,15.671586128950013,0.0081535557355222957
www.gsaadvantage.gov,www.gsaadvantage.gov/ws/catalog/product_detail,null,993123,1000080,1004827,0.99304355651547871,5.0601938718516148,0
www.gsa.gov,www.gsa.gov/travel/plan-book/per-diem-rates,"Per Diem Rates | GSA",929401,636469,385207,1.4602455107790011,79.18612123298314,0.098143036031605624
www.gsaadvantage.gov,www.gsaadvantage.gov/ws/catalog/product_detail,ADVANTAGE,782431,135760,71062,5.7633397171479084,120.10341507601281,0.0083750736593989385
sam.gov,sam.gov/workspace/em/entities/non-federal,SAM.gov,760327,344185,162501,2.2090619870127983,130.65247717502277,0.0095065153914319338
sam.gov,sam.gov/search,"beta.SAM.gov | Search",742670,656979,529543,1.1304318707295058,5.8009065118184013,0.0015845255327795865
www.usa.gov,www.usa.gov/,"Making government services easier to find | USAGov",653227,564321,509647,1.1575450851554345,60.515959873149946,0.541767894513938
sam.gov,sam.gov/search/?index=ex&page=1&pageSize=25&sort=-relevance&sfm%5BsimpleSearch%5D%5BkeywordRadio%5D=ALL&sfm%5BsimpleSearch%5D%5BkeywordEditorTextarea%5D=&sfm%5Bstatus%5D%5Bis_active%5D=true&sfm%5Bstatus%5D%5Bis_inactive%5D=false,"SAM.gov | Search",518736,393913,396575,1.3168796155496265,39.918974159044694,0.0030818987949115667
sam.gov,sam.gov/search/?index=ex&page=1&pageSize=25&sort=-relevance&sfm%5BsimpleSearch%5D%5BkeywordRadio%5D=ALL&sfm%5BsimpleSearch%5D%5BkeywordEditorTextarea%5D=&sfm%5Bstatus%5D%5Bis_active%5D=true&sfm%5Bstatus%5D%5Bis_inactive%5D=false&sfm%5BclassificationWrapper%5D%5Bclassification%5D=Individual,"SAM.gov | Search",514150,391222,396317,1.3142154582308765,0.0451014820686346,0.0030673121654712669
www.reginfo.gov,www.reginfo.gov/public/do/PRAViewIC,View Information Collection (IC),511703,4226,3008,121.08447704685281,2105.2903476563215,0.3099858021769995
www.login.gov,www.login.gov/help/get-started/authentication-methods/,"Authentication methods | Login.gov",505057,382748,329855,1.319554902964875,202.72903470272885,0.29788267998787715
