date,os_version,visits
2024-01-04,10,443234
2024-01-04,11,167571
2024-01-04,7,7127
2024-01-04,8.1,1534
2024-01-04,8,284
2024-01-04,XP,107
2024-01-04,Vista,76
2024-01-04,NT,19
2024-01-03,10,431834
2024-01-03,11,164364
2024-01-03,7,7260
2024-01-03,8.1,1730
2024-01-03,8,196
2024-01-03,XP,120
2024-01-03,Vista,32
2024-01-03,NT,13
2024-01-03,(not set),6
2024-01-02,10,414922
2024-01-02,11,154182
2024-01-02,7,6559
2024-01-02,8.1,1610
2024-01-02,8,246
2024-01-02,XP,63
2024-01-02,Vista,44
2024-01-02,NT,19
2024-01-02,2000,6
2024-01-02,ME,6
2024-01-01,10,71087
2024-01-01,11,42068
2024-01-01,7,3819
2024-01-01,8.1,556
2024-01-01,8,63
2024-01-01,NT,19
2024-01-01,Vista,19
2024-01-01,(not set),6
2024-01-01,XP,6
2023-12-31,10,55280
2023-12-31,11,28010
2023-12-31,7,3194
2023-12-31,8.1,562
2023-12-31,8,95
2023-12-31,XP,63
2023-12-31,Vista,19
2023-12-31,NT,13
2023-12-30,10,64421
2023-12-30,11,33419
2023-12-30,7,3838
2023-12-30,8.1,732
2023-12-30,8,82
2023-12-30,XP,57
2023-12-30,NT,25
2023-12-30,Vista,25
2023-12-30,(not set),6
2023-12-30,98,6
2023-12-29,10,192999
2023-12-29,11,77034
2023-12-29,7,4918
2023-12-29,8.1,1187
2023-12-29,8,196
2023-12-29,XP,51
2023-12-29,NT,32
2023-12-29,Vista,13
2023-12-29,Server 2003,6
2023-12-28,10,271598
2023-12-28,11,101104
2023-12-28,7,5524
2023-12-28,8.1,1477
2023-12-28,8,101
2023-12-28,XP,32
2023-12-28,Vista,25
2023-12-28,(not set),6
2023-12-28,CE,6
2023-12-28,NT,6
2023-12-28,Server 2003,6
2023-12-27,10,258070
2023-12-27,11,101502
2023-12-27,7,5498
2023-12-27,8.1,1042
2023-12-27,8,158
2023-12-27,XP,82
2023-12-27,Vista,19
2023-12-27,NT,13
2023-12-27,(not set),6
2023-12-27,2000,6
2023-12-27,Server 2003,6
2023-12-26,10,205138
2023-12-26,11,80967
2023-12-26,7,4469
2023-12-26,8.1,1048
2023-12-26,8,152
2023-12-26,XP,25
2023-12-26,NT,19
2023-12-26,(not set),6
2023-12-26,2000,6
2023-12-26,Vista,6
2023-12-25,10,48387
2023-12-25,11,22568
2023-12-25,7,3106
2023-12-25,8.1,467
2023-12-25,8,69
2023-12-25,Vista,25
2023-12-25,XP,25
2023-12-25,NT,13
2023-12-25,98,6
2023-12-24,10,44511
2023-12-24,11,20649
2023-12-24,7,3270
2023-12-24,8.1,518
2023-12-24,8,51
2023-12-24,NT,19
2023-12-24,XP,19
2023-12-24,(not set),6
2023-12-24,2000,6
2023-12-23,10,58285
2023-12-23,11,26760
2023-12-23,7,3636
2023-12-23,8.1,574
2023-12-23,XP,88
2023-12-23,8,82
2023-12-23,Vista,32
2023-12-22,10,219897
2023-12-22,11,78025
2023-12-22,7,4842
2023-12-22,8.1,1073
2023-12-22,XP,208
2023-12-22,8,170
2023-12-22,NT,13
2023-12-22,Server 2003,6
2023-12-21,10,327933
2023-12-21,11,113351
2023-12-21,7,5675
2023-12-21,8.1,1294
2023-12-21,8,183
2023-12-21,XP,88
2023-12-21,NT,25
2023-12-21,Server 2003,25
2023-12-21,(not set),13
2023-12-21,95,6
2023-12-21,98,6
2023-12-20,10,370708
2023-12-20,11,127176
2023-12-20,7,6092
2023-12-20,8.1,1364
2023-12-20,8,183
2023-12-20,XP,82
