date,mobile_device,visits
2023-09-02,(not set),2468769
2023-09-02,01516,1
2023-09-02,0P3P5,1
2023-09-02,0PCV1,1
2023-09-02,0PM912,1
2023-09-02,1,93
2023-09-02,1 Plus,43
2023-09-02,1.3,80
2023-09-02,1.4,238
2023-09-02,10,2
2023-09-02,"10""",1
2023-09-02,100003561,9
2023-09-02,100003562,16
2023-09-02,100005206,1
2023-09-02,100011885,61
2023-09-02,100011886,59
2023-09-02,100011886A,9
2023-09-02,100015685-A,6
2023-09-02,100015685-E,1
2023-09-02,100026191,14
2023-09-02,100043279,5
2023-09-02,100044018G,6
2023-09-02,100044018P,2
2023-09-02,100071481,41
2023-09-02,100071483,36
2023-09-02,100071485,46
2023-09-02,101 Platinum 3G,1
2023-09-02,1016,1
2023-09-02,101P51C,4
2023-09-02,101b Xenon v2,2
2023-09-02,1050F,4
2023-09-02,1050L,1
2023-09-02,10LB2,1
2023-09-02,10Q,5
2023-09-02,10T,14
2023-09-02,1101 QUAD,1
2023-09-02,11T,8
2023-09-02,1201,4
2023-09-02,1206,1
2023-09-02,13 Lite,10
2023-09-02,1501_M02,1
2023-09-02,16 X,2
2023-09-02,1601,158
2023-09-02,1603-A03,1
2023-09-02,1605-A01,2
2023-09-02,1609,110
2023-09-02,1610,341
2023-09-02,1611,18
2023-09-02,1612,2
2023-09-02,16T,2
2023-09-02,16s,4
2023-09-02,16s Pro,3
2023-09-02,16th,16
2023-09-02,16th Plus,1
2023-09-02,17,2
2023-09-02,17 Pro,7
2023-09-02,1707,1
2023-09-02,1713,120
2023-09-02,1713-A01,8
2023-09-02,1714,165
2023-09-02,1716,182
2023-09-02,1718,187
2023-09-02,1719,11
2023-09-02,1723,277
2023-09-02,1724,248
2023-09-02,1725,6
2023-09-02,1726,259
2023-09-02,1727,114
2023-09-02,1732A,15
2023-09-02,18,1
2023-09-02,18 Pro,1
2023-09-02,1801,185
2023-09-02,1801-A01,1
2023-09-02,1802,182
2023-09-02,1803,299
2023-09-02,1804,313
2023-09-02,1805,13
2023-09-02,1806,128
2023-09-02,1807,375
2023-09-02,1807-A01,2
2023-09-02,1808,61
2023-09-02,18083,1
2023-09-02,1809-A01,1
2023-09-02,1811,758
2023-09-02,1812,191
2023-09-02,1812_19,4
2023-09-02,1814,329
2023-09-02,1815,112
