date,device,visits
2024-01-04,mobile,4261929
2024-01-04,desktop,3469350
2024-01-04,tablet,100915
2024-01-04,smart tv,1027
2024-01-03,mobile,4041625
2024-01-03,desktop,3203175
2024-01-03,tablet,96452
2024-01-03,smart tv,1072
2024-01-02,mobile,3857669
2024-01-02,desktop,3028252
2024-01-02,tablet,90002
2024-01-02,smart tv,869
2024-01-01,mobile,3183004
2024-01-01,desktop,1131216
2024-01-01,tablet,75479
2024-01-01,smart tv,870
2023-12-31,mobile,2850532
2023-12-31,desktop,936413
2023-12-31,tablet,65737
2023-12-31,smart tv,882
2023-12-30,mobile,3244130
2023-12-30,desktop,1113078
2023-12-30,tablet,75126
2023-12-30,smart tv,894
2023-12-29,mobile,3609835
2023-12-29,desktop,1986479
2023-12-29,tablet,81714
2023-12-29,smart tv,949
2023-12-28,mobile,3790610
2023-12-28,desktop,2288882
2023-12-28,tablet,86002
2023-12-28,smart tv,952
2023-12-27,mobile,3789937
2023-12-27,desktop,2334339
2023-12-27,tablet,86820
2023-12-27,smart tv,869
2023-12-26,mobile,3631955
2023-12-26,desktop,1871339
2023-12-26,tablet,74691
2023-12-26,smart tv,800
2023-12-25,mobile,2654375
2023-12-25,desktop,819476
2023-12-25,tablet,56845
2023-12-25,smart tv,823
2023-12-24,mobile,2688300
2023-12-24,desktop,820787
2023-12-24,tablet,59703
2023-12-24,smart tv,867
2023-12-23,mobile,3035399
2023-12-23,desktop,952756
2023-12-23,tablet,67787
2023-12-23,smart tv,918
2023-12-22,mobile,3335912
2023-12-22,desktop,1977520
2023-12-22,tablet,76434
2023-12-22,smart tv,958
2023-12-21,mobile,3642868
2023-12-21,desktop,2651246
2023-12-21,tablet,78971
2023-12-21,smart tv,994
2023-12-20,mobile,3747962
2023-12-20,desktop,2923191
2023-12-20,tablet,86986
2023-12-20,smart tv,994
2023-12-19,mobile,3858419
2023-12-19,desktop,3087914
2023-12-19,tablet,88320
2023-12-19,smart tv,937
2023-12-18,mobile,3874881
2023-12-18,desktop,3231860
2023-12-18,tablet,94372
2023-12-18,smart tv,881
2023-12-17,mobile,3444447
2023-12-17,desktop,1381655
2023-12-17,tablet,87517
2023-12-17,smart tv,918
2023-12-16,mobile,3533946
2023-12-16,desktop,1301435
2023-12-16,tablet,82464
2023-12-16,smart tv,968
2023-12-15,mobile,3905049
2023-12-15,desktop,3221691
2023-12-15,tablet,95789
2023-12-15,smart tv,1204
2023-12-14,mobile,4008485
2023-12-14,desktop,3566735
2023-12-14,tablet,97067
2023-12-14,smart tv,1016
2023-12-13,mobile,4027336
2023-12-13,desktop,3736612
2023-12-13,tablet,98607
2023-12-13,smart tv,1122
2023-12-12,mobile,3924946
2023-12-12,desktop,3855157
2023-12-12,tablet,97477
2023-12-12,smart tv,668
2023-12-11,mobile,4009333
2023-12-11,desktop,3721140
2023-12-11,tablet,98193
2023-12-11,smart tv,387
2023-12-10,mobile,3411899
2023-12-10,desktop,1769476
2023-12-10,tablet,83755
2023-12-10,smart tv,330
2023-12-09,mobile,3336938
2023-12-09,desktop,1456561
2023-12-09,tablet,82100
2023-12-09,smart tv,345
2023-12-08,mobile,3661261
2023-12-08,desktop,3048065
2023-12-08,tablet,90816
2023-12-08,smart tv,359
2023-12-07,desktop,4121805
2023-12-07,mobile,4083113
2023-12-07,tablet,112367
2023-12-07,smart tv,435
2023-12-06,desktop,4384008
2023-12-06,mobile,4367438
2023-12-06,tablet,123083
2023-12-06,smart tv,406
