date,browser,os,visits
2024-01-04,Safari,iOS,1976228
2024-01-04,Chrome,Android,1813176
2024-01-04,Chrome,Windows,1721855
2024-01-04,Edge,Windows,652059
2024-01-04,Safari,Macintosh,328963
2024-01-04,Chrome,iOS,302572
2024-01-04,Chrome,Macintosh,294734
2024-01-04,Chrome,Linux,192259
2024-01-04,Chrome,Chrome OS,120983
2024-01-04,Samsung Internet,Android,102892
2024-01-04,Firefox,Windows,81586
2024-01-04,Safari (in-app),iOS,72920
2024-01-04,Android Webview,Android,43057
2024-01-04,Firefox,Macintosh,19174
2024-01-04,Opera,Windows,10609
2024-01-04,Firefox,Android,10169
2024-01-04,Amazon Silk,Android,7680
2024-01-04,Opera,Android,7106
2024-01-04,Edge,Android,5819
2024-01-04,Firefox,Linux,5686
2024-01-04,Internet Explorer,Windows,3511
2024-01-04,Mozilla Compatible Agent,Macintosh,2462
2024-01-04,Edge,Macintosh,2316
2024-01-04,Samsung Internet,Linux,2261
2024-01-04,(not set),(not set),1939
2024-01-04,UC Browser,Android,1045
2024-01-04,Opera Mini,(not set),857
2024-01-04,Opera,Macintosh,661
2024-01-04,(not set),iOS,583
2024-01-04,YaBrowser,Windows,436
2024-01-04,Coc Coc,Windows,365
2024-01-04,Whale Browser,Windows,322
2024-01-04,Opera Mini,Android,321
2024-01-04,(not set),Android,297
2024-01-04,Edge,Linux,297
2024-01-04,Iron,iOS,260
2024-01-04,Android Runtime,Android,223
2024-01-04,Mozilla,Linux,214
2024-01-04,YaBrowser,Android,201
2024-01-04,Mozilla Compatible Agent,(not set),191
2024-01-04,Opera,Linux,179
2024-01-04,Safari,Linux,178
2024-01-04,Chrome,Fuchsia,167
2024-01-04,Whale Browser,Android,143
2024-01-04,Aloha Browser,iOS,122
2024-01-04,Samsung Internet,Tizen,118
2024-01-03,Safari,iOS,1966975
2024-01-03,Chrome,Windows,1731731
2024-01-03,Chrome,Android,1665216
2024-01-03,Edge,Windows,615936
2024-01-03,Chrome,iOS,305571
2024-01-03,Safari,Macintosh,298430
2024-01-03,Chrome,Macintosh,287010
2024-01-03,Chrome,Linux,179636
2024-01-03,Samsung Internet,Android,99356
2024-01-03,Chrome,Chrome OS,99137
2024-01-03,Safari (in-app),iOS,80007
2024-01-03,Firefox,Windows,75799
2024-01-03,Android Webview,Android,43958
2024-01-03,Firefox,Macintosh,18652
2024-01-03,Opera,Windows,10835
2024-01-03,Firefox,Android,9807
2024-01-03,Firefox,Linux,8041
2024-01-03,Opera,Android,6981
2024-01-03,Amazon Silk,Android,6641
2024-01-03,Edge,Android,5322
2024-01-03,Internet Explorer,Windows,3600
2024-01-03,Mozilla Compatible Agent,Macintosh,2456
2024-01-03,Edge,Macintosh,2371
2024-01-03,Samsung Internet,Linux,2127
2024-01-03,(not set),(not set),2105
2024-01-03,UC Browser,Android,1128
2024-01-03,Opera Mini,(not set),774
2024-01-03,Opera,Macintosh,612
2024-01-03,(not set),iOS,587
2024-01-03,YaBrowser,Windows,419
2024-01-03,Whale Browser,Windows,396
2024-01-03,Coc Coc,Windows,383
2024-01-03,Mozilla,Linux,316
2024-01-03,Opera Mini,Android,289
2024-01-03,Iron,iOS,262
2024-01-03,Edge,Linux,260
2024-01-03,(not set),Android,259
2024-01-03,YaBrowser,Android,210
2024-01-03,Chrome,Fuchsia,182
2024-01-03,Opera,Linux,170
2024-01-03,Android Runtime,Android,169
2024-01-03,Safari,Linux,169
2024-01-03,Whale Browser,Android,137
2024-01-03,Aloha Browser,iOS,107
2024-01-02,Safari,iOS,1859695
2024-01-02,Chrome,Android,1647112
2024-01-02,Chrome,Windows,1529710
2024-01-02,Edge,Windows,592744
2024-01-02,Chrome,iOS,287907
2024-01-02,Safari,Macintosh,284935
2024-01-02,Chrome,Macintosh,263369
2024-01-02,Chrome,Linux,150433
2024-01-02,Samsung Internet,Android,95084
2024-01-02,Firefox,Windows,73760
2024-01-02,Chrome,Chrome OS,69208
2024-01-02,Safari (in-app),iOS,61083
2024-01-02,Android Webview,Android,39921
2024-01-02,Firefox,Macintosh,16390
2024-01-02,Opera,Windows,10044
2024-01-02,Firefox,Android,9413
2024-01-02,Opera,Android,6960
2024-01-02,Amazon Silk,Android,6361
2024-01-02,Firefox,Linux,5595
2024-01-02,Edge,Android,4830
2024-01-02,Internet Explorer,Windows,3376
2024-01-02,Mozilla Compatible Agent,Macintosh,2651
2024-01-02,Edge,Macintosh,2165
2024-01-02,Samsung Internet,Linux,2038
2024-01-02,(not set),(not set),1770
2024-01-02,UC Browser,Android,1125
2024-01-02,Opera Mini,(not set),844
2024-01-02,(not set),iOS,540
2024-01-02,Opera,Macintosh,521
2024-01-02,YaBrowser,Windows,360
2024-01-02,Coc Coc,Windows,359
2024-01-02,Mozilla,Linux,321
2024-01-02,Whale Browser,Windows,310
2024-01-02,Edge,Linux,299
2024-01-02,Opera Mini,Android,281
2024-01-02,Iron,iOS,264
2024-01-02,(not set),Android,254
2024-01-02,Safari,Linux,187
2024-01-02,Opera,Linux,177
2024-01-02,YaBrowser,Android,168
2024-01-02,Chrome,Fuchsia,157
2024-01-02,Whale Browser,Android,119
2024-01-02,Android Runtime,Android,118
2024-01-01,Safari,iOS,1513778
2024-01-01,Chrome,Android,1346429
2024-01-01,Chrome,Windows,455873
2024-01-01,Chrome,iOS,236020
2024-01-01,Safari,Macintosh,193001
2024-01-01,Edge,Windows,140336
2024-01-01,Chrome,Macintosh,133998
2024-01-01,Chrome,Linux,110899
2024-01-01,Samsung Internet,Android,74319
2024-01-01,Safari (in-app),iOS,52350
2024-01-01,Android Webview,Android,34147
2024-01-01,Firefox,Windows,29678
2024-01-01,Chrome,Chrome OS,25024
2024-01-01,Firefox,Macintosh,8294
2024-01-01,Firefox,Android,8079
2024-01-01,Opera,Windows,6728
2024-01-01,Opera,Android,5740
2024-01-01,Amazon Silk,Android,5666
2024-01-01,Firefox,Linux,3860
2024-01-01,Edge,Android,3788
2024-01-01,Samsung Internet,Linux,1689
2024-01-01,Mozilla Compatible Agent,Macintosh,1517
2024-01-01,(not set),(not set),1490
2024-01-01,Internet Explorer,Windows,1105
2024-01-01,UC Browser,Android,1037
2024-01-01,Edge,Macintosh,824
2024-01-01,Opera Mini,(not set),648
2024-01-01,(not set),iOS,498
2024-01-01,Opera,Macintosh,324
2024-01-01,Mozilla,Linux,317
2024-01-01,Coc Coc,Windows,259
2024-01-01,YaBrowser,Windows,245
2024-01-01,Opera Mini,Android,239
2024-01-01,Edge,Linux,195
2024-01-01,Whale Browser,Windows,190
2024-01-01,YaBrowser,Android,176
2024-01-01,(not set),Android,147
2024-01-01,Opera,Linux,128
2024-01-01,Chrome,Fuchsia,126
2024-01-01,Safari,Linux,114
2024-01-01,Android Runtime,Android,106
2024-01-01,Whale Browser,Android,105
2023-12-31,Safari,iOS,1323466
2023-12-31,Chrome,Android,1139167
2023-12-31,Chrome,Windows,355861
2023-12-31,Chrome,iOS,221356
2023-12-31,Safari,Macintosh,162932
2023-12-31,Chrome,Linux,131430
2023-12-31,Edge,Windows,110070
2023-12-31,Chrome,Macintosh,108190
2023-12-31,Samsung Internet,Android,64825
2023-12-31,Safari (in-app),iOS,57239
2023-12-31,Android Webview,Android,32410
2023-12-31,Firefox,Windows,25492
2023-12-31,Chrome,Chrome OS,18611
2023-12-31,Firefox,Android,7697
2023-12-31,Firefox,Macintosh,7540
2023-12-31,Opera,Android,5313
2023-12-31,Opera,Windows,5176
2023-12-31,Amazon Silk,Android,4899
2023-12-31,Edge,Android,3557
2023-12-31,Firefox,Linux,3420
2023-12-31,(not set),(not set),1705
2023-12-31,Mozilla Compatible Agent,Macintosh,1536
2023-12-31,Samsung Internet,Linux,1534
2023-12-31,(not set),iOS,953
2023-12-31,UC Browser,Android,879
2023-12-31,Edge,Macintosh,693
2023-12-31,Opera Mini,(not set),652
2023-12-31,Internet Explorer,Windows,618
2023-12-31,Mozilla,Linux,322
2023-12-31,Opera,Macintosh,259
2023-12-31,Opera Mini,Android,258
2023-12-31,YaBrowser,Windows,216
2023-12-31,Coc Coc,Windows,156
2023-12-31,Edge,Linux,153
2023-12-31,Waterfox,Windows,152
2023-12-31,(not set),Android,150
2023-12-31,Android Runtime,Android,137
2023-12-31,YaBrowser,Android,128
2023-12-31,Opera,Linux,115
2023-12-31,Safari,Linux,114
2023-12-31,Chrome,Fuchsia,112
2023-12-30,Safari,iOS,1547639
2023-12-30,Chrome,Android,1359801
2023-12-30,Chrome,Windows,434300
2023-12-30,Chrome,iOS,243469
2023-12-30,Safari,Macintosh,200743
2023-12-30,Chrome,Linux,135556
2023-12-30,Edge,Windows,130028
2023-12-30,Chrome,Macintosh,114725
2023-12-30,Samsung Internet,Android,76666
2023-12-30,Safari (in-app),iOS,60248
2023-12-30,Android Webview,Android,34223
2023-12-30,Firefox,Windows,29351
2023-12-30,Chrome,Chrome OS,21043
2023-12-30,Firefox,Android,9176
2023-12-30,Firefox,Macintosh,8101
2023-12-30,Opera,Windows,6329
2023-12-30,Opera,Android,6230
2023-12-30,Firefox,Linux,6055
2023-12-30,Amazon Silk,Android,5720
2023-12-30,Edge,Android,3978
2023-12-30,Samsung Internet,Linux,1809
2023-12-30,Mozilla Compatible Agent,Macintosh,1627
2023-12-30,(not set),(not set),1474
2023-12-30,UC Browser,Android,1054
2023-12-30,(not set),iOS,772
2023-12-30,Edge,Macintosh,763
2023-12-30,Opera Mini,(not set),721
2023-12-30,Internet Explorer,Windows,657
2023-12-30,Opera,Macintosh,349
2023-12-30,Safari,Linux,325
2023-12-30,Mozilla,Linux,322
