date,page_title,event_label,file_name,page,total_events
2024-01-04,"CMS 40B | CMS",file_download,/medicare/cms-forms/cms-forms/downloads/cms40b-e.pdf,www.cms.gov/Medicare/CMS-Forms/CMS-Forms/CMS-Forms-Items/CMS017339,2222
2024-01-04,"Inactivated Influenza Vaccine Information Statement | CDC",file_download,https://www.cdc.gov/vaccines/hcp/vis/vis-statements/flu.pdf,www.cdc.gov/vaccines/hcp/vis/vis-statements/flu.html,1739
2024-01-04,"Vaccine Schedule for Children 6 Years or Younger | CDC",file_download,https://www.cdc.gov/vaccines/parents/downloads/parent-ver-sch-0-6yrs.pdf,www.cdc.gov/vaccines/schedules/easy-to-read/child-easyread.html,1674
2024-01-04,"ASP Pricing Files | CMS",file_download,/files/zip/january-2024-asp-pricing-file.zip,www.cms.gov/medicare/payment/all-fee-service-providers/medicare-part-b-drug-average-sales-price/asp-pricing-files,1347
2024-01-04,"RSV Vaccine Information Statement | CDC",file_download,https://www.cdc.gov/vaccines/hcp/vis/vis-statements/rsv.pdf,www.cdc.gov/vaccines/hcp/vis/vis-statements/rsv.html,1106
2024-01-04,"Pneumococcal Conjugate Vaccine Information Statement | CDC",file_download,https://www.cdc.gov/vaccines/hcp/vis/vis-statements/pcv.pdf,www.cdc.gov/vaccines/hcp/vis/vis-statements/pcv.html,1102
2024-01-04,"Birth-18 Years Immunization Schedule – Healthcare Providers | CDC",file_download,https://www.cdc.gov/vaccines/schedules/downloads/child/0-18yrs-child-combined-schedule.pdf,www.cdc.gov/vaccines/schedules/hcp/imz/child-adolescent.html,1075
2024-01-04,"Overview of the Medicare Physician Fee Schedule Search | CMS",file_download,/outreach-and-education/medicare-learning-network-mln/mlnproducts/downloads/how_to_mpfs_booklet_icn901344.pdf,www.cms.gov/medicare/physician-fee-schedule/search/overview,1000
2024-01-04,"DME24-A | CMS",file_download,/files/zip/dme24.zip,www.cms.gov/medicare/payment/fee-schedules/dmepos/dmepos-fee-schedule/dme24,959
2024-01-04,"RVU24A | CMS",file_download,/files/zip/rvu24a-updated-01/03/2024.zip,www.cms.gov/medicare/payment/fee-schedules/physician/pfs-relative-value-files/rvu24a,927
2024-01-04,"Vaccine Information Statement | Tdap | Tetanus-Diphtheria-Pertussis | VIS | CDC",file_download,https://www.cdc.gov/vaccines/hcp/vis/vis-statements/tdap.pdf,www.cdc.gov/vaccines/hcp/vis/vis-statements/tdap.html,915
2024-01-04,"Hepatitis B Vaccine Information Statement | CDC",file_download,https://www.cdc.gov/vaccines/hcp/vis/vis-statements/hep-b.pdf,www.cdc.gov/vaccines/hcp/vis/vis-statements/hep-b.html,844
2024-01-04,"List of Telehealth Services | CMS",file_download,/files/zip/list-telehealth-services-calendar-year-2024.zip,www.cms.gov/medicare/coverage/telehealth/list-services,839
2024-01-04,"CMS L564 | CMS",file_download,/medicare/cms-forms/cms-forms/downloads/cms-l564e.pdf,www.cms.gov/Medicare/CMS-Forms/CMS-Forms/CMS-Forms-Items/CMS009718,787
2024-01-04,"MA Plan Directory | CMS",file_download,/files/zip/ma-plan-directory-december-2023.zip,www.cms.gov/data-research/statistics-trends-and-reports/medicare-advantagepart-d-contract-and-enrollment-data/ma-plan-directory,715
2024-01-04,"Your Child's First Vaccines: Vaccine Information Statements | CDC",file_download,https://www.cdc.gov/vaccines/hcp/vis/vis-statements/multi.pdf,www.cdc.gov/vaccines/hcp/vis/vis-statements/multi.html,674
2024-01-04,"Medicare & You | Medicare",file_download,/publications/10050-medicare-and-you.pdf,www.medicare.gov/medicare-and-you,667
2024-01-04,"Adult Immunization Schedule – Healthcare Providers | CDC",file_download,https://www.cdc.gov/vaccines/schedules/downloads/adult/adult-combined-schedule.pdf,www.cdc.gov/vaccines/schedules/hcp/imz/adult.html,632
2024-01-04,"COVID-19 Vaccine Information Statement | CDC",file_download,https://www.cdc.gov/vaccines/hcp/vis/vis-statements/COVID-19.pdf,www.cdc.gov/vaccines/hcp/vis/vis-statements/covid-19.html,612
2024-01-04,"CMS 460 | CMS",file_download,/medicare/cms-forms/cms-forms/downloads/cms460.pdf,www.cms.gov/Medicare/CMS-Forms/CMS-Forms/CMS-Forms-Items/CMS007566,600
