domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.healthcare.gov,www.healthcare.gov/subscribe/,"Subscribe to get Marketplace updates by email and text message | HealthCare.gov",5472544,5132230,3997878,1.066309187234399,54.266015073675021,0.73149215837949588
www.nhlbi.nih.gov,www.nhlbi.nih.gov/health/educational/lose_wt/BMI/bmicalc.htm,Calculate Your BMI - Standard BMI Calculator,5088822,4610251,3237495,1.1038058448444563,97.176971694502583,0.52541304150251256
www.medicare.gov,www.medicare.gov/,"Welcome to Medicare | Medicare",2995433,2447294,1650546,1.2239771764242466,112.29808364513275,0.29843288137837137
www.covid.gov,www.covid.gov/tools-and-resources/resources/tests,"Get Four Free At-⁠Home COVID-⁠19 Tests This Fall | COVID.gov",2968794,2427751,2202210,1.2228576983389152,79.169212743861891,0.53490905780699916
www.healthcare.gov,www.healthcare.gov/,"Last chance for Jan 1 coverage – enroll by Dec 15 | HealthCare.gov",2936522,2409281,1712007,1.2188374872005383,129.6865809037526,0.4735134672958447
exclusions.oig.hhs.gov,exclusions.oig.hhs.gov/SearchResults.aspx,OIG Search Results,2672994,1177165,641642,2.2707054660986352,212.88139866351241,0.097077300123602051
www.cdc.gov,www.cdc.gov/coronavirus/2019-ncov/your-health/isolation.html,"Isolation and Precautions for People with COVID-19 | CDC",2453955,2454035,1600175,0.99996740062794542,160.15238796391216,0.42965687123451785
www.healthcare.gov,www.healthcare.gov/,"Open Enrollment ends Jan 16 - enroll now | HealthCare.gov",2186858,1890819,1326912,1.1565665460311114,101.76285464763171,0.52312780863742114
www.medicare.gov,www.medicare.gov/plan-compare/#/,Explore your Medicare coverage options,1840254,1403761,852230,1.3109453817280863,146.22204721789339,0.20626374432684766
www.accessdata.fda.gov,www.accessdata.fda.gov/scripts/cder/daf/index.cfm,Drugs@FDA: FDA-Approved Drugs,1772405,495624,220634,3.5761080980743465,303.66104880021135,0.28167118622181331
www.cdc.gov,www.cdc.gov/healthyweight/assessing/bmi/adult_bmi/english_bmi_calculator/bmi_calculator.html,"Adult BMI Calculator | Healthy Weight, Nutrition, and Physical Activity | CDC",1715276,1050983,743747,1.6320682637112114,134.82782377575293,0.36609440875827676
exclusions.oig.hhs.gov,exclusions.oig.hhs.gov/default.aspx,"Search the Exclusions Database | Office of Inspector General",1667483,401094,117661,4.1573371828050281,194.04641487547744,0.11703490952245608
exclusions.oig.hhs.gov,exclusions.oig.hhs.gov/,"Search the Exclusions Database | Office of Inspector General",1321766,871453,621382,1.5167369898319243,100.49869122287265,0.10788533632909635
www.fda.gov,www.fda.gov/medical-devices/coronavirus-covid-19-and-medical-devices/home-otc-covid-19-diagnostic-tests#list,"At-Home OTC COVID-19 Diagnostic Tests | FDA",1301541,1025709,862417,1.2689183774345356,160.73468310526022,0.36930162453483395
www.cdc.gov,www.cdc.gov/,Centers for Disease Control and Prevention,1251968,1014760,849997,1.233757735819307,71.062322702558532,0.44578816666009696
www.fda.gov,www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/quaker-recalls-granola-bars-and-granola-cereals-due-possible-health-risk,"Quaker Recalls Granola Bars and Granola Cereals Due to Possible Health Risk | FDA",1221609,1155692,972787,1.0570368229597504,125.82004009604637,0.49430817207352823
www.nhlbi.nih.gov,www.nhlbi.nih.gov/health/educational/lose_wt/BMI/bmi-m.htm,Calculate Your BMI - Metric BMI Calculator,1177927,1093159,748539,1.0775440718138898,92.503281468347183,0.21691263576478811
www.cdc.gov,www.cdc.gov/healthyweight/spanish/assessing/bmi/adult_bmi/metric_bmi_calculator/bmi_calculator.html,"Calculadora del IMC para adultos: Sistema métrico | Peso Saludable | DNPAO | CDC",1139888,655160,374394,1.7398620184382441,221.94557548587693,0.43279198974296357
www.accessdata.fda.gov,www.accessdata.fda.gov/scripts/ires/,Enforcement Report,1053331,16681,10498,63.145494874408008,300.71203859252739,0.51939332174330077
www.cdc.gov,www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html,"Symptoms of COVID-19 | CDC",1024105,982319,841661,1.0425391344359622,92.3375895905822,0.40597708076500605
