date,os_version,visits
2023-11-02,10,425788
2023-11-08,10,421393
2023-10-25,10,416848
2024-01-03,10,413252
2023-11-15,10,410700
2023-12-06,10,390550
2023-10-26,10,387884
2023-11-01,10,386522
2023-11-29,10,385664
2023-10-17,10,383733
2023-10-18,10,381110
2024-01-04,10,380415
2023-12-15,10,379516
2023-10-19,10,377049
2023-11-09,10,376964
2023-11-28,10,373673
2023-10-16,10,371094
2023-10-10,10,370436
2023-11-16,10,368916
2023-10-24,10,368476
2023-12-19,10,367012
2023-11-07,10,365988
2023-10-11,10,363364
2023-11-30,10,358650
2023-12-01,10,357379
2023-10-12,10,356969
2023-10-31,10,354018
2023-12-05,10,352198
2023-12-21,10,351264
2023-11-21,10,346783
2023-10-30,10,345613
2023-10-23,10,345201
2023-10-20,10,343204
2023-12-12,10,343121
2023-11-14,10,341471
2023-11-13,10,340071
2023-11-06,10,339625
2023-12-14,10,339338
2023-12-04,10,338718
2023-11-03,10,338070
2023-12-18,10,336853
2023-12-07,10,336061
2023-12-11,10,334645
2024-01-02,10,329397
2023-12-13,10,328078
2023-12-20,10,327985
2023-11-17,10,326112
2023-11-20,10,325890
2023-12-08,10,325243
2023-11-27,10,324027
2023-10-27,10,322763
2023-10-13,10,314095
2023-12-22,10,309803
2023-12-28,10,290985
2023-11-22,10,288506
2023-12-27,10,286085
2023-11-10,10,281656
2023-10-09,10,280862
2023-12-29,10,261286
2023-12-26,10,247690
2023-11-24,10,242352
2023-10-21,10,218124
2023-10-14,10,207111
2023-11-23,10,204339
2023-12-02,10,189674
2023-11-05,10,183064
2023-11-04,10,181033
2023-10-15,10,179874
2023-10-22,10,179528
2023-11-19,10,179403
2023-10-28,10,178516
2023-10-08,10,176744
2023-10-07,10,173711
2023-12-03,10,173592
2023-11-11,10,172448
2023-11-26,10,169611
2023-11-12,10,168865
2023-10-29,10,168088
2023-11-18,10,166985
2023-12-16,10,164162
2023-11-25,10,161745
2023-12-10,10,161437
2023-12-09,10,161120
2024-01-01,10,157042
2023-12-17,10,150526
2023-12-30,10,141955
2023-12-31,10,139066
2023-12-23,10,129525
2023-11-29,11,128630
2023-12-04,11,128234
2023-11-28,11,128162
2023-12-03,11,128057
2023-12-05,11,127713
2023-11-27,11,126861
2023-12-25,10,126487
2023-12-06,11,126317
2023-11-14,11,125809
2023-11-08,11,125057
2023-11-19,11,124373
2023-11-06,11,124316
2023-11-26,11,123417
2023-11-12,11,122519
2023-11-21,11,121212
2023-11-07,11,120694
2023-11-30,11,120098
2023-11-13,11,119504
2023-11-02,11,118891
2023-10-22,11,118826
2023-11-15,11,118619
2023-12-24,10,118315
2023-11-01,11,118281
2023-11-05,11,118234
2023-10-29,11,117984
2023-10-18,11,117743
2023-11-09,11,117599
2023-11-16,11,117564
2023-12-07,11,117068
2023-10-25,11,116591
2023-10-17,11,116544
2023-10-15,11,116462
2023-10-23,11,115883
2023-10-30,11,115354
2023-11-24,11,114872
2023-10-08,11,114716
2023-11-25,11,114039
2023-10-24,11,113965
2023-12-02,11,112857
2023-10-16,11,112721
2023-11-20,11,112172
2023-12-10,11,111614
2023-11-11,11,111554
2023-10-10,11,111191
2023-11-23,11,110412
2023-11-10,11,110165
2023-10-31,11,109653
2023-12-11,11,109252
2023-11-04,11,109109
2023-10-11,11,108966
2023-12-08,11,108395
2023-10-12,11,108370
