date,browser,visits
2024-01-04,Chrome,1385479
2024-01-04,Safari,898607
2024-01-04,Edge,252694
2024-01-04,Safari (in-app),95457
2024-01-04,Firefox,48228
2024-01-04,Samsung Internet,42635
2024-01-04,Android Webview,24818
2024-01-04,(not set),15226
2024-01-04,Opera,4994
2024-01-04,Whale Browser,1391
2024-01-04,Mozilla Compatible Agent,1347
2024-01-04,Amazon Silk,873
2024-01-04,Internet Explorer,604
2024-01-04,YaBrowser,424
2024-01-04,UC Browser,183
2024-01-04,Android Runtime,121
2024-01-04,Coc Coc,102
2024-01-03,Chrome,1461372
2024-01-03,Safari,949602
2024-01-03,Edge,261736
2024-01-03,Safari (in-app),93891
2024-01-03,Firefox,47109
2024-01-03,Samsung Internet,44954
2024-01-03,Android Webview,25732
2024-01-03,(not set),15122
2024-01-03,Opera,5022
2024-01-03,Whale Browser,1489
2024-01-03,Mozilla Compatible Agent,1117
2024-01-03,Amazon Silk,963
2024-01-03,Internet Explorer,430
2024-01-03,YaBrowser,390
2024-01-03,UC Browser,175
2024-01-03,Android Runtime,117
2024-01-02,Chrome,1398121
2024-01-02,Safari,948684
2024-01-02,Edge,261010
2024-01-02,Safari (in-app),94954
2024-01-02,Firefox,48966
2024-01-02,Samsung Internet,44641
2024-01-02,Android Webview,24756
2024-01-02,(not set),14839
2024-01-02,Opera,4985
2024-01-02,Whale Browser,1524
2024-01-02,Mozilla Compatible Agent,1079
2024-01-02,Amazon Silk,966
2024-01-02,Internet Explorer,387
2024-01-02,YaBrowser,385
2024-01-02,UC Browser,156
2024-01-01,Chrome,655168
2024-01-01,Safari,615298
2024-01-01,Edge,72995
2024-01-01,Safari (in-app),67147
2024-01-01,Samsung Internet,29485
2024-01-01,Firefox,22066
2024-01-01,Android Webview,18141
2024-01-01,(not set),14170
2024-01-01,Opera,3078
2024-01-01,Whale Browser,1106
2024-01-01,Mozilla Compatible Agent,807
2024-01-01,Amazon Silk,804
2024-01-01,YaBrowser,253
2024-01-01,Internet Explorer,239
2024-01-01,UC Browser,126
2023-12-31,Chrome,525102
2023-12-31,Safari,495047
2023-12-31,Edge,54002
2023-12-31,Safari (in-app),45491
2023-12-31,Samsung Internet,24601
2023-12-31,Firefox,15790
2023-12-31,(not set),14098
2023-12-31,Android Webview,13769
2023-12-31,Opera,2371
2023-12-31,Amazon Silk,636
2023-12-31,Whale Browser,635
2023-12-31,Mozilla Compatible Agent,623
2023-12-31,YaBrowser,165
2023-12-31,UC Browser,152
2023-12-31,Internet Explorer,146
2023-12-30,Chrome,654920
2023-12-30,Safari,635072
2023-12-30,Edge,64476
2023-12-30,Safari (in-app),55574
2023-12-30,Samsung Internet,30245
2023-12-30,Firefox,19946
2023-12-30,Android Webview,16603
2023-12-30,(not set),13910
2023-12-30,Opera,2949
2023-12-30,Mozilla Compatible Agent,789
2023-12-30,Amazon Silk,749
2023-12-30,Whale Browser,655
2023-12-30,Internet Explorer,329
2023-12-30,YaBrowser,238
2023-12-30,UC Browser,179
2023-12-29,Chrome,939323
2023-12-29,Safari,784369
2023-12-29,Edge,140830
2023-12-29,Safari (in-app),68367
2023-12-29,Samsung Internet,36709
2023-12-29,Firefox,29491
2023-12-29,Android Webview,19148
2023-12-29,(not set),14476
2023-12-29,Opera,3879
2023-12-29,Mozilla Compatible Agent,873
2023-12-29,Whale Browser,792
2023-12-29,Amazon Silk,773
2023-12-29,YaBrowser,310
2023-12-29,Internet Explorer,262
2023-12-29,UC Browser,193
2023-12-28,Chrome,1138145
2023-12-28,Safari,837045
2023-12-28,Edge,174097
2023-12-28,Safari (in-app),81793
2023-12-28,Samsung Internet,41495
2023-12-28,Firefox,34260
2023-12-28,Android Webview,21264
2023-12-28,(not set),15303
2023-12-28,Opera,4106
2023-12-28,Whale Browser,1041
2023-12-28,Mozilla Compatible Agent,984
2023-12-28,Amazon Silk,816
2023-12-28,Internet Explorer,417
2023-12-28,YaBrowser,348
2023-12-28,UC Browser,171
2023-12-28,Android Runtime,102
2023-12-27,Chrome,1121047
2023-12-27,Safari,963752
2023-12-27,Edge,181854
2023-12-27,Safari (in-app),97125
2023-12-27,Samsung Internet,46751
2023-12-27,Firefox,34679
2023-12-27,Android Webview,21773
2023-12-27,(not set),14466
2023-12-27,Opera,4107
2023-12-27,Whale Browser,1233
2023-12-27,Mozilla Compatible Agent,1045
2023-12-27,Amazon Silk,897
2023-12-27,YaBrowser,445
2023-12-27,Internet Explorer,357
2023-12-27,UC Browser,201
2023-12-27,Android Runtime,118
2023-12-27,Coc Coc,116
2023-12-26,Chrome,963527
