date,mobile_device,visits
2023-09-02,(not set),330641
2023-09-02,1.3,2
2023-09-02,1.4,6
2023-09-02,100003561,1
2023-09-02,100003562,1
2023-09-02,100011885,1
2023-09-02,100011886,2
2023-09-02,100015685-E,1
2023-09-02,100026191,2
2023-09-02,100043279,1
2023-09-02,100071481,8
2023-09-02,100071483,7
2023-09-02,100071485,3
2023-09-02,10T,3
2023-09-02,11T,1
2023-09-02,13 Lite,1
2023-09-02,1601,1
2023-09-02,1603-A03,1
2023-09-02,1609,1
2023-09-02,1610,8
2023-09-02,1611,1
2023-09-02,1714,1
2023-09-02,1716,1
2023-09-02,1723,7
2023-09-02,1726,5
2023-09-02,1727,1
2023-09-02,1801,11
2023-09-02,1802,2
2023-09-02,1803,3
2023-09-02,1804,5
2023-09-02,1806,2
2023-09-02,1807,2
2023-09-02,1808,1
2023-09-02,1811,8
2023-09-02,1812,6
2023-09-02,1815,1
2023-09-02,1816,1
2023-09-02,1818,3
2023-09-02,1819,6
2023-09-02,1820,23
2023-09-02,1823,1
2023-09-02,1851,1
2023-09-02,1901,13
2023-09-02,1902,7
2023-09-02,1904,15
2023-09-02,1906,35
2023-09-02,1907,6
2023-09-02,1907_19,7
2023-09-02,1908,1
2023-09-02,1909,1
2023-09-02,1915,13
2023-09-02,1917,1
2023-09-02,1919,5
2023-09-02,1920,6
2023-09-02,1921,2
2023-09-02,1933,4
2023-09-02,1935,3
2023-09-02,1938,16
2023-09-02,1951,5
2023-09-02,1x,3
2023-09-02,2,1
2023-09-02,2 V,15
2023-09-02,2.1,1
2023-09-02,2.2,1
2023-09-02,2.3,5
2023-09-02,2.4,1
2023-09-02,2007,1
2023-09-02,2041,2
2023-09-02,2050,2
2023-09-02,2050RU,1
2023-09-02,21051182C,3
2023-09-02,21051182G,1
2023-09-02,21061110AG,4
2023-09-02,21061119AG,30
2023-09-02,21061119AL,13
2023-09-02,21061119BI,5
2023-09-02,21061119DG,13
2023-09-02,2106118C,1
2023-09-02,2107113SG,41
2023-09-02,2107113SI,2
2023-09-02,2107113SR,2
2023-09-02,2107119DC,1
2023-09-02,21081111RG,57
2023-09-02,21091116AC,4
2023-09-02,21091116AG,10
2023-09-02,21091116AI,1
2023-09-02,21091116C,3
2023-09-02,21091116I,20
2023-09-02,21091116UC,4
2023-09-02,21091116UG,16
2023-09-02,21091116UI,1
2023-09-02,2109119BC,8
2023-09-02,2109119DG,57
2023-09-02,211033MI,4
2023-09-02,21121119SC,59
2023-09-02,21121119SG,50
2023-09-02,21121119TL,15
2023-09-02,21121119VL,12
2023-09-02,21121210G,3
2023-09-02,2112123AC,2
2023-09-02,2112123AG,6
2023-09-02,22011119TI,2
2023-09-02,22011119UY,7
2023-09-02,2201116PG,24
2023-09-02,2201116SC,2
2023-09-02,2201116SG,53
2023-09-02,2201116SI,1
2023-09-02,2201116SR,2
2023-09-02,2201116TG,66
2023-09-02,2201117PG,16
2023-09-02,2201117PI,1
2023-09-02,2201117SG,32
2023-09-02,2201117SI,1
2023-09-02,2201117SL,6
2023-09-02,2201117SY,36
2023-09-02,2201117TG,89
2023-09-02,2201117TI,7
2023-09-02,2201117TL,43
2023-09-02,2201117TY,73
2023-09-02,2201122C,14
2023-09-02,2201122G,2
2023-09-02,2201123C,4
2023-09-02,2201123G,17
2023-09-02,22021119KR,2
2023-09-02,22021211RG,3
2023-09-02,220233L2C,24
2023-09-02,220233L2G,186
2023-09-02,220233L2I,33
2023-09-02,22031116BG,8
2023-09-02,2203121C,4
2023-09-02,2203129G,6
2023-09-02,220333QAG,33
2023-09-02,220333QBI,10
2023-09-02,220333QL,36
2023-09-02,220333QNY,31
2023-09-02,220333QPG,9
2023-09-02,22041211AC,2
2023-09-02,22041216C,8
2023-09-02,22041216G,7
2023-09-02,22041219C,6
2023-09-02,22041219G,14
2023-09-02,22041219I,2
2023-09-02,22041219NY,9
2023-09-02,22041219PI,2
2023-09-02,22061218C,5
2023-09-02,2206122SC,5
2023-09-02,2207117BPG,5
2023-09-02,22071212AG,11
2023-09-02,22071219AI,1
2023-09-02,22071219CG,5
2023-09-02,22071219CI,2
2023-09-02,220733SFG,17
2023-09-02,220733SG,59
2023-09-02,220733SH,2
2023-09-02,220733SI,12
2023-09-02,220733SL,155
2023-09-02,220733SPI,3
2023-09-02,220743FI,2
2023-09-02,22081212C,3
2023-09-02,22081212UG,16
2023-09-02,22087RA4DI,7
2023-09-02,2209116AG,15
2023-09-02,22095RA98C,4
2023-09-02,22101316C,3
2023-09-02,22101316G,16
2023-09-02,22101316I,1
2023-09-02,22101316UCP,1
2023-09-02,22101316UG,13
2023-09-02,22101317C,2
2023-09-02,22101320C,1
2023-09-02,22101320G,8
2023-09-02,22101320I,2
2023-09-02,2210132C,5
