date,language,visits
2024-01-04,English,2188974
2024-01-04,Spanish,311832
2024-01-04,French,54925
2024-01-04,Chinese,34327
2024-01-04,German,26021
2024-01-04,Japanese,19675
2024-01-04,Korean,18462
2024-01-04,Portuguese,13672
2024-01-04,Russian,12227
2024-01-04,Italian,9456
2024-01-04,Dutch,6378
2024-01-04,Polish,4555
2024-01-04,Ukrainian,3774
2024-01-04,Swedish,3549
2024-01-04,Vietnamese,2908
2024-01-04,Danish,2677
2024-01-04,(other),2575
2024-01-04,Norwegian Bokmål,2463
2024-01-04,Turkish,2458
2024-01-04,Arabic,2197
2024-01-04,Hebrew,1576
2024-01-04,Czech,1485
2024-01-04,Hungarian,1259
2024-01-04,Finnish,1159
2024-01-04,Greek,743
2024-01-04,Slovak,639
2024-01-04,Thai,551
2024-01-04,Croatian,468
2024-01-04,Catalan,372
2024-01-04,Romanian,302
2024-01-04,Persian,287
2024-01-04,Indonesian,278
2024-01-04,Slovenian,228
2024-01-04,Lithuanian,184
2024-01-04,Estonian,98
2024-01-04,Serbian,98
2024-01-04,Bulgarian,97
2024-01-04,Georgian,74
2024-01-04,Latvian,73
2024-01-04,Icelandic,71
2024-01-04,Panjabi,68
2024-01-04,Hindi,54
2024-01-04,Amharic,50
2024-01-04,Uzbek,47
2024-01-04,Albanian,41
2024-01-04,Azerbaijani,39
2024-01-04,Burmese,35
2024-01-04,Bengali,33
2024-01-04,Bosnian,25
2024-01-04,Armenian,23
2024-01-04,Welsh,22
2024-01-04,Afrikaans,21
2024-01-04,Pushto,21
2024-01-04,Basque,20
2024-01-04,Haitian,17
2024-01-04,Irish,16
2024-01-04,Somali,16
2024-01-04,Central Khmer,14
2024-01-04,Norwegian Nynorsk,14
2024-01-04,Telugu,14
2024-01-04,Gujarati,12
2024-01-04,Norwegian,12
2024-01-04,Oromo,12
2024-01-04,Tamil,12
2024-01-04,Maori,11
2024-01-04,Tigrinya,11
2024-01-03,English,2314252
2024-01-03,Spanish,329749
2024-01-03,French,54891
2024-01-03,Chinese,35044
2024-01-03,German,26294
2024-01-03,Korean,19445
2024-01-03,Japanese,16067
2024-01-03,Portuguese,13454
2024-01-03,Russian,12750
2024-01-03,Italian,9976
2024-01-03,Dutch,6670
2024-01-03,Polish,4827
2024-01-03,Ukrainian,4011
2024-01-03,Swedish,3730
2024-01-03,Danish,3143
2024-01-03,Vietnamese,2797
2024-01-03,Norwegian Bokmål,2685
2024-01-03,Turkish,2460
2024-01-03,Arabic,2119
2024-01-03,Hebrew,1749
2024-01-03,Czech,1699
2024-01-03,Hungarian,1388
2024-01-03,Finnish,1278
2024-01-03,Greek,753
2024-01-03,Thai,551
2024-01-03,Slovak,534
2024-01-03,Croatian,422
2024-01-03,Catalan,341
2024-01-03,Indonesian,317
2024-01-03,Romanian,313
2024-01-03,Persian,296
2024-01-03,Slovenian,278
2024-01-03,(other),176
2024-01-03,Lithuanian,176
2024-01-03,Estonian,129
2024-01-03,Serbian,91
2024-01-03,Bulgarian,90
2024-01-03,Georgian,81
2024-01-03,Latvian,79
2024-01-03,Panjabi,61
2024-01-03,Icelandic,53
2024-01-03,Hindi,48
2024-01-03,Amharic,45
2024-01-03,Albanian,44
2024-01-03,Burmese,34
2024-01-03,Uzbek,32
2024-01-03,Azerbaijani,27
2024-01-03,Armenian,26
2024-01-03,Bengali,26
2024-01-03,Afrikaans,25
2024-01-03,Irish,25
2024-01-03,Central Khmer,24
2024-01-03,Welsh,22
2024-01-03,Somali,21
2024-01-03,Pushto,18
2024-01-03,Haitian,17
2024-01-03,Gujarati,15
2024-01-03,Tamil,14
2024-01-03,Basque,13
2024-01-03,Kannada,12
2024-01-03,Bosnian,11
2024-01-03,Telugu,11
2024-01-02,English,2317482
2024-01-02,Spanish,308003
2024-01-02,French,50621
2024-01-02,Chinese,34356
2024-01-02,German,25379
2024-01-02,Korean,19974
2024-01-02,Japanese,12842
2024-01-02,Portuguese,12443
2024-01-02,Russian,12030
2024-01-02,Italian,9314
2024-01-02,Dutch,6683
2024-01-02,Polish,4419
2024-01-02,Swedish,4272
2024-01-02,Ukrainian,3783
2024-01-02,Danish,3131
2024-01-02,Vietnamese,2719
2024-01-02,Norwegian Bokmål,2577
2024-01-02,Turkish,2344
2024-01-02,Arabic,2124
2024-01-02,Hebrew,1735
2024-01-02,Czech,1617
2024-01-02,Hungarian,1347
2024-01-02,Finnish,1328
2024-01-02,Greek,625
2024-01-02,Thai,473
2024-01-02,Croatian,433
2024-01-02,Slovak,416
2024-01-02,Catalan,335
2024-01-02,Romanian,297
2024-01-02,Indonesian,265
2024-01-02,Persian,263
2024-01-02,Lithuanian,200
2024-01-02,(other),162
2024-01-02,Slovenian,139
2024-01-02,Bulgarian,90
2024-01-02,Panjabi,87
2024-01-02,Latvian,84
2024-01-02,Serbian,83
2024-01-02,Estonian,76
2024-01-02,Georgian,66
2024-01-02,Icelandic,57
2024-01-02,Albanian,52
2024-01-02,Hindi,45
2024-01-02,Burmese,44
2024-01-02,Uzbek,37
2024-01-02,Amharic,34
2024-01-02,Azerbaijani,33
2024-01-02,Bosnian,23
2024-01-02,Bengali,21
2024-01-02,Irish,21
2024-01-02,Haitian,20
2024-01-02,Norwegian,19
2024-01-02,Gujarati,18
2024-01-02,Tamil,17
2024-01-02,Afrikaans,16
2024-01-02,Maori,16
2024-01-02,Telugu,16
2024-01-02,Malay,15
2024-01-02,Somali,15
2024-01-02,Tigrinya,15
2024-01-02,Armenian,14
2024-01-02,Central Khmer,14
2024-01-02,Pushto,14
2024-01-02,Tonga,14
2024-01-02,Welsh,13
2024-01-02,Macedonian,11
2024-01-02,Mongolian,11
2024-01-01,English,1230952
2024-01-01,Spanish,155754
2024-01-01,French,32698
2024-01-01,Chinese,21010
2024-01-01,German,15253
2024-01-01,Korean,13515
2024-01-01,Japanese,9444
2024-01-01,Russian,7356
2024-01-01,Portuguese,5638
2024-01-01,Italian,4825
2024-01-01,Dutch,3817
2024-01-01,Polish,2563
2024-01-01,Swedish,2538
2024-01-01,Ukrainian,2398
2024-01-01,Vietnamese,1829
2024-01-01,Arabic,1697
2024-01-01,Danish,1626
2024-01-01,Hebrew,1579
