date,browser,os,visits
2024-01-04,Safari,iOS,773766
2024-01-04,Chrome,Windows,691392
2024-01-04,Chrome,Android,352306
2024-01-04,Edge,Windows,247990
2024-01-04,Chrome,Macintosh,164644
2024-01-04,Safari,Macintosh,139263
2024-01-04,Chrome,iOS,132838
2024-01-04,Safari (in-app),iOS,95457
2024-01-04,Chrome,Linux,49739
2024-01-04,Samsung Internet,Android,42113
2024-01-04,Firefox,Windows,34590
2024-01-04,Android Webview,Android,24818
2024-01-04,Chrome,Chrome OS,22916
2024-01-04,(not set),(not set),14304
2024-01-04,Firefox,Macintosh,7982
2024-01-04,Firefox,Linux,4321
2024-01-04,Opera,Windows,3479
2024-01-04,Firefox,Android,2330
2024-01-04,Edge,Android,2317
2024-01-04,Edge,Macintosh,1604
2024-01-04,Opera,Android,1196
2024-01-04,Mozilla Compatible Agent,Macintosh,965
2024-01-04,Amazon Silk,Android,873
2024-01-04,Whale Browser,Android,797
2024-01-04,(not set),iOS,694
2024-01-04,Samsung Internet,Linux,685
2024-01-04,Internet Explorer,Windows,602
2024-01-04,Whale Browser,Windows,547
2024-01-04,Opera,Macintosh,337
2024-01-04,Mozilla Compatible Agent,(not set),276
2024-01-04,YaBrowser,Windows,236
2024-01-04,UC Browser,Android,146
2024-01-04,(not set),Windows,125
2024-01-04,Android Runtime,Android,121
2024-01-04,Edge,Linux,114
2024-01-03,Safari,iOS,793079
2024-01-03,Chrome,Windows,717032
2024-01-03,Chrome,Android,362444
2024-01-03,Edge,Windows,258023
2024-01-03,Chrome,Macintosh,167280
2024-01-03,Safari,Macintosh,144904
2024-01-03,Chrome,iOS,130619
2024-01-03,Safari (in-app),iOS,93891
2024-01-03,Chrome,Linux,51948
2024-01-03,Samsung Internet,Android,44443
2024-01-03,Firefox,Windows,33168
2024-01-03,Android Webview,Android,25732
2024-01-03,Chrome,Chrome OS,20815
2024-01-03,(not set),(not set),14215
2024-01-03,Firefox,Macintosh,8010
2024-01-03,Firefox,Linux,3598
2024-01-03,Opera,Windows,3395
2024-01-03,Firefox,Android,2466
2024-01-03,Edge,Android,2364
2024-01-03,Edge,Macintosh,1674
2024-01-03,Opera,Android,1215
2024-01-03,Amazon Silk,Android,963
2024-01-03,Mozilla Compatible Agent,Macintosh,960
2024-01-03,Whale Browser,Android,874
2024-01-03,Samsung Internet,Linux,749
2024-01-03,(not set),iOS,737
2024-01-03,Whale Browser,Windows,591
2024-01-03,Internet Explorer,Windows,430
2024-01-03,Opera,Macintosh,332
