date,screen_resolution,visits
2024-01-04,1920x1080,407266
2024-01-04,390x844,258920
2024-01-04,430x932,173475
2024-01-04,428x926,168746
2024-01-04,1440x900,157000
2024-01-04,1536x864,137307
2024-01-04,414x896,116212
2024-01-04,393x852,103107
2024-01-04,1280x720,94395
2024-01-04,1366x768,90428
2024-01-04,375x812,80276
2024-01-04,412x915,56049
2024-01-04,1280x960,52357
2024-01-04,360x800,44398
2024-01-04,2560x1440,41608
2024-01-04,800x600,32060
2024-01-04,375x667,30705
2024-01-04,360x780,29380
2024-01-04,1280x800,28243
2024-01-04,1680x1050,26429
2024-01-04,1600x900,24822
2024-01-04,384x824,24586
2024-01-04,384x857,20754
2024-01-04,412x892,20670
2024-01-04,385x854,20187
2024-01-04,1920x1200,19010
2024-01-04,384x854,18832
2024-01-04,1512x982,16793
2024-01-04,412x883,15297
2024-01-04,320x693,15227
2024-01-04,384x832,15062
2024-01-04,1470x956,14793
2024-01-04,3440x1440,14576
2024-01-04,393x873,14394
2024-01-04,810x1080,13738
2024-01-04,1728x1117,13463
2024-01-04,412x869,13161
2024-01-04,414x736,12742
2024-01-04,1536x960,11473
2024-01-04,1280x1024,11429
2024-01-04,1024x1366,10073
2024-01-04,768x1024,10063
2024-01-04,820x1180,9807
2024-01-04,2048x1152,9505
2024-01-04,1792x1120,8818
2024-01-04,412x846,7650
2024-01-04,432x960,7039
2024-01-04,834x1194,6831
2024-01-04,2240x1260,6791
2024-01-04,2560x1080,6491
2024-01-04,360x760,6428
2024-01-04,1024x768,5790
2024-01-04,393x851,5660
2024-01-04,320x712,5652
2024-01-04,360x740,5589
2024-01-04,360x772,5284
2024-01-04,1504x1003,4809
2024-01-04,360x880,4704
2024-01-04,1368x912,4703
2024-01-04,360x640,4448
2024-01-04,320x568,4203
2024-01-04,385x824,4089
2024-01-04,1707x1067,3826
2024-01-04,1710x1107,3688
2024-01-04,432x984,3413
2024-01-04,360x806,3407
2024-01-04,360x820,3181
2024-01-04,345x883,3137
2024-01-04,834x1112,3067
2024-01-04,320x694,3007
2024-01-04,1707x960,2930
2024-01-04,1440x960,2701
2024-01-04,360x720,2618
2024-01-04,1360x768,2567
