date,page_title,event_label,file_name,page,total_events
2024-01-04,"Employment Eligibility Verification | USCIS",file_download,/sites/default/files/document/forms/i-9.pdf,www.uscis.gov/i-9,12745
2024-01-04,"Affidavit of Support Under Section 213A of the INA | USCIS",file_download,/sites/default/files/document/forms/i-864.pdf,www.uscis.gov/i-864,5590
2024-01-04,"Application for Employment Authorization | USCIS",file_download,/sites/default/files/document/forms/i-765.pdf,www.uscis.gov/i-765,4329
2024-01-04,"Application to Register Permanent Residence or Adjust Status | USCIS",file_download,/sites/default/files/document/forms/i-485.pdf,www.uscis.gov/i-485,4252
2024-01-04,"Petition for Alien Relative | USCIS",file_download,/sites/default/files/document/forms/i-130.pdf,www.uscis.gov/i-130,3399
2024-01-04,"Employment Eligibility Verification | USCIS",file_download,/sites/default/files/document/forms/i-9instr.pdf,www.uscis.gov/i-9,2856
2024-01-04,"Application for Naturalization | USCIS",file_download,/sites/default/files/document/forms/n-400.pdf,www.uscis.gov/n-400,2314
2024-01-04,"Alien’s Change of Address Card | USCIS",file_download,/sites/default/files/document/forms/ar-11.pdf,www.uscis.gov/ar-11,2274
2024-01-04,"Application to Replace Permanent Resident Card (Green Card) | USCIS",file_download,/sites/default/files/document/forms/i-90.pdf,www.uscis.gov/i-90,2182
2024-01-04,"Request for Fee Waiver | USCIS",file_download,/sites/default/files/document/forms/i-912.pdf,www.uscis.gov/i-912,2063
2024-01-04,"Report of Immigration Medical Examination and Vaccination Record | USCIS",file_download,/sites/default/files/document/forms/i-693.pdf,www.uscis.gov/i-693,2059
2024-01-04,"Application for Travel Document | USCIS",file_download,/sites/default/files/document/forms/i-131.pdf,www.uscis.gov/i-131,1859
2024-01-04,"Notice of Entry of Appearance as Attorney or Accredited Representative | USCIS",file_download,/sites/default/files/document/forms/g-28.pdf,www.uscis.gov/g-28,1847
2024-01-04,"Application to Register Permanent Residence or Adjust Status | USCIS",file_download,/sites/default/files/document/forms/i-485instr.pdf,www.uscis.gov/i-485,1841
2024-01-04,"Declaration of Financial Support | USCIS",file_download,/sites/default/files/document/forms/i-134.pdf,www.uscis.gov/i-134,1688
2024-01-04,CBP DTOPS - Checkout Payment Confirmation,file_download,/main/paymentreceipt.pdf,dtops.cbp.dhs.gov/main/paymentReturn.html,1666
2024-01-04,"Application for Asylum and for Withholding of Removal | USCIS",file_download,/sites/default/files/document/forms/i-589.pdf,www.uscis.gov/i-589,1591
2024-01-04,"USCIS To Publish Revised Form I-9 | USCIS",file_download,/sites/default/files/document/forms/i-9.pdf,www.uscis.gov/newsroom/alerts/uscis-to-publish-revised-form-i-9,1581
2024-01-04,"E-Notification of Application/Petition Acceptance | USCIS",file_download,/sites/default/files/document/forms/g-1145.pdf,www.uscis.gov/g-1145,1568
2024-01-04,"Application for Employment Authorization | USCIS",file_download,/sites/default/files/document/forms/i-765instr.pdf,www.uscis.gov/i-765,1503
2024-01-04,"Affidavit of Support Under Section 213A of the INA | USCIS",file_download,/sites/default/files/document/forms/i-864instr.pdf,www.uscis.gov/i-864,1423
2024-01-04,"Petition to Remove Conditions on Residence | USCIS",file_download,/sites/default/files/document/forms/i-751.pdf,www.uscis.gov/i-751,1342
2024-01-04,"Six-Month Validity Update | U.S. Customs and Border Protection",file_download,/sites/default/files/assets/documents/2022-mar/six-month%20passport%20validity%20update%2020220316.pdf,www.cbp.gov/document/bulletins/six-month-validity-update,1336
2024-01-04,"Study for the Test | USCIS",file_download,/sites/default/files/document/questions-and-answers/ooc_100_questions_2008_civics_test_v1.pdf,www.uscis.gov/citizenship/find-study-materials-and-resources/study-for-the-test,1336
2024-01-04,"Form 6059B Customs Declaration - English (Fillable) | U.S. Customs and Border Protection",file_download,/sites/default/files/assets/documents/2022-jun/cbp%20form%206059b_english.pdf,www.cbp.gov/document/forms/form-6059b-customs-declaration-english-fillable,1286
2024-01-04,I94 - Official Website,file_download,/i94/i94-en.pdf,i94.cbp.dhs.gov/I94/#/home,1040
2024-01-04,"Petition for Alien Fiancé(e) | USCIS",file_download,/sites/default/files/document/forms/i-129f.pdf,www.uscis.gov/i-129f,1020
2024-01-04,I94 - Official Website,file_download,/i94/i94-sp.pdf,i94.cbp.dhs.gov/I94/#/home,1012
2024-01-04,"Petition for Alien Relative | USCIS",file_download,/sites/default/files/document/forms/i-130instr.pdf,www.uscis.gov/i-130,916
2024-01-04,"Petition for a Nonimmigrant Worker | USCIS",file_download,/sites/default/files/document/forms/i-129.pdf,www.uscis.gov/i-129,914
2024-01-04,"Contract Between Sponsor and Household Member | USCIS",file_download,/sites/default/files/document/forms/i-864a.pdf,www.uscis.gov/i-864a,898
2024-01-04,"Application to Replace Permanent Resident Card (Green Card) | USCIS",file_download,/sites/default/files/document/forms/i-90instr.pdf,www.uscis.gov/i-90,882
2024-01-04,"Application for Travel Document | USCIS",file_download,/sites/default/files/document/forms/i-131instr.pdf,www.uscis.gov/i-131,829
2024-01-04,"My personal information has changed. How do I update my information so that I can continue to receive TSA PreCheck®? | Transportation Security Administration",file_download,/sites/default/files/contact-your-enrollmentprovider-infographic.pdf,www.tsa.gov/travel/frequently-asked-questions/my-personal-information-has-changed-how-do-i-update-my,827
2024-01-04,"Petition to Remove Conditions on Residence | USCIS",file_download,/sites/default/files/document/forms/i-751instr.pdf,www.uscis.gov/i-751,827
