domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.uscis.gov,www.uscis.gov/,"Home | USCIS",6744306,5211452,2413085,1.2941316546712893,109.35636400918561,0.34449401049841771
egov.uscis.gov,egov.uscis.gov/,Case Status Online,6619038,4964173,2120220,1.3333614682647039,58.335724459501705,0.29509890167002639
my.uscis.gov,my.uscis.gov/,"USCIS | myUSCIS Home Page",6468798,5547883,1750929,1.1659939476012742,298.57752082008119,0.50701375641843927
esta.cbp.dhs.gov,esta.cbp.dhs.gov/,"Official ESTA Application Website, U.S. Customs and Border Protection",5959131,3624134,2080159,1.6442910223518226,220.81890829098836,0.26752211700781481
esta.cbp.dhs.gov,esta.cbp.dhs.gov/individualStatusLookup,"Official ESTA Application Website, U.S. Customs and Border Protection",2959911,1956380,1253503,1.5129524938917798,104.79906721417953,0.10532974166572956
i94.cbp.dhs.gov,i94.cbp.dhs.gov/home,I94 - Official Website,2732566,1997730,1139352,1.3678354932848784,145.49286005899239,0.14455657170888958
egov.uscis.gov,egov.uscis.gov/,Case Status Online - Case Status Search,2638032,4192887,1520383,0.62916839876676856,134.97466520632892,0.33460572631697444
i94.cbp.dhs.gov,i94.cbp.dhs.gov/recent-search,I94 - Official Website,2156697,1198470,805568,1.7995419159428272,111.86002408959199,0.0087227882216492688
i94.cbp.dhs.gov,i94.cbp.dhs.gov/I94/#/home,I94 - Official Website,2019305,1889813,1164413,1.0685210653117532,172.54014741915987,0.11724228799357397
www.tsa.gov,www.tsa.gov/precheck,"TSA PreCheck® | Transportation Security Administration",1914489,1526655,1302077,1.2540416793578117,110.92859240125726,0.31989480268954018
tsaenrollmentbyidemia.tsa.dhs.gov,tsaenrollmentbyidemia.tsa.dhs.gov/,"TSA Enrollment | TSA Enrollment by IDEMIA",1836684,1387156,934290,1.3240652096808145,137.3922502029894,0.26068012537883267
esta.cbp.dhs.gov,esta.cbp.dhs.gov/estaStatus,"Official ESTA Application Website, U.S. Customs and Border Protection",1828773,1269847,917713,1.4401522388130223,145.58091035301121,0.028486896452879756
www.tsa.gov,www.tsa.gov/travel/security-screening/whatcanibring/all,"What Can I Bring? All | Transportation Security Administration",1772147,539068,423181,3.2874257051058495,176.06295972784088,0.24306766493280996
tsaenrollmentbyidemia.tsa.dhs.gov,tsaenrollmentbyidemia.tsa.dhs.gov/workflows,"Service Status | TSA Enrollment by IDEMIA",1612375,1363378,791326,1.1826324027525748,149.10180557460055,0.39104782386102754
esta.cbp.dhs.gov,esta.cbp.dhs.gov/esta,"Official ESTA Application Website, U.S. Customs and Border Protection",1513000,1275147,976329,1.1865290825293084,173.841356962933,0.24064833309414521
i94.cbp.dhs.gov,i94.cbp.dhs.gov/recent-results,I94 - Official Website,1453144,959444,663427,1.5145688544615423,120.9146338168935,0.005107124542964467
esta.cbp.dhs.gov,esta.cbp.dhs.gov/applicantInfo,"Official ESTA Application Website, U.S. Customs and Border Protection",1416379,909381,726741,1.5575198954013774,89.295490726628842,0.052342197604744324
egov.uscis.gov,egov.uscis.gov/processing-times/,Processing Times,1352229,1168559,678275,1.1571764883073941,196.44062199237544,0.21584703895994981
www.tsa.gov,www.tsa.gov/precheck/enrollment-centers,"TSA PreCheck® Enrollment Centers | Transportation Security Administration",1283192,628795,484766,2.0407143822708513,150.80881576730079,0.17252681716616702
www.uscis.gov,www.uscis.gov/i-9-central/form-i-9-acceptable-documents,"Form I-9 Acceptable Documents | USCIS",1220616,1084009,790587,1.126020171419241,137.14826487524883,0.46986787010070952
