source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,28779460,69489289,14236941,2.4145445744986183,292.49430002243395,0.40726566794512475
(direct),Direct,28660506,68684094,17758374,2.3964717859482314,257.96950654714709,0.50145353330468068
bing,Organic Search,1972850,5960306,864217,3.0211653192082522,445.4170191564412,0.33530831031249209
(not set),Unassigned,693064,2149267,635705,3.1011089884916831,413.28714433418696,0.93910807659898654
google,Paid Search,861358,1944639,644273,2.2576431634697767,205.1898944736904,0.3644233872559377
yahoo,Organic Search,496527,1398666,221775,2.8168981747216164,414.12584729802614,0.34441228775071647
naver,Organic Search,79773,649036,41455,8.1360360021561178,1083.4315060001254,0.17627518082559263
duckduckgo,Organic Search,192584,423355,126557,2.1982875005192541,242.14982128616086,0.38828770822082831
GetworkbyLinkup,Unassigned,248836,361528,216162,1.4528765934189587,91.149576079895979,0.53296548730891025
(other),(other),1364285,334004,1264004,0.24481981404178746,28.900874856624529,0.43886064861814061
baidu,Organic Search,40721,235623,23338,5.786277350752683,810.57447441325121,0.3181650745315685
doubleverify.com,Display,211014,220525,201557,1.0450728387689916,17.862075510615409,0.91934184461694479
fbig,Organic Social,125781,173040,124166,1.3757244734896368,60.658605637274313,0.73197064739507556
bing,Paid Search,55969,163340,45202,2.9184012578391609,286.0156319611213,0.29130411477782342
facebook.com,Paid Social,134465,142272,122620,1.0580597181422675,11.94861409809244,0.93996207191462466
talent.com,Unassigned,48805,65989,39205,1.3520950722262064,106.20213896955231,0.53207663149267492
ecosia.org,Organic Search,20719,64712,11790,3.1233167623920073,395.84746903426804,0.37661084029151987
meta,Paid Social,58204,61279,54143,1.0528314205209264,12.167825260033673,0.887121160057728
twitter.com,Paid Social,48986,53496,47477,1.0920671212183073,11.891743727044462,0.92552974319193237
instagram.com,Paid Social,37351,50529,36583,1.3528151856710664,39.498016604722764,0.80375358089475513
