date,visits
2024-01-04,2749000
2024-01-03,2876266
2024-01-02,2827340
2024-01-01,1521336
2023-12-31,1170975
2023-12-30,1475006
2023-12-29,2014195
2023-12-28,2320681
2023-12-27,2430155
2023-12-26,2065593
2023-12-25,1271074
2023-12-24,1114260
2023-12-23,1343753
2023-12-22,1927269
2023-12-21,2237795
2023-12-20,2361015
2023-12-19,2377302
2023-12-18,2496964
2023-12-17,1528271
2023-12-16,1517601
2023-12-15,2154698
2023-12-14,2450639
2023-12-13,2617605
2023-12-12,2535517
2023-12-11,2781946
2023-12-10,1568302
2023-12-09,1495636
2023-12-08,2151150
2023-12-07,2469609
2023-12-06,2540211
2023-12-05,2720170
2023-12-04,2735658
2023-12-03,1615577
2023-12-02,1547594
2023-12-01,2247080
2023-11-30,2557404
2023-11-29,2697301
2023-11-28,2621203
2023-11-27,2665524
2023-11-26,1608767
2023-11-25,1429220
2023-11-24,1544405
2023-11-23,1455451
2023-11-22,2191870
2023-11-21,2429038
2023-11-20,2609671
2023-11-19,1547069
2023-11-18,1516541
2023-11-17,2276431
2023-11-16,2467661
2023-11-15,2635647
2023-11-14,2750907
2023-11-13,2672047
2023-11-12,1543920
2023-11-11,1520784
2023-11-10,2116718
2023-11-09,2546588
2023-11-08,2688801
2023-11-07,2707096
2023-11-06,2324945
2023-11-05,1322368
2023-11-04,1200427
2023-11-03,1764781
2023-11-02,1970309
2023-11-01,2029804
2023-10-31,1883762
2023-10-30,2048852
2023-10-29,1259622
2023-10-28,1155569
2023-10-27,1784071
2023-10-26,1905599
2023-10-25,2022160
2023-10-24,2099922
2023-10-23,2109688
2023-10-22,1364589
2023-10-21,1267217
2023-10-20,1879541
2023-10-19,2191989
2023-10-18,2106387
2023-10-17,2098390
2023-10-16,2207373
2023-10-15,1368536
2023-10-14,1292802
2023-10-13,1960715
2023-10-12,2183994
2023-10-11,2207721
2023-10-10,2174008
2023-10-09,2091436
2023-10-08,1374417
2023-10-07,1348942
