date,browser,os_version,visits
2024-01-04,Chrome,10,147955
2024-01-04,Chrome,11,86833
2024-01-04,Edge,10,47117
2024-01-04,Edge,11,42417
2024-01-04,Firefox,10,11305
2024-01-04,Chrome,7,3611
2024-01-04,Chrome,8.1,1175
2024-01-04,Opera,10,1057
2024-01-04,Firefox,7,494
2024-01-04,Whale Browser,10,255
2024-01-04,Chrome,8,207
2024-01-04,Edge,7,182
2024-01-04,Edge,8.1,137
2024-01-04,Internet Explorer,10,136
2024-01-03,Chrome,10,156760
2024-01-03,Chrome,11,80952
2024-01-03,Edge,10,45491
2024-01-03,Edge,11,40879
2024-01-03,Firefox,10,10835
2024-01-03,Chrome,7,3570
2024-01-03,Chrome,8.1,1118
2024-01-03,Opera,10,966
2024-01-03,Firefox,7,470
2024-01-03,Whale Browser,10,287
2024-01-03,Chrome,8,191
2024-01-03,Edge,7,175
2024-01-03,Internet Explorer,10,158
2024-01-03,Edge,8.1,130
2024-01-03,Firefox,8.1,104
2024-01-02,Chrome,10,132466
2024-01-02,Chrome,11,82726
2024-01-02,Edge,10,44803
2024-01-02,Edge,11,41418
2024-01-02,Firefox,10,10995
2024-01-02,Chrome,7,3583
2024-01-02,Chrome,8.1,1185
2024-01-02,Opera,10,1013
2024-01-02,Firefox,7,479
2024-01-02,Whale Browser,10,297
2024-01-02,Chrome,8,223
2024-01-02,Edge,7,172
2024-01-02,Internet Explorer,10,143
2024-01-02,Edge,8.1,130
2024-01-01,Chrome,10,66769
2024-01-01,Chrome,11,52099
2024-01-01,Edge,11,25821
2024-01-01,Edge,10,20441
2024-01-01,Firefox,10,7346
2024-01-01,Chrome,7,2601
2024-01-01,Opera,10,1108
2024-01-01,Chrome,8.1,845
2024-01-01,Firefox,7,703
2024-01-01,Chrome,8,296
2024-01-01,Whale Browser,10,290
2024-01-01,Edge,7,122
2023-12-31,Chrome,10,57337
2023-12-31,Chrome,11,43124
2023-12-31,Edge,11,22284
2023-12-31,Edge,10,17154
2023-12-31,Firefox,10,6742
2023-12-31,Chrome,7,2214
2023-12-31,Opera,10,972
2023-12-31,Chrome,8.1,722
2023-12-31,Firefox,7,520
2023-12-31,Chrome,8,334
2023-12-31,Whale Browser,10,106
2023-12-30,Chrome,10,65101
2023-12-30,Chrome,11,49376
2023-12-30,Edge,11,24567
2023-12-30,Edge,10,18470
2023-12-30,Firefox,10,7164
2023-12-30,Chrome,7,2673
2023-12-30,Opera,10,1005
2023-12-30,Chrome,8.1,953
2023-12-30,Firefox,7,583
2023-12-30,Chrome,8,311
2023-12-30,Edge,7,116
2023-12-30,Edge,8.1,108
2023-12-30,Whale Browser,10,106
2023-12-30,Firefox,8.1,105
2023-12-29,Chrome,10,111504
2023-12-29,Chrome,11,70968
2023-12-29,Edge,10,34787
2023-12-29,Edge,11,34639
2023-12-29,Firefox,10,9514
2023-12-29,Chrome,7,3327
2023-12-29,Opera,10,1163
2023-12-29,Chrome,8.1,1105
2023-12-29,Firefox,7,461
2023-12-29,Chrome,8,278
2023-12-29,Edge,7,163
2023-12-29,Whale Browser,10,127
2023-12-29,Internet Explorer,10,110
2023-12-29,Edge,8.1,102
2023-12-28,Chrome,10,114098
2023-12-28,Chrome,11,77384
2023-12-28,Edge,10,39426
2023-12-28,Edge,11,36696
2023-12-28,Firefox,10,9893
2023-12-28,Chrome,7,3735
2023-12-28,Chrome,8.1,1229
2023-12-28,Opera,10,1068
2023-12-28,Firefox,7,503
2023-12-28,Chrome,8,245
2023-12-28,Whale Browser,10,228
2023-12-28,Edge,7,192
2023-12-28,Edge,8.1,133
2023-12-28,Internet Explorer,10,118
2023-12-27,Chrome,10,118203
2023-12-27,Chrome,11,76624
2023-12-27,Edge,10,38858
2023-12-27,Edge,11,37517
2023-12-27,Firefox,10,9615
2023-12-27,Chrome,7,3613
2023-12-27,Chrome,8.1,1189
2023-12-27,Opera,10,1036
2023-12-27,Firefox,7,449
2023-12-27,Whale Browser,10,256
2023-12-27,Chrome,8,237
2023-12-27,Edge,7,197
2023-12-27,Internet Explorer,10,129
2023-12-27,Edge,8.1,119
2023-12-27,Firefox,8.1,113
2023-12-26,Chrome,10,107587
2023-12-26,Chrome,11,71453
2023-12-26,Edge,10,35928
2023-12-26,Edge,11,35901
2023-12-26,Firefox,10,9280
2023-12-26,Chrome,7,3897
2023-12-26,Chrome,8.1,1137
2023-12-26,Opera,10,1060
2023-12-26,Firefox,7,488
2023-12-26,Whale Browser,10,309
2023-12-26,Chrome,8,248
2023-12-26,Edge,7,184
2023-12-26,Internet Explorer,10,124
2023-12-26,Firefox,8.1,120
2023-12-26,Edge,8.1,104
2023-12-25,Chrome,10,58248
2023-12-25,Chrome,11,44416
2023-12-25,Edge,11,21657
2023-12-25,Edge,10,18457
2023-12-25,Firefox,10,6250
2023-12-25,Chrome,7,2744
2023-12-25,Opera,10,1084
2023-12-25,Chrome,8.1,848
2023-12-25,Firefox,7,554
2023-12-25,Chrome,8,356
2023-12-25,Whale Browser,10,264
2023-12-25,YaBrowser,10,135
2023-12-25,Edge,7,106
2023-12-25,Edge,8.1,105
2023-12-24,Chrome,10,52138
2023-12-24,Chrome,11,40363
2023-12-24,Edge,11,19155
2023-12-24,Edge,10,16049
2023-12-24,Firefox,10,5757
2023-12-24,Chrome,7,2524
2023-12-24,Opera,10,1014
2023-12-24,Chrome,8.1,639
2023-12-24,Firefox,7,558
2023-12-24,Chrome,8,370
2023-12-24,Whale Browser,10,144
2023-12-24,YaBrowser,10,131
2023-12-24,Edge,7,123
2023-12-23,Chrome,10,60718
2023-12-23,Chrome,11,46558
2023-12-23,Edge,11,22881
2023-12-23,Edge,10,17491
2023-12-23,Firefox,10,6853
2023-12-23,Chrome,7,2772
2023-12-23,Opera,10,1082
2023-12-23,Chrome,8.1,863
2023-12-23,Firefox,7,522
2023-12-23,Chrome,8,358
2023-12-23,Edge,7,138
2023-12-23,Whale Browser,10,111
2023-12-23,YaBrowser,10,107
2023-12-22,Chrome,10,122603
2023-12-22,Chrome,11,74124
2023-12-22,Edge,10,38574
2023-12-22,Edge,11,36662
2023-12-22,Firefox,10,10059
2023-12-22,Chrome,7,3599
2023-12-22,Opera,10,1098
2023-12-22,Chrome,8.1,1061
2023-12-22,Firefox,7,540
2023-12-22,Chrome,8,264
2023-12-22,Edge,7,151
2023-12-22,Whale Browser,10,150
2023-12-22,Internet Explorer,10,137
2023-12-22,Firefox,8.1,114
2023-12-21,Chrome,10,136017
2023-12-21,Chrome,11,81253
2023-12-21,Edge,10,47740
2023-12-21,Edge,11,40687
2023-12-21,Firefox,10,11208
2023-12-21,Chrome,7,3985
2023-12-21,Chrome,8.1,1218
2023-12-21,Opera,10,1092
2023-12-21,Firefox,7,497
2023-12-21,Chrome,8,271
2023-12-21,Whale Browser,10,236
2023-12-21,Edge,7,189
2023-12-21,Internet Explorer,10,164
2023-12-21,Edge,8.1,136
2023-12-21,Firefox,8.1,105
2023-12-20,Chrome,10,149574
2023-12-20,Chrome,11,86153
2023-12-20,Edge,10,49738
2023-12-20,Edge,11,42587
2023-12-20,Firefox,10,11538
2023-12-20,Chrome,7,4073
2023-12-20,Chrome,8.1,1322
2023-12-20,Opera,10,1134
2023-12-20,Firefox,7,502
2023-12-20,Chrome,8,280
2023-12-20,Whale Browser,10,240
2023-12-20,Edge,7,224
2023-12-20,Internet Explorer,10,162
2023-12-20,Edge,8.1,113
2023-12-19,Chrome,10,143712
2023-12-19,Chrome,11,88394
2023-12-19,Edge,10,50348
2023-12-19,Edge,11,43188
2023-12-19,Firefox,10,11379
2023-12-19,Chrome,7,4205
2023-12-19,Chrome,8.1,1291
2023-12-19,Opera,10,1185
2023-12-19,Firefox,7,554
2023-12-19,Chrome,8,250
2023-12-19,Whale Browser,10,220
2023-12-19,Edge,7,184
2023-12-19,Internet Explorer,10,151
2023-12-19,Edge,8.1,144
2023-12-19,Firefox,8.1,127
2023-12-18,Chrome,10,146547
2023-12-18,Chrome,11,85641
2023-12-18,Edge,10,49189
2023-12-18,Edge,11,43842
2023-12-18,Firefox,10,11555
2023-12-18,Chrome,7,4112
2023-12-18,Chrome,8.1,1281
2023-12-18,Opera,10,1148
2023-12-18,Firefox,7,508
2023-12-18,Chrome,8,254
2023-12-18,Whale Browser,10,244
2023-12-18,Edge,7,207
2023-12-18,Internet Explorer,10,152
2023-12-18,Edge,8.1,131
2023-12-18,Firefox,8.1,115
2023-12-18,YaBrowser,10,103
2023-12-17,Chrome,10,73103
2023-12-17,Chrome,11,56948
2023-12-17,Edge,11,27335
2023-12-17,Edge,10,22375
2023-12-17,Firefox,10,8054
2023-12-17,Chrome,7,2902
2023-12-17,Opera,10,1133
2023-12-17,Chrome,8.1,935
2023-12-17,Firefox,7,511
2023-12-17,Chrome,8,284
2023-12-17,Whale Browser,10,230
2023-12-17,Edge,7,156
2023-12-17,Edge,8.1,118
2023-12-17,YaBrowser,10,117
2023-12-16,Chrome,10,70960
2023-12-16,Chrome,11,54385
2023-12-16,Edge,11,27058
2023-12-16,Edge,10,20540
2023-12-16,Firefox,10,7874
2023-12-16,Chrome,7,3166
2023-12-16,Opera,10,1152
2023-12-16,Chrome,8.1,980
2023-12-16,Firefox,7,590
2023-12-16,Chrome,8,365
2023-12-16,Whale Browser,10,147
2023-12-16,Edge,7,144
2023-12-16,Edge,8.1,119
2023-12-16,Firefox,8.1,118
2023-12-16,YaBrowser,10,113
2023-12-16,Internet Explorer,10,103
2023-12-15,Chrome,10,136381
2023-12-15,Chrome,11,84729
2023-12-15,Edge,10,46337
2023-12-15,Edge,11,42673
2023-12-15,Firefox,10,11550
2023-12-15,Chrome,7,4121
2023-12-15,Chrome,8.1,1284
2023-12-15,Opera,10,1150
2023-12-15,Firefox,7,601
2023-12-15,Chrome,8,290
2023-12-15,Edge,7,194
2023-12-15,Whale Browser,10,160
2023-12-15,Internet Explorer,10,145
2023-12-15,Firefox,8.1,142
2023-12-15,Edge,8.1,122
2023-12-15,YaBrowser,10,103
2023-12-14,Chrome,10,148262
2023-12-14,Chrome,11,85871
2023-12-14,Edge,10,49441
2023-12-14,Edge,11,43566
2023-12-14,Firefox,10,11710
2023-12-14,Chrome,7,4134
2023-12-14,Chrome,8.1,1297
2023-12-14,Opera,10,1209
2023-12-14,Firefox,7,546
2023-12-14,Chrome,8,303
2023-12-14,Whale Browser,10,246
2023-12-14,Edge,7,210
2023-12-14,Internet Explorer,10,147
2023-12-14,Edge,8.1,142
2023-12-14,YaBrowser,10,119
2023-12-14,Firefox,8.1,104
2023-12-13,Chrome,10,143164
2023-12-13,Chrome,11,87638
2023-12-13,Edge,10,49327
2023-12-13,Edge,11,45105
2023-12-13,Firefox,10,11577
2023-12-13,Chrome,7,4194
2023-12-13,Chrome,8.1,1264
2023-12-13,Opera,10,1182
2023-12-13,Firefox,7,555
2023-12-13,Whale Browser,10,264
2023-12-13,Chrome,8,252
2023-12-13,Edge,7,174
2023-12-13,Internet Explorer,10,140
2023-12-13,Edge,8.1,133
2023-12-13,Firefox,8.1,124
2023-12-13,YaBrowser,10,103
2023-12-12,Chrome,10,140502
2023-12-12,Chrome,11,90486
2023-12-12,Edge,10,48998
2023-12-12,Edge,11,44916
2023-12-12,Firefox,10,11680
2023-12-12,Chrome,7,4159
2023-12-12,Chrome,8.1,1224
