date,mobile_device,visits
2024-01-04,Chrome,45550
2024-01-04,iPhone,31897
2024-01-04,Edge,20025
2024-01-04,Safari,10126
2024-01-04,(not set),3015
2024-01-04,Firefox,1914
2024-01-04,ChromeBook,1707
2024-01-03,Chrome,43933
2024-01-03,iPhone,32326
2024-01-03,Edge,19201
2024-01-03,Safari,9183
2024-01-03,(not set),2859
2024-01-03,Firefox,1735
2024-01-03,ChromeBook,1571
2024-01-02,Chrome,40651
2024-01-02,iPhone,31236
2024-01-02,Edge,17943
2024-01-02,Safari,9062
2024-01-02,(not set),2635
2024-01-02,Firefox,1656
2024-01-02,ChromeBook,1518
2024-01-01,iPhone,20105
2024-01-01,Chrome,6584
2024-01-01,Safari,4706
2024-01-01,Edge,2687
2023-12-31,iPhone,16756
2023-12-31,Chrome,5274
2023-12-31,Safari,3624
2023-12-31,Edge,2023
2023-12-30,iPhone,20623
2023-12-30,Chrome,6560
2023-12-30,Safari,4533
2023-12-30,Edge,2449
2023-12-29,iPhone,23904
2023-12-29,Chrome,23834
2023-12-29,Edge,10173
2023-12-29,Safari,5939
2023-12-29,(not set),1867
2023-12-29,Firefox,1082
2023-12-28,Chrome,29017
2023-12-28,iPhone,26691
2023-12-28,Edge,14038
2023-12-28,Safari,6823
2023-12-28,(not set),2183
2023-12-28,Firefox,1355
2023-12-28,ChromeBook,1005
2023-12-27,Chrome,38091
2023-12-27,iPhone,26796
2023-12-27,Edge,14178
2023-12-27,Safari,6573
2023-12-27,(not set),2122
2023-12-27,Firefox,1351
2023-12-26,iPhone,22227
2023-12-26,Chrome,20682
2023-12-26,Edge,9639
2023-12-26,Safari,5520
2023-12-26,(not set),1806
2023-12-25,iPhone,13001
2023-12-25,Chrome,4074
2023-12-25,Safari,2644
2023-12-25,Edge,1414
2023-12-24,iPhone,11990
2023-12-24,Chrome,3781
2023-12-24,Safari,2618
2023-12-24,Edge,1403
2023-12-23,iPhone,14949
2023-12-23,Chrome,5196
2023-12-23,Safari,3036
2023-12-23,Edge,1813
2023-12-22,Chrome,20539
2023-12-22,iPhone,19021
2023-12-22,Edge,8821
2023-12-22,Safari,4912
2023-12-22,(not set),1865
2023-12-22,Internet Explorer,1246
2023-12-21,Chrome,33482
2023-12-21,iPhone,23522
2023-12-21,Edge,15242
2023-12-21,Safari,7410
2023-12-21,(not set),2465
2023-12-21,Firefox,1400
2023-12-21,ChromeBook,1165
2023-12-20,Chrome,37521
2023-12-20,iPhone,25626
2023-12-20,Edge,16353
2023-12-20,Safari,7392
2023-12-20,(not set),2816
2023-12-20,Firefox,1460
2023-12-20,ChromeBook,1233
2023-12-20,SM-A146U,1136
2023-12-19,Chrome,41189
2023-12-19,iPhone,25508
2023-12-19,Edge,17604
2023-12-19,Safari,8102
2023-12-19,(not set),3161
2023-12-19,Firefox,1768
2023-12-19,ChromeBook,1421
2023-12-18,Chrome,40756
2023-12-18,iPhone,26259
2023-12-18,Edge,17632
2023-12-18,Safari,8413
2023-12-18,(not set),2331
2023-12-18,Firefox,1618
2023-12-18,ChromeBook,1588
2023-12-17,iPhone,17362
2023-12-17,Chrome,5998
2023-12-17,Safari,3996
2023-12-17,Edge,2222
2023-12-16,iPhone,18216
2023-12-16,Chrome,6947
2023-12-16,Safari,4378
2023-12-16,Edge,2558
2023-12-16,(not set),1101
2023-12-15,Chrome,32892
2023-12-15,iPhone,23518
2023-12-15,Edge,13575
2023-12-15,Safari,7052
2023-12-15,(not set),2812
2023-12-15,SM-A146U,1797
2023-12-15,ChromeBook,1472
2023-12-15,Firefox,1275
2023-12-14,Chrome,38987
2023-12-14,iPhone,25894
2023-12-14,Edge,17144
2023-12-14,Safari,7998
2023-12-14,(not set),3367
2023-12-14,ChromeBook,1777
2023-12-14,SM-A146U,1671
2023-12-14,Firefox,1504
2023-12-13,Chrome,42362
2023-12-13,iPhone,28296
2023-12-13,Edge,17758
2023-12-13,Safari,8724
2023-12-13,(not set),2762
2023-12-13,ChromeBook,2018
2023-12-13,Firefox,1516
2023-12-12,Chrome,43863
2023-12-12,iPhone,26943
2023-12-12,Edge,18058
2023-12-12,Safari,8896
2023-12-12,(not set),2776
2023-12-12,ChromeBook,2117
2023-12-12,Firefox,1716
2023-12-11,Chrome,41723
2023-12-11,iPhone,26578
2023-12-11,Edge,18669
2023-12-11,Safari,9355
2023-12-11,(not set),2646
2023-12-11,ChromeBook,2091
2023-12-11,Firefox,1638
2023-12-10,iPhone,20165
2023-12-10,Chrome,9307
2023-12-10,Safari,5538
2023-12-10,Edge,3059
2023-12-10,(not set),1248
2023-12-09,iPhone,19359
2023-12-09,Chrome,9536
2023-12-09,Safari,4810
2023-12-09,Edge,2649
2023-12-09,(not set),2335
2023-12-08,Chrome,33686
2023-12-08,iPhone,24843
2023-12-08,Edge,14078
2023-12-08,Safari,7775
2023-12-08,(not set),2768
2023-12-08,ChromeBook,1847
2023-12-08,Firefox,1336
2023-12-08,SM-A146U,1092
2023-12-07,Chrome,41532
2023-12-07,iPhone,28504
2023-12-07,Edge,17728
2023-12-07,Safari,10001
2023-12-07,(not set),2778
2023-12-07,ChromeBook,2120
2023-12-07,Firefox,1591
2023-12-06,Chrome,43580
2023-12-06,iPhone,30213
2023-12-06,Edge,18497
2023-12-06,Safari,9961
2023-12-06,(not set),2821
2023-12-06,ChromeBook,2223
2023-12-06,Firefox,1688
2023-12-05,Chrome,44491
2023-12-05,iPhone,30283
2023-12-05,Edge,19270
2023-12-05,Safari,10288
2023-12-05,(not set),2829
2023-12-05,ChromeBook,2695
2023-12-05,Firefox,1834
2023-12-04,Chrome,42374
2023-12-04,iPhone,29888
2023-12-04,Edge,18448
2023-12-04,Safari,10685
2023-12-04,(not set),2891
2023-12-04,ChromeBook,2260
2023-12-04,Firefox,1766
2023-12-03,iPhone,24123
2023-12-03,Chrome,8579
2023-12-03,Safari,6362
2023-12-03,Edge,3220
2023-12-03,(not set),1266
2023-12-02,iPhone,28672
2023-12-02,Chrome,8259
2023-12-02,Safari,5522
2023-12-02,Edge,3017
2023-12-02,SM-A146U,1917
2023-12-02,(not set),1633
2023-12-02,moto g pure,1100
2023-12-02,SM-S908U,1089
2023-12-02,SM-S918U,1060
2023-12-01,Chrome,35610
2023-12-01,iPhone,30511
2023-12-01,Edge,15639
2023-12-01,Safari,8507
2023-12-01,(not set),2793
2023-12-01,ChromeBook,1965
2023-12-01,Firefox,1570
2023-12-01,SM-A146U,1469
2023-12-01,SM-S908U,1024
2023-11-30,Chrome,56892
2023-11-30,iPhone,34274
2023-11-30,Edge,18671
2023-11-30,Safari,10134
2023-11-30,(not set),3213
2023-11-30,ChromeBook,2518
2023-11-30,Firefox,1636
2023-11-30,SM-A146U,1352
2023-11-30,SM-S908U,1232
2023-11-30,SM-S918U,1208
2023-11-29,Chrome,47057
2023-11-29,iPhone,40178
2023-11-29,Edge,19367
2023-11-29,Safari,10759
2023-11-29,(not set),3693
2023-11-29,ChromeBook,2350
2023-11-29,SM-A146U,2290
2023-11-29,Firefox,1798
2023-11-29,SM-S918U,1624
2023-11-29,SM-S908U,1556
2023-11-29,SM-A037U,1200
2023-11-29,moto g pure,1142
2023-11-29,SM-S901U,1062
2023-11-28,Chrome,47455
2023-11-28,iPhone,38409
2023-11-28,Edge,20173
2023-11-28,Safari,10819
2023-11-28,(not set),3864
2023-11-28,ChromeBook,2489
2023-11-28,SM-A146U,2248
2023-11-28,Firefox,1837
2023-11-28,moto g pure,1255
2023-11-28,SM-S908U,1214
2023-11-28,SM-A037U,1211
2023-11-28,SM-S918U,1171
2023-11-27,Chrome,40181
2023-11-27,iPhone,32405
2023-11-27,Edge,18216
2023-11-27,Safari,10249
2023-11-27,(not set),2829
2023-11-27,ChromeBook,2159
2023-11-27,Firefox,1763
2023-11-27,SM-A146U,1100
2023-11-26,iPhone,22519
2023-11-26,Chrome,7668
2023-11-26,Safari,5953
2023-11-26,Edge,2969
2023-11-25,iPhone,19543
2023-11-25,Chrome,6657
2023-11-25,Safari,5049
2023-11-25,(not set),3170
2023-11-25,Edge,2458
2023-11-24,iPhone,18403
2023-11-24,Chrome,9769
2023-11-24,Safari,4631
2023-11-24,Edge,3917
2023-11-24,(not set),1332
2023-11-24,Internet Explorer,1016
2023-11-23,iPhone,13633
2023-11-23,Chrome,4656
2023-11-23,Safari,3787
2023-11-23,Edge,1668
2023-11-22,Chrome,26924
2023-11-22,iPhone,19865
2023-11-22,Edge,10869
2023-11-22,Safari,5860
2023-11-22,(not set),1864
2023-11-22,Firefox,1086
2023-11-21,Chrome,37429
2023-11-21,iPhone,25295
2023-11-21,Edge,16472
2023-11-21,Safari,7554
2023-11-21,(not set),2370
2023-11-21,Firefox,1560
2023-11-21,ChromeBook,1376
2023-11-20,Chrome,40563
2023-11-20,iPhone,27317
2023-11-20,Edge,17459
2023-11-20,Safari,8871
2023-11-20,(not set),2439
2023-11-20,ChromeBook,1617
2023-11-20,Firefox,1616
2023-11-19,iPhone,19732
2023-11-19,Chrome,7974
2023-11-19,Safari,5438
2023-11-19,Edge,2955
2023-11-18,iPhone,20913
2023-11-18,Chrome,7677
2023-11-18,Safari,4767
2023-11-18,Edge,2814
2023-11-18,(not set),1032
2023-11-17,Chrome,39500
2023-11-17,iPhone,27614
2023-11-17,Edge,15091
2023-11-17,Safari,8031
2023-11-17,(not set),2690
2023-11-17,ChromeBook,1895
2023-11-17,Firefox,1490
2023-11-17,SM-A146U,1354
2023-11-16,Chrome,47229
2023-11-16,iPhone,32434
2023-11-16,Edge,18933
2023-11-16,Safari,10061
2023-11-16,(not set),3640
2023-11-16,ChromeBook,2320
2023-11-16,SM-A146U,1989
2023-11-16,Firefox,1802
2023-11-16,SM-S918U,1240
2023-11-16,SM-S908U,1199
2023-11-15,Chrome,44754
2023-11-15,iPhone,34175
2023-11-15,Edge,18959
2023-11-15,Safari,10064
2023-11-15,(not set),3025
2023-11-15,ChromeBook,2210
2023-11-15,Firefox,1743
2023-11-15,SM-A146U,1404
2023-11-14,Chrome,45718
2023-11-14,iPhone,33417
2023-11-14,Edge,19235
2023-11-14,Safari,10145
2023-11-14,(not set),2955
2023-11-14,ChromeBook,2258
2023-11-14,Firefox,1802
2023-11-14,SM-A146U,1208
2023-11-13,Chrome,43279
2023-11-13,iPhone,32665
2023-11-13,Edge,18458
2023-11-13,Safari,10475
2023-11-13,(not set),2761
2023-11-13,ChromeBook,2167
2023-11-13,Firefox,1777
2023-11-12,iPhone,22222
2023-11-12,Chrome,8777
2023-11-12,Safari,6014
2023-11-12,Edge,2961
2023-11-12,(not set),1035
2023-11-11,iPhone,18462
2023-11-11,Chrome,8584
2023-11-11,Safari,3811
2023-11-11,(not set),2262
2023-11-11,Edge,2256
2023-11-10,Chrome,36912
2023-11-10,iPhone,25667
2023-11-10,Edge,9762
2023-11-10,Safari,7080
2023-11-10,(not set),2086
2023-11-10,Internet Explorer,1944
2023-11-10,ChromeBook,1423
2023-11-10,Firefox,1044
2023-11-09,Chrome,42217
2023-11-09,iPhone,31161
2023-11-09,Edge,17458
2023-11-09,Safari,10293
2023-11-09,(not set),2610
2023-11-09,ChromeBook,2074
2023-11-09,Firefox,1674
2023-11-08,Chrome,54480
2023-11-08,iPhone,35741
2023-11-08,Edge,22722
2023-11-08,Safari,12765
2023-11-08,(not set),3989
2023-11-08,Firefox,2372
2023-11-08,ChromeBook,2259
2023-11-07,Chrome,47130
2023-11-07,iPhone,33863
2023-11-07,Edge,19797
2023-11-07,Safari,10462
2023-11-07,(not set),2689
2023-11-07,ChromeBook,2039
2023-11-07,Firefox,1891
2023-11-06,Chrome,47303
2023-11-06,iPhone,34634
2023-11-06,Edge,21300
2023-11-06,Safari,10724
2023-11-06,(not set),2813
2023-11-06,ChromeBook,2211
2023-11-06,Firefox,2066
2023-11-05,iPhone,27790
2023-11-05,Chrome,8720
2023-11-05,Safari,6645
2023-11-05,Edge,3357
2023-11-05,ChromeBook,1081
2023-11-05,(not set),1035
2023-11-04,iPhone,27109
2023-11-04,Chrome,8057
2023-11-04,Safari,5220
2023-11-04,Edge,3115
2023-11-04,(not set),1108
2023-11-03,Chrome,42299
2023-11-03,iPhone,34016
2023-11-03,Edge,15588
2023-11-03,Safari,8128
2023-11-03,(not set),2733
2023-11-03,ChromeBook,1841
2023-11-03,Firefox,1495
2023-11-03,SM-A146U,1215
2023-11-03,SM-S908U,1050
2023-11-02,Chrome,44807
2023-11-02,iPhone,35353
2023-11-02,Edge,20357
2023-11-02,Safari,10217
2023-11-02,(not set),4307
2023-11-02,ChromeBook,2074
2023-11-02,Firefox,1846
2023-11-02,SM-A146U,1426
2023-11-02,SM-S918U,1004
2023-11-01,Chrome,48671
2023-11-01,iPhone,36144
2023-11-01,Edge,20238
2023-11-01,Safari,10296
2023-11-01,(not set),4303
2023-11-01,Firefox,2110
2023-11-01,ChromeBook,2072
2023-11-01,SM-A146U,1514
2023-11-01,SM-S908U,1034
2023-10-31,Chrome,43587
2023-10-31,iPhone,30310
2023-10-31,Edge,18662
2023-10-31,Safari,9040
2023-10-31,(not set),2795
2023-10-31,ChromeBook,1874
2023-10-31,Firefox,1848
2023-10-31,SM-A146U,1319
2023-10-30,Chrome,44848
2023-10-30,iPhone,31992
2023-10-30,Edge,19004
2023-10-30,Safari,10352
2023-10-30,(not set),2631
2023-10-30,ChromeBook,1933
2023-10-30,Firefox,1808
2023-10-30,SM-A146U,1125
2023-10-29,iPhone,22060
2023-10-29,Chrome,8717
2023-10-29,Safari,5786
2023-10-29,Edge,3179
2023-10-29,(not set),1035
2023-10-28,iPhone,23110
2023-10-28,Chrome,8779
2023-10-28,Safari,4919
2023-10-28,Edge,2863
