date,mobile_device,visits
2023-09-02,(not set),18617
2023-09-02,1 Plus,1
2023-09-02,100011885,1
2023-09-02,100011886,2
2023-09-02,1610,1
2023-09-02,1906,1
2023-09-02,2106118C,1
2023-09-02,21081111RG,1
2023-09-02,22127RK46C,1
2023-09-02,3310A,1
2023-09-02,4188C,5
2023-09-02,4188R,1
2023-09-02,5002R,2
2023-09-02,5004R,2
2023-09-02,5004S,1
2023-09-02,5007S,1
2023-09-02,5007W,2
2023-09-02,5007Z,1
2023-09-02,5032W,2
2023-09-02,5049S,1
2023-09-02,5062Z,5
2023-09-02,5087Z,8
2023-09-02,9032W,1
2023-09-02,9032Z,3
2023-09-02,9137W,5
2023-09-02,A10-70F,1
2023-09-02,A502DL,1
2023-09-02,A503DL,1
2023-09-02,A507DL,1
2023-09-02,A509DL,14
2023-09-02,A57,1
2023-09-02,A600DL,5
2023-09-02,A6010,1
2023-09-02,A6013,1
2023-09-02,AFTR,2
2023-09-02,Astro 55R,7
2023-09-02,Astro 8R,1
2023-09-02,B131DL,32
2023-09-02,B140DL,5
2023-09-02,BE2015,2
2023-09-02,BE2025,3
2023-09-02,BE2028,1
2023-09-02,BL8800 Pro,1
2023-09-02,C2 Tennen,1
2023-09-02,C20,1
2023-09-02,C5L,1
2023-09-02,C5L 2021,2
2023-09-02,C5L Max,19
2023-09-02,C6L 2021,1
2023-09-02,CP3320AS2,2
2023-09-02,CPH1825,1
2023-09-02,CPH1861,1
2023-09-02,CPH2127,1
2023-09-02,CPH2179,2
2023-09-02,CPH2389,2
2023-09-02,CPH2495,1
2023-09-02,Celero 5G,1
2023-09-02,Celero5G+,1
2023-09-02,DE2118,18
2023-09-02,DUB-LX1,1
2023-09-02,E6820,1
2023-09-02,E7110,1
2023-09-02,EABF22206A,2
2023-09-02,EC1002,4
2023-09-02,EC211002,1
2023-09-02,EC211003,1
2023-09-02,Edge (2022),2
2023-09-02,Edge 5G UW,1
2023-09-02,Edge Plus,2
2023-09-02,Elite 10QH,2
2023-09-02,Elite A63,1
2023-09-02,Elite B63,30
2023-09-02,Elite B65,1
2023-09-02,Elite E55,3
2023-09-02,Elite N55,1
2023-09-02,Elite OctaMax,3
2023-09-02,Elite P55 Max,10
2023-09-02,Elite R55,1
2023-09-02,FZ-N1,1
2023-09-02,Fire HD 10 Plus,14
2023-09-02,Firefox for Android,107
2023-09-02,Firefox for Android Tablet,1
2023-09-02,G400 5G,9
2023-09-02,G40C,2
2023-09-02,G51,1
2023-09-02,G61S,1
2023-09-02,G8,1
2023-09-02,G91,1
2023-09-02,GM1915,2
2023-09-02,GN2200,10
2023-09-02,H900,3
2023-09-02,HD1905,1
2023-09-02,HD1913,2
2023-09-02,HD1925,1
2023-09-02,HOMTOM HT7,1
2023-09-02,HPP-L55B,6
2023-09-02,HTCD100LVWPP,2
2023-09-02,Infinix X6816,1
2023-09-02,JKM-LX3,1
2023-09-02,K10 (2018),1
2023-09-02,K330,1
2023-09-02,K530,1
2023-09-02,K540,1
2023-09-02,KAZ-N20,1
