date,device,visits
2024-01-04,desktop,80434
2024-01-04,mobile,52953
2024-01-04,tablet,1395
2024-01-04,smart tv,13
2024-01-03,desktop,78507
2024-01-03,mobile,52182
2024-01-03,tablet,1407
2024-01-03,smart tv,7
2024-01-02,desktop,72418
2024-01-02,mobile,50558
2024-01-02,tablet,1376
2024-01-02,smart tv,4
2024-01-01,mobile,34152
2024-01-01,desktop,15727
2024-01-01,tablet,1097
2024-01-01,smart tv,4
2023-12-31,mobile,28805
2023-12-31,desktop,12688
2023-12-31,tablet,945
2023-12-31,smart tv,3
2023-12-30,mobile,34949
2023-12-30,desktop,15443
2023-12-30,tablet,962
2023-12-30,smart tv,4
2023-12-29,desktop,42975
2023-12-29,mobile,40381
2023-12-29,tablet,1183
2023-12-29,smart tv,10
2023-12-28,desktop,53792
2023-12-28,mobile,44475
2023-12-28,tablet,1307
2023-12-28,smart tv,7
2023-12-27,desktop,63343
2023-12-27,mobile,44242
2023-12-27,tablet,1225
2023-12-27,smart tv,3
2023-12-26,desktop,38199
2023-12-26,mobile,38048
2023-12-26,tablet,1166
2023-12-26,smart tv,3
2023-12-25,mobile,22300
2023-12-25,desktop,9325
2023-12-25,tablet,721
2023-12-24,mobile,20760
2023-12-24,desktop,8871
2023-12-24,tablet,711
2023-12-24,smart tv,2
2023-12-23,mobile,25770
2023-12-23,desktop,11228
2023-12-23,tablet,772
2023-12-23,smart tv,3
2023-12-22,desktop,38839
2023-12-22,mobile,36361
2023-12-22,tablet,1048
2023-12-22,smart tv,1
2023-12-21,desktop,61426
2023-12-21,mobile,41928
2023-12-21,tablet,1261
2023-12-21,smart tv,5
2023-12-20,desktop,67404
2023-12-20,mobile,48302
2023-12-20,tablet,1424
2023-12-20,smart tv,1
2023-12-19,desktop,73389
2023-12-19,mobile,43727
2023-12-19,tablet,1160
2023-12-19,smart tv,5
2023-12-18,desktop,71356
2023-12-18,mobile,43375
2023-12-18,tablet,1232
2023-12-18,smart tv,6
2023-12-17,mobile,28904
2023-12-17,desktop,13378
2023-12-17,tablet,994
2023-12-17,smart tv,1
2023-12-16,mobile,34486
2023-12-16,desktop,16081
2023-12-16,tablet,1112
2023-12-16,smart tv,4
2023-12-15,desktop,58060
2023-12-15,mobile,54929
2023-12-15,tablet,1579
2023-12-15,smart tv,6
2023-12-14,desktop,68485
2023-12-14,mobile,53838
2023-12-14,tablet,1647
2023-12-14,smart tv,7
2023-12-13,desktop,73367
2023-12-13,mobile,48290
2023-12-13,tablet,1313
2023-12-13,smart tv,7
2023-12-12,desktop,75969
2023-12-12,mobile,45845
2023-12-12,tablet,1298
2023-12-12,smart tv,10
2023-12-11,desktop,75084
2023-12-11,mobile,44950
2023-12-11,tablet,1386
2023-12-11,smart tv,3
2023-12-10,mobile,35106
2023-12-10,desktop,20286
2023-12-10,tablet,1153
2023-12-10,smart tv,5
2023-12-09,mobile,35388
2023-12-09,desktop,20125
2023-12-09,tablet,1125
2023-12-09,smart tv,8
2023-12-08,desktop,62113
2023-12-08,mobile,47539
2023-12-08,tablet,1395
2023-12-08,smart tv,6
2023-12-07,desktop,76612
2023-12-07,mobile,47749
2023-12-07,tablet,1364
2023-12-07,smart tv,6
2023-12-06,desktop,77953
2023-12-06,mobile,49571
2023-12-06,tablet,1434
2023-12-06,smart tv,2
