date,screen_resolution,visits
2024-01-04,1920x1080,34934
2024-01-04,390x844,9143
2024-01-04,1536x864,7999
2024-01-04,1280x720,5530
2024-01-04,428x926,5439
2024-01-04,414x896,4871
2024-01-04,1366x768,4308
2024-01-04,430x932,4192
2024-01-04,1440x900,4075
2024-01-04,412x915,3277
2024-01-04,375x812,2809
2024-01-04,393x852,2536
2024-01-04,1280x960,2094
2024-01-04,1600x900,2055
2024-01-04,375x667,1777
2024-01-04,1280x800,1664
2024-01-04,360x800,1664
2024-01-04,2560x1440,1628
2024-01-04,800x600,1615
2024-01-04,1680x1050,1508
2024-01-04,360x780,1312
2024-01-04,384x857,1140
2024-01-04,1024x768,1117
2024-01-04,1920x1200,1023
2024-01-03,1920x1080,34102
2024-01-03,390x844,9171
2024-01-03,1536x864,7678
2024-01-03,428x926,5614
2024-01-03,1280x720,5221
2024-01-03,414x896,5032
2024-01-03,430x932,4568
2024-01-03,1366x768,4138
2024-01-03,1440x900,3683
2024-01-03,412x915,3101
2024-01-03,375x812,2777
2024-01-03,393x852,2526
2024-01-03,1600x900,2281
2024-01-03,360x800,1705
2024-01-03,375x667,1649
2024-01-03,2560x1440,1572
2024-01-03,1680x1050,1507
2024-01-03,360x780,1312
2024-01-03,384x857,1129
2024-01-03,1280x800,1063
2024-01-03,1920x1200,1011
2024-01-02,1920x1080,30243
2024-01-02,390x844,8924
2024-01-02,1536x864,7208
2024-01-02,428x926,5439
2024-01-02,414x896,4834
2024-01-02,1280x720,4821
2024-01-02,430x932,4121
2024-01-02,1366x768,3990
2024-01-02,1440x900,3640
2024-01-02,412x915,3256
2024-01-02,375x812,2809
2024-01-02,393x852,2454
2024-01-02,1600x900,1907
2024-01-02,375x667,1701
2024-01-02,1280x960,1628
2024-01-02,360x800,1605
2024-01-02,2560x1440,1482
2024-01-02,1680x1050,1324
2024-01-02,360x780,1284
2024-01-02,384x857,1094
2024-01-02,1280x800,1027
2024-01-02,800x600,1016
2024-01-01,390x844,5743
2024-01-01,428x926,3340
2024-01-01,414x896,3019
2024-01-01,1920x1080,2924
2024-01-01,430x932,2559
2024-01-01,412x915,2146
2024-01-01,375x812,1858
2024-01-01,1536x864,1790
2024-01-01,1366x768,1789
2024-01-01,1440x900,1704
2024-01-01,393x852,1633
2024-01-01,360x800,1133
2024-01-01,375x667,1077
2023-12-31,390x844,4632
2023-12-31,428x926,2710
2023-12-31,414x896,2488
2023-12-31,1920x1080,2224
2023-12-31,430x932,2076
2023-12-31,412x915,1790
2023-12-31,375x812,1612
2023-12-31,1536x864,1452
2023-12-31,393x852,1358
2023-12-31,1366x768,1322
2023-12-31,1440x900,1293
2023-12-30,390x844,5893
2023-12-30,428x926,3375
2023-12-30,1920x1080,3061
2023-12-30,414x896,3061
