page_title,event_label,page,total_events
"Housing Handbooks | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/administration/hudclips/handbooks/hsgh,6092
"Income Limits | HUD USER",file_download,www.huduser.gov/portal/datasets/il.html,2649
"HCV Landlord Resources | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/public_indian_housing/programs/hcv/landlord,2171
"Buying a Home | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/topics/buying_a_home,2139
"NSPIRE Standards | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/public_indian_housing/reac/nspire/standards,2004
"Mortgagee Letters | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/administration/hudclips/letters/mortgagee,1533
"Affordable Apartment Listings by County: California | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/states/california/renting/affordable-apartment-listings,1255
"HUD-9 Forms | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/administration/hudclips/forms/hud9,1212
"Occupancy Requirements of Subsidized Multifamily Housing Programs (4350.3) | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/administration/hudclips/handbooks/hsgh/4350.3,1122
MBS Guide Appendices,file_download,www.ginniemae.gov/issuers/program_guidelines/Pages/mbsguideappendiceslib.aspx,1060
"Limited Denial of Participation, HUD Funding Disqualifications and Voluntary Abstentions list | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/general_counsel/limited_denial_participation_hud_funding_disqualifications,1008
"HUD-Multifamily Housing - List of Properties for Sale | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/housing/mfh/pd/mfplist,1004
"Funding Opportunities | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/cfo/gmomgmt/grantsinfo/fundingopps,927
"Emergency Housing Vouchers | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/ehv,909
"Section 184 Indian Home Loan Guarantee Program | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/section184,879
"CALENDAR YEAR (CY) 2024 OPERATING FUND GRANT PROCESSING | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",file_download,www.hud.gov/program_offices/public_indian_housing/programs/ph/am/opfnd2024,866
