domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.hud.gov,/,641800,200242,157341,3.2051218026188311,265.1068391733952,0.287537080133039
www.hud.gov,/topics/housing_choice_voucher_program_section_8,348481,144194,131773,2.4167510437327491,216.97413729818857,0.30069212311191867
www.hud.gov,/program_offices/public_indian_housing/pha/contacts,180128,59481,49871,3.0283283737664126,262.95849760853048,0.31729459827507944
www.ginniemae.gov,/investors/investor_search_tools/Pages/default.aspx,144248,4261,2413,33.853086130016429,1312.6637618462803,0.087303449894390983
www.hud.gov,/topics/rental_assistance,108757,39268,34990,2.7696088418050322,235.59897357647449,0.27801263115004582
www.hud.gov,/program_offices/public_indian_housing/reac/online,106814,76101,17959,1.4035820817072049,150.89019896260231,0.72181705890855574
www.hud.gov,/topics/homes_for_sale,85611,48120,39661,1.7791147132169576,224.82534161165836,0.33094347464671653
www.huduser.gov,/portal/datasets/il.html,79738,49387,43479,1.6145544374025553,147.287135213376,0.32887197035657156
www.hud.gov,/buying/loans,73022,28465,25841,2.5653258387493412,190.75906336883895,0.24268399789214826
www.hud.gov,/program_offices/housing/sfh/handbook_4000-1,71554,39452,17982,1.8136976579134139,242.00948309421577,0.24787083037615329
www.huduser.gov,/portal/datasets/fmr.html,55103,36969,28934,1.4905190835564932,126.83070757215505,0.50580215856528443
www.huduser.gov,/portal/home.html,48256,17392,13994,2.7746090156393746,183.67688343583256,0.31600735970561178
www.hud.gov,/press/press_releases_media_advisories/HUD_No_23_276,47126,30803,27956,1.5299159172807844,114.12863108749147,0.36772392299451351
www.hud.gov,/reac,45616,33023,8469,1.381340277988069,142.99775650177148,0.73351906247161069
www.hud.gov,/program_offices/fair_housing_equal_opp,39657,26977,25051,1.4700300255773437,86.155622681321134,0.66260147533083735
www.hud.gov,/ehv,37250,18088,15673,2.0593763821318003,246.92845566121187,0.24242591773551525
www.hud.gov,/topics/rental_assistance/phprog,33725,15871,14947,2.1249448679982357,222.45315194669521,0.29071892130300547
www.ginniemae.gov,/Pages/profile.aspx,33248,12116,11805,2.7441399801914823,27.538430495047873,0.034169692967976228
www.ginniemae.gov,/pages/default.aspx,30126,9081,7263,3.3174760488932935,214.79731001068163,0.22794846382556988
www.hud.gov,/states/florida/renting,29770,13028,11873,2.2850782929075835,214.72976085078292,0.25360761436905127
