domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.hud.gov,www.hud.gov/,"HUD.gov / U.S. Department of Housing and Urban Development (HUD) |",298048,261044,195363,1.1417538805718577,100.84367240155301,0.26081043808706578
www.hud.gov,www.hud.gov/topics/housing_choice_voucher_program_section_8,"Housing Choice Voucher Program Section 8 | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",236374,212066,179547,1.1146246923127705,118.72309560370357,0.2493893410542001
www.hud.gov,www.hud.gov/program_offices/public_indian_housing/pha/contacts,"PHA Contact Information | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",222278,170956,145592,1.3002059009335736,109.25281501461195,0.10914504316900255
www.hud.gov,www.hud.gov/program_offices/public_indian_housing/reac/online,"REAC | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",124259,102613,27438,1.2109479305740989,101.16117238157933,0.55054427801545613
www.hud.gov,www.hud.gov/topics/rental_assistance,"Rental Assistance | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",98293,83620,74826,1.1754723750298972,110.94127661264052,0.1450370724707008
www.hud.gov,www.hud.gov/topics/homes_for_sale,"Homes for Sale | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",91688,72551,58900,1.26377306997836,175.39233282915467,0.24246392193077973
www.ginniemae.gov,www.ginniemae.gov/investors/investor_search_tools/Pages/default.aspx,Disclosure Data Search,80461,5931,2979,13.566177710335525,836.90905405176181,0.16860563142808971
www.hud.gov,www.hud.gov/resources,"Resources | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",78853,65995,46694,1.1948329418895371,62.141585323524509,0.052155466323206306
www.huduser.gov,www.huduser.gov/portal/datasets/il.html,"Income Limits | HUD USER",65811,54431,47423,1.2090720361558671,109.61564608201209,0.31555547390273925
www.hud.gov,www.hud.gov/topics/buying_a_home,"Buying a Home | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",57853,49380,42985,1.1715876873228028,85.166724094430947,0.11618063993519644
www.hud.gov,www.hud.gov/topics,"What We do | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",56981,49265,45092,1.1566223485232925,66.088724966223481,0.04952806251902974
www.huduser.gov,www.huduser.gov/portal/datasets/fmr.html,"Fair Market Rents (40th PERCENTILE RENTS) | HUD USER",53657,45858,34850,1.1700684722403942,96.157609743076463,0.42638143835317721
www.hud.gov,www.hud.gov/states,"State Information | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",51988,45292,41647,1.1478406782654773,29.55410898664223,0.027974035149695309
www.hud.gov,www.hud.gov/program_offices/administration/hudclips/handbooks/hsgh,"Housing Handbooks | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",50109,49016,21227,1.022298841194712,125.02915287257221,0.29696425656928349
www.hud.gov,www.hud.gov/program_offices/housing/sfh/handbook_4000-1,"SFH Handbook 4000.1 | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",47332,50552,20271,0.93630321253362869,151.05700695092182,0.33407184681120433
www.hud.gov,www.hud.gov/buying/loans,"Loans | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",42211,37349,33502,1.1301775147928994,84.510186398350683,0.21649843369300384
www.hud.gov,www.hud.gov/reac,"REAC | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",42047,36758,9824,1.1438870449970076,111.11763737763208,0.68330703520322111
www.hud.gov,www.hud.gov/program_offices/fair_housing_equal_opp,"FHEO Home | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",39666,36458,33068,1.0879916616380492,57.1348161205771,0.50970980306105651
www.hud.gov,www.hud.gov/program_offices,"Program Offices | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",39335,33324,29761,1.1803805065418318,52.782350549693916,0.048043452166606652
www.hud.gov,www.hud.gov/program_offices/public_indian_housing/programs/ph,"Public Housing | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",38153,31068,27944,1.2280481524398095,65.832046611175485,0.084202394747006568
