domain,page,page_title,pageviews
www.hud.gov,www.hud.gov/,"HUD.gov / U.S. Department of Housing and Urban Development (HUD) |",71179
www.hud.gov,www.hud.gov/topics/housing_choice_voucher_program_section_8,"Housing Choice Voucher Program Section 8 | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",59254
www.hud.gov,www.hud.gov/program_offices/public_indian_housing/pha/contacts,"PHA Contact Information | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",57568
www.hud.gov,www.hud.gov/program_offices/public_indian_housing/reac/online,"REAC | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",28011
www.hud.gov,www.hud.gov/topics/homes_for_sale,"Homes for Sale | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",25429
www.hud.gov,www.hud.gov/topics/rental_assistance,"Rental Assistance | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",24652
www.ginniemae.gov,www.ginniemae.gov/investors/investor_search_tools/Pages/default.aspx,Disclosure Data Search,18892
www.hud.gov,www.hud.gov/resources,"Resources | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",18481
www.hud.gov,www.hud.gov/topics/buying_a_home,"Buying a Home | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",15859
www.huduser.gov,www.huduser.gov/portal/datasets/il.html,"Income Limits | HUD USER",15779
www.hud.gov,www.hud.gov/topics,"What We do | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",13912
www.huduser.gov,www.huduser.gov/portal/datasets/fmr.html,"Fair Market Rents (40th PERCENTILE RENTS) | HUD USER",13418
www.hud.gov,www.hud.gov/states,"State Information | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",13259
www.hud.gov,www.hud.gov/buying/loans,"Loans | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",11837
www.hud.gov,www.hud.gov/program_offices/administration/hudclips/handbooks/hsgh,"Housing Handbooks | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",10517
www.hud.gov,www.hud.gov/program_offices/fair_housing_equal_opp,"FHEO Home | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",10346
www.hud.gov,www.hud.gov/program_offices/housing/sfh/handbook_4000-1,"SFH Handbook 4000.1 | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",9920
www.hud.gov,www.hud.gov/program_offices/public_indian_housing/programs/ph,"Public Housing | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",9840
www.hud.gov,www.hud.gov/program_offices,"Program Offices | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",9441
www.hud.gov,www.hud.gov/program_offices/housing/sfh/lender/lenderlist,"HUD Lender List | HUD.gov / U.S. Department of Housing and Urban Development (HUD)",9394
