source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,1465286,2783783,994240,1.899822287253137,210.34926705129712,0.36750299941444881
(direct),Direct,1074454,2215321,748862,2.0618109290858428,181.66618121310731,0.45395894100631579
bing,Organic Search,143720,294388,76267,2.0483440022265516,277.89460414423183,0.35418174227664906
(not set),Unassigned,13832,104035,11772,7.5213273568536723,492.18323082186231,0.993637941006362
yahoo,Organic Search,24611,57591,15649,2.340051196619398,294.55983990435175,0.31242127503961642
duckduckgo,Organic Search,11134,22994,8117,2.0652056763068081,233.98374432746544,0.32342374708101312
ecosia.org,Organic Search,783,1554,519,1.9846743295019158,274.97815644827585,0.37675606641123882
aol,Organic Search,460,1141,322,2.4804347826086954,274.25883478043477,0.2565217391304348
NLIHC All Subscribers,Email,778,778,559,1,133.01396670694086,0.56940874035989719
HUD Exchange Mailing List,Email,641,721,427,1.1248049921996879,189.42376750702027,0.51326053042121689
govdelivery,Email,263,577,160,2.1939163498098861,289.20389790114064,0.46387832699619774
hcr.ny.gov,Referral,224,377,180,1.6830357142857142,254.81055744642853,0.42857142857142855
hs_email,Email,61,220,29,3.6065573770491803,453.96593091803283,0.37704918032786883
Section-8-apartments.org,Unassigned,24,147,18,6.125,456.21594170833333,0.125
Resources-assistance.com,Unassigned,8,119,4,14.875,1284.1985367500001,0.125
baidu,Organic Search,91,116,86,1.2747252747252746,94.532944571428587,0.93406593406593408
Section8assistance.org,Unassigned,24,61,15,2.5416666666666665,314.44789404166664,0.29166666666666669
search.usa.gov,Referral,35,56,5,1.6,295.3873866,0.51428571428571423
opgguides.com,Unassigned,28,54,22,1.9285714285714286,131.43863007142858,0.32142857142857145
Section-8assistance.com,Unassigned,18,45,13,2.5,333.09859605555556,0.27777777777777779
