date,browser,os_version,visits
2024-01-04,Chrome,10,33452
2024-01-04,Edge,10,13133
2024-01-04,Chrome,11,12682
2024-01-04,Edge,11,6444
2024-01-04,Firefox,10,1755
2024-01-04,Chrome,8.1,669
2024-01-04,Internet Explorer,7,550
2024-01-04,Chrome,7,361
2024-01-04,Opera,10,130
2024-01-03,Chrome,10,31815
2024-01-03,Edge,10,12994
2024-01-03,Chrome,11,12146
2024-01-03,Edge,11,6439
2024-01-03,Firefox,10,1574
2024-01-03,Chrome,8.1,672
2024-01-03,Chrome,7,392
2024-01-03,Opera,10,144
2024-01-02,Chrome,10,29591
2024-01-02,Edge,10,11771
2024-01-02,Chrome,11,11362
2024-01-02,Edge,11,5985
2024-01-02,Firefox,10,1490
2024-01-02,Chrome,8.1,638
2024-01-02,Chrome,7,369
2024-01-01,Chrome,10,3476
2024-01-01,Chrome,11,2646
2024-01-01,Edge,11,1501
2024-01-01,Edge,10,1184
2024-01-01,Firefox,10,363
2024-01-01,Chrome,8.1,236
2024-01-01,Chrome,7,111
2023-12-31,Chrome,10,2839
2023-12-31,Chrome,11,1939
2023-12-31,Edge,11,1121
2023-12-31,Edge,10,882
2023-12-31,Firefox,10,306
2023-12-31,Chrome,8.1,248
2023-12-31,Chrome,7,105
2023-12-30,Chrome,10,3329
2023-12-30,Chrome,11,2540
2023-12-30,Edge,11,1348
2023-12-30,Edge,10,1081
2023-12-30,Firefox,10,375
2023-12-30,Chrome,8.1,264
2023-12-30,Chrome,7,122
2023-12-29,Chrome,10,16897
2023-12-29,Edge,10,6621
2023-12-29,Chrome,11,6293
2023-12-29,Edge,11,3554
2023-12-29,Firefox,10,866
2023-12-29,Chrome,8.1,543
2023-12-29,Chrome,7,236
2023-12-28,Chrome,10,21012
2023-12-28,Edge,10,9238
2023-12-28,Chrome,11,8235
2023-12-28,Edge,11,4713
2023-12-28,Firefox,10,1167
2023-12-28,Chrome,8.1,526
2023-12-28,Chrome,7,282
2023-12-28,Internet Explorer,7,101
2023-12-27,Chrome,10,28808
2023-12-27,Edge,10,9523
2023-12-27,Chrome,11,8549
2023-12-27,Edge,11,4629
2023-12-27,Firefox,10,1198
2023-12-27,Chrome,8.1,530
2023-12-27,Chrome,7,288
2023-12-26,Chrome,10,14370
2023-12-26,Edge,10,6249
2023-12-26,Chrome,11,5980
2023-12-26,Edge,11,3349
2023-12-26,Firefox,10,709
2023-12-26,Chrome,8.1,514
2023-12-26,Chrome,7,254
2023-12-25,Chrome,10,2160
2023-12-25,Chrome,11,1397
2023-12-25,Edge,11,784
2023-12-25,Edge,10,615
2023-12-25,Chrome,8.1,267
2023-12-25,Firefox,10,241
2023-12-25,Chrome,7,101
2023-12-24,Chrome,10,1944
2023-12-24,Chrome,11,1361
2023-12-24,Edge,11,757
2023-12-24,Edge,10,629
2023-12-24,Chrome,8.1,240
2023-12-24,Firefox,10,209
2023-12-24,Chrome,7,108
2023-12-23,Chrome,10,2829
2023-12-23,Chrome,11,1813
2023-12-23,Edge,11,955
2023-12-23,Edge,10,847
2023-12-23,Firefox,10,259
2023-12-23,Chrome,8.1,240
2023-12-23,Chrome,7,136
2023-12-22,Chrome,10,14466
2023-12-22,Edge,10,5866
2023-12-22,Chrome,11,5714
2023-12-22,Edge,11,2863
2023-12-22,Internet Explorer,7,1238
2023-12-22,Firefox,10,716
2023-12-22,Chrome,8.1,511
2023-12-22,Chrome,7,262
2023-12-21,Chrome,10,25288
2023-12-21,Edge,10,10221
2023-12-21,Chrome,11,8697
2023-12-21,Edge,11,4600
2023-12-21,Firefox,10,1221
2023-12-21,Internet Explorer,7,579
2023-12-21,Chrome,8.1,511
2023-12-21,Chrome,7,299
2023-12-20,Chrome,10,27456
2023-12-20,Edge,10,11359
2023-12-20,Chrome,11,10189
2023-12-20,Edge,11,5052
2023-12-20,Firefox,10,1309
2023-12-20,Chrome,8.1,509
2023-12-20,Chrome,7,334
2023-12-19,Chrome,10,31378
2023-12-19,Edge,10,11956
2023-12-19,Chrome,11,10632
2023-12-19,Edge,11,5511
2023-12-19,Firefox,10,1599
2023-12-19,Chrome,8.1,514
2023-12-19,Chrome,7,307
2023-12-19,Opera,10,110
2023-12-18,Chrome,10,29635
2023-12-18,Edge,10,12014
2023-12-18,Chrome,11,11306
2023-12-18,Edge,11,5632
2023-12-18,Firefox,10,1470
2023-12-18,Chrome,8.1,503
2023-12-18,Chrome,7,316
2023-12-18,Opera,10,113
2023-12-17,Chrome,10,3334
2023-12-17,Chrome,11,2228
2023-12-17,Edge,11,1184
2023-12-17,Edge,10,1027
2023-12-17,Firefox,10,309
2023-12-17,Chrome,8.1,206
2023-12-17,Chrome,7,105
2023-12-16,Chrome,10,3894
2023-12-16,Chrome,11,2434
2023-12-16,Edge,11,1303
2023-12-16,Edge,10,1236
2023-12-16,Internet Explorer,7,515
2023-12-16,Firefox,10,342
2023-12-16,Chrome,8.1,219
2023-12-16,Chrome,7,175
2023-12-15,Chrome,10,23895
2023-12-15,Edge,10,9229
2023-12-15,Chrome,11,9096
2023-12-15,Edge,11,4324
2023-12-15,Firefox,10,1152
2023-12-15,Chrome,8.1,563
2023-12-15,Internet Explorer,7,503
2023-12-15,Chrome,7,297
2023-12-14,Chrome,10,28397
2023-12-14,Edge,10,11444
2023-12-14,Chrome,11,10844
2023-12-14,Edge,11,5541
2023-12-14,Firefox,10,1377
2023-12-14,Chrome,8.1,636
2023-12-14,Chrome,7,331
2023-12-14,Internet Explorer,7,117
2023-12-14,Opera,10,116
2023-12-13,Chrome,10,30478
2023-12-13,Edge,10,11982
2023-12-13,Chrome,11,11592
2023-12-13,Edge,11,5760
2023-12-13,Firefox,10,1406
2023-12-13,Chrome,8.1,665
2023-12-13,Chrome,7,359
2023-12-13,Opera,10,131
2023-12-12,Chrome,10,31741
2023-12-12,Edge,10,12299
2023-12-12,Chrome,11,11713
2023-12-12,Edge,11,5967
2023-12-12,Firefox,10,1613
2023-12-12,Chrome,8.1,706
2023-12-12,Chrome,7,378
2023-12-12,Opera,10,125
2023-12-11,Chrome,10,30240
2023-12-11,Edge,10,12588
2023-12-11,Chrome,11,11654
2023-12-11,Edge,11,5910
2023-12-11,Firefox,10,1535
2023-12-11,Chrome,8.1,656
2023-12-11,Chrome,7,396
2023-12-11,Opera,10,155
2023-12-10,Chrome,10,4077
2023-12-10,Chrome,11,3312
2023-12-10,Edge,11,1637
2023-12-10,Edge,10,1360
2023-12-10,Firefox,10,424
2023-12-10,Chrome,8.1,325
2023-12-10,Chrome,8,239
2023-12-10,Chrome,7,135
2023-12-09,Chrome,10,4308
2023-12-09,Chrome,11,2753
2023-12-09,Edge,11,1443
2023-12-09,Chrome,8,1210
2023-12-09,Edge,10,1182
2023-12-09,Firefox,10,393
2023-12-09,Chrome,8.1,341
