date,browser,os_version,visits
2024-01-04,Internet Explorer,7,550
2023-12-28,Internet Explorer,7,101
2023-12-22,Internet Explorer,7,1238
2023-12-21,Internet Explorer,7,579
2023-12-16,Internet Explorer,7,515
2023-12-15,Internet Explorer,7,503
2023-12-14,Internet Explorer,7,117
2023-12-08,Internet Explorer,7,825
2023-12-01,Internet Explorer,7,839
2023-11-24,Internet Explorer,7,1015
2023-11-23,Internet Explorer,7,138
2023-11-18,Internet Explorer,7,642
2023-11-17,Internet Explorer,7,982
2023-11-10,Internet Explorer,7,1932
2023-11-09,Internet Explorer,7,312
2023-11-04,Internet Explorer,7,186
2023-11-03,Internet Explorer,7,765
2023-10-28,Internet Explorer,7,1275
2023-10-27,Internet Explorer,7,1859
2023-10-26,Internet Explorer,7,173
2023-10-21,Internet Explorer,7,1733
2023-10-20,Internet Explorer,7,2620
2023-10-19,Internet Explorer,7,1280
2023-10-18,Internet Explorer,7,431
2023-10-15,Internet Explorer,7,1222
2023-10-14,Internet Explorer,7,3771
2023-10-13,Internet Explorer,7,547
2023-10-12,Internet Explorer,7,277
2023-10-07,Internet Explorer,7,327
