date,os_version,visits
2023-11-08,10,61261
2023-11-30,10,59887
2023-11-01,10,53711
2023-11-06,10,52348
2023-10-26,10,52278
2023-10-25,10,50876
2023-10-24,10,50674
2023-11-07,10,50638
2023-11-16,10,50007
2023-11-29,10,49208
2023-11-28,10,48909
2023-11-02,10,48817
2023-11-14,10,48370
2024-01-04,10,48310
2023-10-18,10,47924
2023-10-30,10,47634
2023-11-15,10,47557
2023-12-05,10,47533
2023-10-17,10,47288
2023-10-31,10,46769
2024-01-03,10,46159
2023-12-19,10,45574
2023-12-07,10,45561
2023-12-06,10,45550
2023-10-23,10,45444
2023-10-19,10,45221
2023-12-12,10,45196
2023-11-09,10,44956
2023-11-03,10,44951
2023-12-13,10,44643
2023-12-04,10,44579
2023-12-11,10,44477
2023-11-13,10,44374
2023-11-27,10,43143
2023-10-16,10,43101
2023-12-18,10,42562
2024-01-02,10,42323
2023-11-20,10,42074
2023-11-17,10,41304
2023-12-14,10,41215
2023-11-21,10,40424
2023-12-20,10,40270
2023-12-27,10,39452
2023-10-12,10,38456
2023-12-01,10,38156
2023-10-20,10,36893
2023-12-21,10,36845
2023-10-27,10,36697
2023-11-10,10,35687
2023-10-11,10,35492
2023-12-08,10,35316
2023-12-15,10,34266
2023-10-13,10,31823
2023-12-28,10,31497
2023-11-22,10,27712
2023-12-29,10,24984
2023-12-26,10,21205
2023-12-22,10,21191
2023-11-06,11,19318
2023-11-28,11,19223
2024-01-04,11,18994
2023-11-07,11,18946
2023-11-29,11,18730
2023-12-05,11,18672
2024-01-03,11,18512
2023-11-01,11,18350
2023-10-17,11,18294
2023-12-06,11,18272
2023-12-04,11,18260
2023-10-30,11,18248
2023-11-02,11,18142
2023-11-30,11,18097
2023-10-25,11,18084
2023-10-24,11,18077
2023-11-27,11,17855
2023-11-14,11,17849
2023-12-12,11,17766
2023-11-08,11,17709
2023-10-18,11,17593
2023-12-11,11,17562
2023-11-13,11,17544
2023-10-23,11,17517
2023-12-13,11,17455
2023-11-15,11,17381
2024-01-02,11,17335
2023-10-31,11,17208
2023-10-19,11,17182
2023-11-09,11,16913
2023-11-20,11,16874
2023-12-18,11,16804
2023-12-07,11,16782
2023-10-16,11,16715
2023-11-16,11,16682
2023-10-26,11,16638
2023-12-14,11,16315
2023-12-19,11,16098
2023-12-20,11,15319
2023-11-03,11,14893
2023-11-21,11,14830
2023-10-12,11,14510
2023-12-01,11,14499
2023-11-17,11,14127
2023-10-20,11,13549
2023-12-15,11,13529
2023-12-08,11,13407
2023-10-27,11,13266
2023-12-21,11,13191
2023-12-27,11,13168
2023-12-28,11,12860
2023-10-11,11,12277
2023-10-13,11,12013
2023-11-10,11,10691
2023-11-22,11,9958
2023-12-29,11,9854
2023-11-24,10,9274
2023-12-26,11,9268
2023-12-22,11,8743
2023-10-28,10,7108
2023-10-29,10,6975
2023-11-05,10,6965
2023-10-10,10,6933
2023-10-14,10,6784
2023-10-15,10,6704
2023-11-04,10,6357
2023-11-12,10,6333
2023-10-21,10,6266
2023-11-19,10,6229
2023-12-03,10,6224
2023-11-18,10,6210
2023-11-11,10,6181
2023-12-09,10,6004
2023-12-02,10,5987
2023-10-22,10,5965
2023-12-10,10,5885
2023-11-26,10,5620
2023-12-16,10,5537
2023-12-03,11,5223
2024-01-01,10,5100
2023-11-05,11,5075
2023-10-15,11,5040
2023-10-22,11,5021
2023-10-14,11,5016
2023-12-10,11,5004
2023-10-29,11,4910
2023-11-25,10,4870
2023-12-30,10,4797
2023-11-12,11,4777
2023-11-26,11,4746
2023-12-17,10,4743
2023-11-04,11,4679
2023-12-02,11,4644
2023-10-09,10,4623
2023-11-19,11,4581
2023-10-21,11,4485
2023-11-24,11,4389
2023-10-28,11,4283
2023-11-18,11,4241
2023-12-09,11,4173
2024-01-01,11,4102
2023-12-31,10,4100
2023-10-14,7,3995
2023-12-30,11,3965
2023-12-23,10,3934
2023-11-25,11,3766
2023-12-16,11,3719
2023-11-23,10,3554
2023-12-17,11,3395
2023-11-11,11,3300
2023-10-20,7,3126
2023-12-25,10,3089
2023-12-31,11,3009
2023-12-24,10,2823
2023-12-23,11,2771
2023-10-10,11,2539
2023-11-23,11,2499
2023-11-10,7,2320
2023-11-25,8,2319
2023-10-27,7,2296
2023-12-25,11,2185
2023-10-14,8,2139
2023-12-24,11,2116
2023-10-09,11,1977
2023-11-02,7,1960
2023-10-13,8,1932
2023-10-21,7,1920
2023-10-19,7,1823
2023-10-27,8,1608
2023-12-22,7,1556
2023-10-28,8,1488
2023-11-01,7,1483
2023-10-28,7,1455
2023-10-15,7,1408
2023-11-11,8,1393
2023-11-17,7,1376
2023-11-03,7,1354
2023-12-01,7,1284
2023-12-09,8,1284
2023-11-24,7,1234
2023-12-08,7,1213
2024-01-04,7,993
2023-10-13,7,983
2023-11-08,8.1,966
2023-12-21,7,955
2023-10-18,7,930
2023-10-08,10,909
2023-12-08,8.1,903
2023-12-15,7,865
2023-10-07,10,864
2023-11-18,7,806
2023-11-09,7,797
2023-10-12,8.1,788
2023-10-10,8.1,783
2023-10-24,7,773
2023-11-02,8.1,761
2023-11-01,8.1,756
2023-11-10,8.1,754
2023-11-14,8.1,738
2023-12-16,7,730
2023-11-06,8.1,727
2023-12-12,8.1,727
2023-11-07,8.1,726
2023-12-05,8.1,726
2023-10-12,7,723
2023-10-08,11,714
2023-11-09,8.1,709
2023-11-13,8.1,709
2023-12-06,8.1,705
2024-01-04,8.1,699
2023-12-01,8.1,698
2024-01-03,8.1,698
2023-12-11,8.1,690
2023-12-13,8.1,687
2023-12-07,8.1,686
2023-12-04,8.1,680
2023-11-03,8.1,678
2023-10-11,8.1,677
2023-10-17,8.1,674
2023-11-15,8.1,667
2023-10-26,7,665
2024-01-02,8.1,664
2023-12-14,8.1,662
2023-10-16,8.1,660
2023-10-30,8.1,655
2023-10-25,8.1,654
2023-10-31,8.1,642
2023-10-23,8.1,641
2023-10-24,8.1,633
2023-10-13,8.1,632
2023-11-28,8.1,625
2023-11-29,8.1,623
2023-10-19,8.1,621
2023-11-30,8.1,617
2023-11-16,7,613
2023-10-26,8.1,612
2023-11-27,8.1,605
2023-11-16,8.1,599
2023-10-16,7,594
2023-10-23,7,594
2023-10-27,8.1,592
2023-10-18,8.1,587
2023-12-15,8.1,580
2023-12-29,8.1,575
2023-10-20,8.1,567
2023-11-22,8.1,566
2023-11-29,7,561
2023-11-30,7,560
2023-11-21,8.1,556
2023-12-28,8.1,550
2023-11-17,8.1,548
2023-12-27,8.1,546
2023-11-07,7,544
2023-10-17,7,543
2023-12-21,8.1,542
2023-12-19,8.1,541
2023-12-20,8.1,539
2023-10-31,7,536
2023-10-07,11,530
2023-12-26,8.1,530
2023-10-30,7,529
2023-12-22,8.1,526
2023-10-25,7,523
2023-12-18,8.1,523
2023-12-14,7,520
2023-11-08,7,519
2023-11-15,7,514
2023-11-28,7,514
2023-11-24,8.1,511
2023-11-06,7,497
2023-11-20,8.1,489
2023-12-13,7,478
2023-12-11,7,476
2024-01-03,7,475
2023-11-13,7,469
2023-12-07,7,465
2023-12-12,7,459
2023-11-27,7,453
2023-12-28,7,452
2023-12-05,7,451
2023-12-06,7,451
2024-01-02,7,449
2023-11-20,7,448
2023-12-04,7,446
2023-11-14,7,445
2023-12-20,7,411
2023-12-27,7,409
2023-12-18,7,395
2023-10-07,7,390
2023-10-14,8.1,386
2023-11-05,8.1,384
2023-11-04,7,380
2023-12-19,7,373
2023-11-21,7,361
2023-11-12,8.1,357
2023-12-03,8.1,357
2023-12-02,8.1,354
2023-10-11,7,352
2023-12-09,8.1,351
2023-12-29,7,344
2023-12-10,8.1,336
2023-10-26,8,331
2023-12-26,7,325
2023-10-15,8.1,310
2023-11-11,8.1,308
2023-10-07,8.1,303
2023-11-22,7,303
2023-10-08,8.1,302
2023-11-04,8.1,299
2023-11-23,8.1,295
2023-10-21,8.1,294
2023-10-29,8.1,290
2023-10-22,8.1,287
2023-12-30,8.1,275
2023-10-28,8.1,273
2023-12-25,8.1,272
2023-11-26,8.1,270
