date,mobile_device,visits
2024-01-04,iPhone,289928
2024-01-04,Chrome,236501
2024-01-04,Safari,121499
2024-01-04,Edge,90126
2024-01-04,ChromeBook,57911
2024-01-04,Firefox,19532
2024-01-04,iPad,10773
2024-01-04,(not set),9878
2024-01-04,SM-S908U,4893
2024-01-04,SM-S918U,4836
2024-01-04,SM-S901U,4692
2024-01-04,SM-G991U,3716
2024-01-04,SM-S911U,3672
2024-01-04,SM-G998U,2726
2024-01-04,Pixel 7,2650
2024-01-04,Pixel 6,2620
2024-01-04,Pixel 6a,2286
2024-01-04,Pixel 7 Pro,2247
2024-01-04,SM-S906U,2229
2024-01-04,SM-S916U,2195
2024-01-04,Opera,2081
2024-01-04,Firefox for Android,2032
2024-01-04,SM-A146U,1645
2024-01-04,Pixel 6 Pro,1535
2024-01-04,SM-G781U,1477
2024-01-04,SM-G973U,1470
2024-01-04,SM-G996U,1464
2024-01-04,SM-G970U,1404
2024-01-04,SM-G781V,1395
2024-01-04,SM-A326B,1275
2024-01-04,SM-G960U,1272
2024-01-04,SM-S918U1,1076
2024-01-04,SM-G990U,1049
2024-01-03,iPhone,317874
2024-01-03,Chrome,242325
2024-01-03,Safari,125268
2024-01-03,Edge,90762
2024-01-03,ChromeBook,46796
2024-01-03,Firefox,21152
2024-01-03,iPad,11781
2024-01-03,(not set),10360
2024-01-03,SM-S918U,5512
2024-01-03,SM-S901U,5323
2024-01-03,SM-S908U,5270
2024-01-03,SM-G991U,4222
2024-01-03,SM-S911U,3543
2024-01-03,Pixel 7,3048
2024-01-03,SM-G998U,3034
2024-01-03,Pixel 6,2779
2024-01-03,Pixel 6a,2639
2024-01-03,Pixel 7 Pro,2460
2024-01-03,SM-S906U,2410
2024-01-03,SM-S916U,2316
2024-01-03,Firefox for Android,2160
2024-01-03,Opera,2160
2024-01-03,SM-A146U,1864
2024-01-03,SM-G970U,1639
2024-01-03,SM-G973U,1637
2024-01-03,SM-G996U,1635
2024-01-03,Pixel 6 Pro,1633
2024-01-03,SM-G781U,1602
2024-01-03,SM-G781V,1488
2024-01-03,SM-A326B,1397
2024-01-03,SM-G960U,1327
2024-01-03,SM-G990U,1121
2024-01-03,SM-S918U1,1120
2024-01-03,Pixel 8 Pro,1063
2024-01-03,SM-G975U,1035
2024-01-03,SM-A136U,1028
2024-01-03,Pixel 7a,1020
2024-01-03,SM-S908U1,1015
2024-01-03,SM-N986U,1011
2024-01-02,iPhone,394950
2024-01-02,Chrome,253670
2024-01-02,Safari,131417
2024-01-02,Edge,94444
2024-01-02,ChromeBook,29781
2024-01-02,Firefox,22739
2024-01-02,iPad,13229
2024-01-02,(not set),10961
2024-01-02,SM-S918U,6840
2024-01-02,SM-S908U,6704
2024-01-02,SM-S901U,6542
2024-01-02,SM-G991U,5427
2024-01-02,SM-S911U,4831
2024-01-02,SM-G998U,4026
2024-01-02,Pixel 7,4004
2024-01-02,Pixel 6,3494
2024-01-02,Pixel 7 Pro,3265
2024-01-02,Pixel 6a,3216
2024-01-02,SM-S916U,3143
2024-01-02,SM-S906U,3076
2024-01-02,Firefox for Android,2806
2024-01-02,Opera,2620
2024-01-02,SM-A146U,2203
2024-01-02,Pixel 6 Pro,2186
2024-01-02,SM-G781U,2114
2024-01-02,SM-G996U,2083
2024-01-02,SM-G973U,2025
2024-01-02,SM-G970U,1979
2024-01-02,SM-G781V,1862
2024-01-02,iPhone 13,1817
2024-01-02,SM-A326B,1808
2024-01-02,SM-G960U,1776
2024-01-02,SM-S918U1,1602
2024-01-02,Pixel 8 Pro,1523
2024-01-02,SM-G975U,1453
2024-01-02,SM-N986U,1399
2024-01-02,SM-A136U,1379
2024-01-02,Pixel 7a,1373
2024-01-02,iPhone 14 Pro Max,1371
2024-01-02,iPhone 13 Pro Max,1359
