date,mobile_device,visits
2023-09-02,(not set),173599
2023-09-02,1 Plus,1
2023-09-02,1.3,2
2023-09-02,1.4,2
2023-09-02,10 Plus,1
2023-09-02,100003561,1
2023-09-02,100003562,1
2023-09-02,100011885,3
2023-09-02,100011886,6
2023-09-02,100011886A,2
2023-09-02,100043279,1
2023-09-02,100071481,5
2023-09-02,100071483,3
2023-09-02,100071485,12
2023-09-02,100071486,1
2023-09-02,10LB2,1
2023-09-02,10T,1
2023-09-02,11T,1
2023-09-02,1601,2
2023-09-02,1610,10
2023-09-02,1713,1
2023-09-02,1714,3
2023-09-02,1716,2
2023-09-02,1718,1
2023-09-02,1723,2
2023-09-02,1724,3
2023-09-02,1726,10
2023-09-02,1727,2
2023-09-02,1801,4
2023-09-02,1802,1
2023-09-02,1803,4
2023-09-02,1804,2
2023-09-02,1806,5
2023-09-02,1807,2
2023-09-02,1808,3
2023-09-02,1811,10
2023-09-02,1812,3
2023-09-02,1814,2
2023-09-02,1815,2
2023-09-02,1816,4
2023-09-02,1818,4
2023-09-02,1819,3
2023-09-02,1820,23
2023-09-02,1823,1
2023-09-02,1851,1
2023-09-02,1901,22
2023-09-02,1902,6
2023-09-02,1904,15
2023-09-02,1906,58
2023-09-02,1907,2
2023-09-02,1908,5
2023-09-02,1909,1
2023-09-02,1910,1
2023-09-02,1915,10
2023-09-02,1917,3
2023-09-02,1919,1
2023-09-02,1920,10
2023-09-02,1921,2
2023-09-02,1933,1
2023-09-02,1935,5
2023-09-02,1938,4
2023-09-02,1951,9
2023-09-02,2 V,1
2023-09-02,2.2,2
2023-09-02,2.3,8
2023-09-02,2.4,1
2023-09-02,2007,2
2023-09-02,2014812,1
2023-09-02,2019,1
2023-09-02,2050,2
2023-09-02,21051182G,1
2023-09-02,21061110AG,5
2023-09-02,21061119AG,4
2023-09-02,21061119BI,6
2023-09-02,21061119DG,2
2023-09-02,2107113SG,21
2023-09-02,21081111RG,10
2023-09-02,21091116AC,4
2023-09-02,21091116AG,1
2023-09-02,21091116AI,5
2023-09-02,21091116C,2
2023-09-02,21091116I,4
2023-09-02,21091116UC,2
2023-09-02,21091116UG,1
2023-09-02,21091116UI,2
2023-09-02,2109119BC,5
2023-09-02,2109119DG,7
2023-09-02,211033MI,6
2023-09-02,21121119SG,4
2023-09-02,21121119VL,1
2023-09-02,21121210G,1
2023-09-02,2112123AG,1
2023-09-02,2201116PG,2
2023-09-02,2201116PI,2
2023-09-02,2201116SG,6
2023-09-02,2201116TG,8
2023-09-02,2201117PG,2
2023-09-02,2201117PI,2
2023-09-02,2201117SG,3
2023-09-02,2201117SI,1
2023-09-02,2201117SY,5
2023-09-02,2201117TG,16
2023-09-02,2201117TI,7
2023-09-02,2201117TL,1
2023-09-02,2201117TY,13
2023-09-02,22011211C,1
2023-09-02,2201122C,3
2023-09-02,2201123C,1
2023-09-02,22021211RG,1
2023-09-02,220233L2G,7
2023-09-02,220233L2I,8
2023-09-02,22031116AI,2
2023-09-02,22031116BG,1
2023-09-02,2203121C,1
2023-09-02,2203129G,1
