date,browser,visits
2024-01-03,Internet Explorer,212
2024-01-01,Internet Explorer,130
2023-12-19,Internet Explorer,131
2023-12-17,Internet Explorer,101
2023-12-16,Internet Explorer,107
2023-12-15,Internet Explorer,182
2023-11-30,Internet Explorer,205
2023-11-29,Internet Explorer,177
2023-11-28,Internet Explorer,182
2023-11-27,Internet Explorer,185
2023-11-26,Internet Explorer,110
2023-11-25,Internet Explorer,101
2023-11-24,Internet Explorer,107
2023-11-23,Internet Explorer,102
2023-11-22,Internet Explorer,153
2023-11-21,Internet Explorer,187
2023-11-20,Internet Explorer,163
2023-11-19,Internet Explorer,124
2023-11-18,Internet Explorer,114
2023-11-17,Internet Explorer,157
2023-11-16,Internet Explorer,178
2023-11-15,Internet Explorer,182
2023-11-14,Internet Explorer,186
2023-11-13,Internet Explorer,201
2023-11-12,Internet Explorer,133
2023-11-11,Internet Explorer,123
2023-11-10,Internet Explorer,144
2023-11-09,Internet Explorer,174
2023-11-08,Internet Explorer,162
2023-11-07,Internet Explorer,196
2023-11-06,Internet Explorer,198
2023-11-05,Internet Explorer,108
2023-11-04,Internet Explorer,112
2023-11-03,Internet Explorer,157
2023-11-02,Internet Explorer,210
2023-11-01,Internet Explorer,195
2023-10-31,Internet Explorer,208
2023-10-30,Internet Explorer,218
2023-10-29,Internet Explorer,136
2023-10-28,Internet Explorer,135
2023-10-27,Internet Explorer,199
2023-10-26,Internet Explorer,184
2023-10-25,Internet Explorer,200
2023-10-24,Internet Explorer,192
2023-10-23,Internet Explorer,180
2023-10-22,Internet Explorer,121
2023-10-21,Internet Explorer,129
2023-10-20,Internet Explorer,144
2023-10-19,Internet Explorer,232
2023-10-18,Internet Explorer,223
2023-10-17,Internet Explorer,264
2023-10-16,Internet Explorer,210
2023-10-15,Internet Explorer,149
2023-10-14,Internet Explorer,122
2023-10-13,Internet Explorer,198
2023-10-12,Internet Explorer,207
2023-10-11,Internet Explorer,212
2023-10-10,Internet Explorer,197
2023-10-09,Internet Explorer,214
2023-10-08,Internet Explorer,158
2023-10-07,Internet Explorer,169
