date,screen_resolution,visits
2024-01-04,1920x1080,137934
2024-01-04,390x844,96983
2024-01-04,1366x768,68175
2024-01-04,1440x900,51771
2024-01-04,1536x864,51145
2024-01-04,414x896,37341
2024-01-04,393x852,36146
2024-01-04,428x926,33666
2024-01-04,375x812,32634
2024-01-04,1280x720,31387
2024-01-04,430x932,28443
2024-01-04,375x667,21084
2024-01-04,412x915,20856
2024-01-04,2560x1440,17153
2024-01-04,360x800,16983
2024-01-04,810x1080,15767
2024-01-04,360x780,13928
2024-01-04,768x1024,10909
2024-01-04,1280x800,10569
2024-01-04,1920x1200,10410
2024-01-04,1600x900,9933
2024-01-04,412x892,9156
2024-01-04,1680x1050,8380
2024-01-04,320x693,7169
2024-01-04,820x1180,6656
2024-01-04,1517x852,6437
2024-01-04,384x854,6186
2024-01-04,384x824,5857
2024-01-04,1280x1024,5559
2024-01-04,385x854,5445
2024-01-04,1024x1366,5341
2024-01-04,384x832,4972
2024-01-04,412x883,4865
2024-01-04,1536x960,4775
2024-01-04,1470x956,4682
2024-01-04,800x600,4676
2024-01-04,1512x982,4479
2024-01-04,412x869,4404
2024-01-04,320x568,4204
2024-01-04,414x736,4129
2024-01-04,834x1194,4113
2024-01-04,2048x1152,3913
2024-01-04,3440x1440,3835
2024-01-04,1728x1117,3740
2024-01-04,360x760,3674
2024-01-04,384x857,3566
2024-01-04,1300x730,3562
2024-01-04,393x873,3348
2024-01-04,360x740,2928
2024-01-04,834x1112,2792
2024-01-04,1280x960,2722
2024-01-04,412x846,2507
2024-01-04,1792x1120,2464
2024-01-04,360x640,2464
2024-01-04,432x960,2362
2024-01-04,393x851,2360
2024-01-04,360x772,2243
2024-01-04,320x712,2199
2024-01-04,1024x768,1996
2024-01-04,2560x1080,1897
2024-01-04,2240x1260,1757
2024-01-04,1368x912,1750
2024-01-04,800x1280,1675
2024-01-04,1241x697,1381
2024-01-04,320x694,1375
2024-01-04,360x720,1314
2024-01-04,1707x1067,1281
2024-01-04,360x880,1255
2024-01-04,432x984,1245
2024-01-04,1360x768,1202
2024-01-04,1707x960,1163
2024-01-04,1504x1003,1144
2024-01-04,385x824,1078
2024-01-04,1710x1107,1018
2024-01-04,339x753,1004
2024-01-03,1920x1080,146789
2024-01-03,390x844,105820
2024-01-03,1366x768,58404
2024-01-03,1440x900,55139
2024-01-03,1536x864,51488
2024-01-03,414x896,39001
2024-01-03,393x852,37481
2024-01-03,428x926,36203
2024-01-03,375x812,35770
2024-01-03,1280x720,31976
2024-01-03,430x932,30820
2024-01-03,412x915,23876
2024-01-03,375x667,23490
2024-01-03,2560x1440,18174
2024-01-03,360x800,18161
2024-01-03,360x780,15650
2024-01-03,810x1080,15212
2024-01-03,768x1024,11495
2024-01-03,1280x800,10865
2024-01-03,1920x1200,10683
2024-01-03,1600x900,10562
2024-01-03,412x892,10063
2024-01-03,1680x1050,8977
2024-01-03,320x693,7820
2024-01-03,384x854,7008
2024-01-03,820x1180,6759
2024-01-03,384x824,6653
2024-01-03,1280x1024,6574
2024-01-03,1024x1366,5917
2024-01-03,385x854,5908
2024-01-03,412x883,5435
2024-01-03,384x832,5274
2024-01-03,412x869,4927
2024-01-03,1470x956,4888
2024-01-03,1536x960,4830
2024-01-03,1512x982,4653
2024-01-03,1024x768,4614
2024-01-03,414x736,4578
2024-01-03,1517x852,4569
2024-01-03,320x568,4372
2024-01-03,3440x1440,4341
2024-01-03,834x1194,4314
2024-01-03,2048x1152,4198
2024-01-03,800x600,4177
2024-01-03,360x760,4087
2024-01-03,384x857,3876
2024-01-03,1728x1117,3838
2024-01-03,393x873,3610
2024-01-03,360x740,3099
2024-01-03,834x1112,3025
2024-01-03,412x846,2824
2024-01-03,1300x730,2813
2024-01-03,1792x1120,2616
2024-01-03,393x851,2607
2024-01-03,360x640,2568
2024-01-03,432x960,2540
2024-01-03,1280x960,2539
2024-01-03,320x712,2476
2024-01-03,360x772,2331
2024-01-03,2560x1080,2016
2024-01-03,2240x1260,1783
2024-01-03,800x1280,1772
2024-01-03,1368x912,1753
2024-01-03,320x694,1463
2024-01-03,1707x1067,1451
2024-01-03,1360x768,1392
2024-01-03,360x720,1390
2024-01-03,432x984,1368
2024-01-03,360x880,1351
2024-01-03,1504x1003,1226
2024-01-03,1707x960,1220
2024-01-03,385x824,1149
2024-01-03,339x753,1117
2024-01-03,1710x1107,1111
2024-01-03,1241x697,1043
2024-01-02,1920x1080,154870
2024-01-02,390x844,132880
2024-01-02,1440x900,55963
2024-01-02,1536x864,55357
2024-01-02,414x896,51459
2024-01-02,393x852,48936
2024-01-02,428x926,48111
2024-01-02,375x812,45617
