domain,page,page_title,pageviews
earthquake.usgs.gov,earthquake.usgs.gov/earthquakes/map/,Latest Earthquakes,1312838
www.nps.gov,www.nps.gov/index.htm,NPS.gov Homepage (U.S. National Park Service),123167
www.usgs.gov,www.usgs.gov/,"USGS.gov | Science for a changing world",116721
www.usgs.gov,www.usgs.gov/programs/earthquake-hazards,"Earthquake Hazards Program | U.S. Geological Survey",111949
earthquake.usgs.gov,earthquake.usgs.gov/earthquakes/eventpage/us6000m0xl/executive,"M 7.5 - 42 km NE of Anamizu, Japan",109419
earthexplorer.usgs.gov,earthexplorer.usgs.gov/,EarthExplorer,74055
www.nps.gov,www.nps.gov/planyourvisit/passes.htm,Entrance Passes (U.S. National Park Service),64455
ers.cr.usgs.gov,ers.cr.usgs.gov/login,EROS Registration System,56953
www.nps.gov,www.nps.gov/yose/planyourvisit/reservations.htm,Entrance Reservations - Yosemite National Park (U.S. National Park Service),53672
www.nps.gov,www.nps.gov/yell/index.htm,Yellowstone National Park (U.S. National Park Service),52005
www.nps.gov,www.nps.gov/yose/index.htm,Yosemite National Park (U.S. National Park Service),51151
www.nps.gov,www.nps.gov/civilwar/search-soldiers.htm,Search For Soldiers - The Civil War (U.S. National Park Service),51140
www.nps.gov,www.nps.gov/yell/learn/photosmultimedia/webcams.htm,Webcams - Yellowstone National Park (U.S. National Park Service),48421
earthquake.usgs.gov,earthquake.usgs.gov/earthquakes/eventpage/ci40453591/executive,"M 4.1 - 19 km S of Rancho Palos Verdes, CA",47237
store.usgs.gov,store.usgs.gov/cart,"Shopping cart | USGS Store",46799
www.nps.gov,www.nps.gov/features/ard/currentdatawidget/recent-dataw.html,National Park Service Air Quality Data,45277
earthquake.usgs.gov,earthquake.usgs.gov/earthquakes/eventpage/us6000m0xl/map,"M 7.5 - 42 km NE of Anamizu, Japan",43534
www.doi.gov,www.doi.gov/,U.S. Department of the Interior,42444
www.nps.gov,www.nps.gov/media/photo/gallery.htm,Photo Gallery (U.S. National Park Service),41636
www.nps.gov,www.nps.gov/subjects/air/webcams.htm,Webcam Home - Air (U.S. National Park Service),40085
