source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
google,Organic Search,15351869,41678082,9655671,2.7148539373284124,234.80848815460715,0.36690522828197664
(direct),Direct,8973555,29440897,5927780,3.2808510116670595,185.51463517146951,0.486542401534286
bing,Organic Search,930901,3761632,484101,4.0408507456754261,338.2772213961066,0.28503997739824105
(not set),Unassigned,184853,1333580,169162,7.2142729628407434,631.958627879607,0.999437390791602
yahoo,Organic Search,237436,816755,148402,3.4398953823346079,276.46729370882258,0.30048939503697841
duckduckgo,Organic Search,233211,764834,142631,3.2795794366474995,241.14571909566445,0.33677656714305931
ENS,Email,99215,360062,55451,3.6291085017386484,175.77301988111677,0.32626115002771761
dlvr.it,Unassigned,25058,117189,16333,4.67671003272408,172.35857804298027,0.35593423258041346
baidu,Organic Search,13902,91127,7407,6.5549561214213785,385.58819238972814,0.38843331894691413
photo,Unassigned,26554,76829,4213,2.8933117421104164,225.04784964973263,0.31863372749868191
ecosia.org,Organic Search,22014,65585,13150,2.9792404833287907,273.06472491014807,0.36326882892704643
article,Unassigned,17600,56423,10184,3.2058522727272729,363.92352570761363,0.54244318181818185
place,Unassigned,11940,34889,7199,2.9220268006700167,298.80664238216076,0.54807370184254611
twitter,Organic Social,4995,31844,2114,6.3751751751751753,277.43289442542539,0.31491491491491491
aol,Organic Search,4303,21158,2925,4.9170346270044156,259.41305371740646,0.19451545433418546
webcam,Unassigned,4354,14989,876,3.4425815342214054,280.46647209738171,0.33647220946256318
Science Explorer,Unassigned,1228,12309,321,10.023615635179153,241.30430961156353,0.1482084690553746
Newsletter,Email,4333,11308,2768,2.6097392107085162,255.67326840526192,0.41749365335795063
govdelivery,Email,4122,11105,2089,2.6940805434255215,291.55779855094613,0.42358078602620086
kilauea-live,Unassigned,1451,10256,356,7.0682288077188149,182.88720607580979,0.2039972432804962
