date,mobile_device,visits
2024-01-04,Chrome,311163
2024-01-04,iPhone,211038
2024-01-04,,99487
2024-01-04,Edge,67301
2024-01-04,Safari,55691
2024-01-04,ChromeBook,15284
2024-01-04,Firefox,12855
2024-01-04,(other),4526
2024-01-04,iPad,2940
2024-01-03,Chrome,420785
2024-01-03,iPhone,240112
2024-01-03,Edge,79919
2024-01-03,Safari,66302
2024-01-03,ChromeBook,16107
2024-01-03,(not set),13173
2024-01-03,Firefox,13045
2024-01-03,SM-A146U,5378
2024-01-03,SM-S918U,4678
2024-01-03,SM-S908U,4100
2024-01-03,iPad,3593
2024-01-03,SM-S901U,2891
2024-01-03,SM-S911U,2294
2024-01-03,SM-G991U,2176
2024-01-03,SM-G998U,2075
2024-01-03,SM-A037U,1911
2024-01-03,SM-A136U,1664
2024-01-03,SM-S916U,1547
2024-01-03,SM-S906U,1538
2024-01-03,moto g play (2023),1440
2024-01-03,Pixel 7,1436
2024-01-03,moto g pure,1372
2024-01-03,Opera,1277
2024-01-03,SM-A326B,1188
2024-01-03,Pixel 6a,1124
2024-01-03,Pixel 7 Pro,1121
2024-01-03,SM-G996U,1110
2024-01-03,Firefox for Android,1102
2024-01-03,Pixel 6,1085
2024-01-03,Moto G 5G (2022),1035
2024-01-03,SM-G781U,1018
2024-01-02,Chrome,389430
2024-01-02,iPhone,234116
2024-01-02,Edge,71651
2024-01-02,Safari,60709
2024-01-02,Firefox,15467
2024-01-02,(not set),12390
2024-01-02,ChromeBook,11221
2024-01-02,SM-A146U,5375
2024-01-02,SM-S918U,4219
2024-01-02,SM-S908U,3871
2024-01-02,iPad,3501
2024-01-02,SM-S901U,2710
2024-01-02,SM-S911U,2184
2024-01-02,SM-G991U,1978
2024-01-02,SM-A037U,1828
2024-01-02,SM-G998U,1764
2024-01-02,SM-A136U,1670
2024-01-02,SM-S906U,1471
2024-01-02,SM-S916U,1442
2024-01-02,moto g play (2023),1426
2024-01-02,moto g pure,1317
2024-01-02,Pixel 7,1298
2024-01-02,Opera,1188
2024-01-02,SM-A326B,1157
2024-01-02,Firefox for Android,1101
2024-01-02,Pixel 6a,1078
2024-01-02,SM-A546U,1051
2024-01-02,Moto G 5G (2022),1049
2024-01-02,moto g 5G - 2023,1028
2024-01-01,iPhone,192591
2024-01-01,Chrome,137160
2024-01-01,Safari,30819
2024-01-01,Edge,15854
2024-01-01,Firefox,7896
2024-01-01,(not set),6515
2024-01-01,ChromeBook,4012
2024-01-01,SM-A146U,3784
2024-01-01,SM-S918U,3439
2024-01-01,SM-S908U,3074
2024-01-01,iPad,3019
2024-01-01,SM-S901U,2384
2024-01-01,SM-S911U,1828
2024-01-01,SM-G991U,1784
2024-01-01,Internet Explorer,1676
2024-01-01,SM-A037U,1525
2024-01-01,SM-G998U,1520
2024-01-01,SM-A136U,1359
2024-01-01,moto g pure,1242
2024-01-01,SM-S916U,1215
2024-01-01,SM-S906U,1190
2024-01-01,moto g play (2023),1051
2024-01-01,Pixel 7,1022
2023-12-31,iPhone,166893
2023-12-31,Chrome,80414
2023-12-31,Safari,26476
2023-12-31,Edge,13036
2023-12-31,(not set),5645
2023-12-31,Firefox,3999
2023-12-31,SM-A146U,3059
2023-12-31,ChromeBook,2953
2023-12-31,SM-S918U,2887
2023-12-31,SM-S908U,2815
2023-12-31,iPad,2543
2023-12-31,SM-S901U,2039
2023-12-31,SM-S911U,1668
2023-12-31,SM-G991U,1535
2023-12-31,SM-G998U,1404
2023-12-31,SM-A037U,1256
2023-12-31,SM-S916U,1129
2023-12-31,SM-S906U,1055
2023-12-31,moto g pure,1052
2023-12-31,SM-A136U,1012
2023-12-30,iPhone,193453
2023-12-30,Chrome,92835
2023-12-30,Safari,30160
2023-12-30,Edge,15975
2023-12-30,Firefox,7310
2023-12-30,(not set),6260
2023-12-30,SM-A146U,3746
2023-12-30,SM-S918U,3463
2023-12-30,SM-S908U,3395
2023-12-30,ChromeBook,3209
2023-12-30,iPad,3073
2023-12-30,SM-S901U,2483
2023-12-30,SM-G991U,1964
2023-12-30,SM-S911U,1880
2023-12-30,SM-G998U,1610
2023-12-30,SM-A037U,1423
2023-12-30,SM-S916U,1358
2023-12-30,SM-S906U,1319
2023-12-30,SM-A136U,1306
2023-12-30,moto g pure,1188
2023-12-30,Pixel 7,1099
2023-12-29,Chrome,270615
2023-12-29,iPhone,207417
2023-12-29,Edge,43884
2023-12-29,Safari,41203
2023-12-29,(not set),8938
2023-12-29,Firefox,8117
2023-12-29,SM-A146U,4241
2023-12-29,ChromeBook,4059
2023-12-29,SM-S918U,3913
2023-12-29,SM-S908U,3628
2023-12-29,iPad,3124
2023-12-29,SM-S901U,2631
2023-12-29,SM-G991U,2073
2023-12-29,SM-S911U,2046
2023-12-29,SM-G998U,1761
2023-12-29,SM-A037U,1536
2023-12-29,SM-A136U,1394
2023-12-29,SM-S916U,1378
2023-12-29,SM-S906U,1335
2023-12-29,Pixel 7,1268
2023-12-29,moto g pure,1268
2023-12-29,moto g play (2023),1238
2023-12-29,SM-A326B,1045
2023-12-29,Firefox for Android,1040
2023-12-29,Pixel 6a,1034
2023-12-29,SM-G996U,1012
2023-12-29,Pixel 7 Pro,1006
2023-12-28,Chrome,358958
2023-12-28,iPhone,226426
2023-12-28,Edge,55343
2023-12-28,Safari,45420
2023-12-28,(not set),10237
2023-12-28,Firefox,9415
2023-12-28,SM-A146U,4611
2023-12-28,ChromeBook,4258
2023-12-28,SM-S908U,4061
2023-12-28,SM-S918U,4002
2023-12-28,iPad,3147
2023-12-28,SM-S901U,2751
2023-12-28,SM-S911U,2224
2023-12-28,SM-G991U,2140
2023-12-28,SM-G998U,1897
2023-12-28,SM-A037U,1703
2023-12-28,SM-A136U,1539
2023-12-28,SM-S916U,1437
2023-12-28,SM-S906U,1404
2023-12-28,moto g pure,1307
2023-12-28,Pixel 7,1272
2023-12-28,moto g play (2023),1243
2023-12-28,SM-G996U,1081
2023-12-28,SM-A326B,1075
2023-12-28,Pixel 6,1066
2023-12-28,Pixel 6a,1065
2023-12-28,Firefox for Android,1023
2023-12-28,Pixel 7 Pro,1002
2023-12-27,Chrome,345054
2023-12-27,iPhone,218407
2023-12-27,Edge,57953
2023-12-27,Safari,45688
2023-12-27,(not set),10327
2023-12-27,Firefox,9712
2023-12-27,SM-A146U,4623
2023-12-27,ChromeBook,4224
2023-12-27,SM-S918U,4010
2023-12-27,SM-S908U,3816
2023-12-27,iPad,3186
2023-12-27,SM-S901U,2771
2023-12-27,SM-S911U,2153
2023-12-27,SM-G991U,2079
2023-12-27,SM-G998U,1896
2023-12-27,SM-A037U,1635
2023-12-27,SM-A136U,1550
2023-12-27,SM-S916U,1398
2023-12-27,SM-S906U,1351
2023-12-27,moto g pure,1281
2023-12-27,moto g play (2023),1212
2023-12-27,Pixel 7,1196
2023-12-27,SM-A326B,1121
2023-12-27,Firefox for Android,1118
2023-12-27,Pixel 6a,1042
2023-12-27,Pixel 7 Pro,1019
2023-12-27,Pixel 6,1015
2023-12-26,Chrome,269668
2023-12-26,iPhone,205169
2023-12-26,Edge,42972
2023-12-26,Safari,41663
2023-12-26,(not set),9231
2023-12-26,Firefox,9190
2023-12-26,SM-A146U,4383
2023-12-26,SM-S918U,3786
2023-12-26,ChromeBook,3686
2023-12-26,SM-S908U,3660
2023-12-26,iPad,2961
2023-12-26,SM-S901U,2456
2023-12-26,SM-G991U,1917
2023-12-26,SM-S911U,1912
2023-12-26,SM-G998U,1633
2023-12-26,SM-A037U,1619
2023-12-26,SM-A136U,1441
2023-12-26,SM-S916U,1345
2023-12-26,moto g play (2023),1273
2023-12-26,moto g pure,1254
2023-12-26,SM-S906U,1245
2023-12-26,Pixel 7,1075
2023-12-26,SM-A326B,1041
2023-12-26,Opera,1016
2023-12-25,iPhone,156724
2023-12-25,Chrome,105152
2023-12-25,Safari,20496
2023-12-25,Edge,11293
2023-12-25,(not set),5219
2023-12-25,Firefox,3895
2023-12-25,SM-A146U,3406
2023-12-25,SM-S918U,2908
2023-12-25,SM-S908U,2687
2023-12-25,ChromeBook,2364
2023-12-25,iPad,2205
2023-12-25,SM-S901U,1913
2023-12-25,Internet Explorer,1877
2023-12-25,SM-S911U,1475
2023-12-25,SM-G991U,1464
2023-12-25,SM-A037U,1269
2023-12-25,SM-G998U,1248
2023-12-25,SM-A136U,1125
2023-12-24,iPhone,157720
2023-12-24,Chrome,119814
2023-12-24,Safari,21213
2023-12-24,Edge,11898
2023-12-24,Firefox,6093
2023-12-24,(not set),5285
2023-12-24,SM-A146U,3040
2023-12-24,SM-S918U,2920
2023-12-24,SM-S908U,2802
2023-12-24,ChromeBook,2446
2023-12-24,iPad,2441
2023-12-24,SM-S901U,2016
2023-12-24,SM-S911U,1520
2023-12-24,SM-G991U,1510
2023-12-24,SM-G998U,1358
2023-12-24,SM-A037U,1215
2023-12-24,SM-S906U,1103
2023-12-24,SM-A136U,1085
2023-12-24,SM-S916U,1054
2023-12-24,moto g pure,1050
2023-12-23,iPhone,187805
2023-12-23,Chrome,164763
2023-12-23,Safari,27577
2023-12-23,Edge,14921
2023-12-23,(not set),6022
2023-12-23,Firefox,5101
2023-12-23,SM-A146U,3596
2023-12-23,SM-S918U,3369
2023-12-23,SM-S908U,3359
2023-12-23,iPad,2873
2023-12-23,ChromeBook,2835
2023-12-23,SM-S901U,2384
2023-12-23,SM-S911U,1819
2023-12-23,SM-G991U,1791
2023-12-23,SM-G998U,1621
2023-12-23,SM-A037U,1421
2023-12-23,SM-A136U,1319
2023-12-23,SM-S916U,1290
2023-12-23,SM-S906U,1252
2023-12-23,moto g pure,1185
2023-12-23,Pixel 7,1062
2023-12-23,moto g play (2023),1051
2023-12-23,SM-A326B,1020
2023-12-22,Chrome,340241
2023-12-22,iPhone,219884
2023-12-22,Edge,47930
2023-12-22,Safari,46408
2023-12-22,(not set),11286
