date,language,visits
2024-01-04,English,730678
2024-01-04,Spanish,45816
2024-01-04,(other),14211
2024-01-04,Chinese,5094
2024-01-04,Russian,4130
2024-01-04,French,3934
2024-01-04,German,2477
2024-01-04,Portuguese,2312
2024-01-04,Turkish,1215
2024-01-04,Arabic,1108
2024-01-04,Italian,648
2024-01-04,Dutch,634
2024-01-04,Japanese,611
2024-01-04,Polish,566
2024-01-04,Swedish,497
2024-01-04,Korean,485
2024-01-04,Norwegian Bokmål,413
2024-01-04,Romanian,335
2024-01-04,Indonesian,323
2024-01-04,Danish,319
2024-01-04,Vietnamese,319
2024-01-04,Hungarian,234
2024-01-04,Czech,233
2024-01-04,Greek,216
2024-01-04,Finnish,180
2024-01-04,Persian,180
2024-01-04,Georgian,156
2024-01-04,Ukrainian,133
2024-01-04,Hebrew,120
2024-01-04,Thai,114
2024-01-04,Croatian,112
2024-01-04,Hindi,104
2024-01-04,Bulgarian,99
2024-01-04,Slovak,85
2024-01-04,Serbian,72
2024-01-04,Panjabi,66
2024-01-04,Uzbek,52
2024-01-04,Slovenian,48
2024-01-04,Catalan,41
2024-01-04,Lithuanian,40
2024-01-04,Malay,39
2024-01-04,Estonian,35
2024-01-04,Bengali,28
2024-01-04,Azerbaijani,26
2024-01-04,Gujarati,19
2024-01-04,Latvian,17
2024-01-04,Bosnian,16
2024-01-04,Central Khmer,13
2024-01-04,Tamil,13
2024-01-04,Marathi,11
2024-01-04,Telugu,11
2024-01-03,English,944569
2024-01-03,Spanish,53724
2024-01-03,Chinese,5692
2024-01-03,French,4827
2024-01-03,Russian,4771
2024-01-03,Portuguese,2807
2024-01-03,German,2203
2024-01-03,Turkish,1486
2024-01-03,Arabic,1189
2024-01-03,Italian,874
2024-01-03,Dutch,815
2024-01-03,Swedish,726
2024-01-03,Polish,636
2024-01-03,Korean,600
2024-01-03,Japanese,590
2024-01-03,Norwegian Bokmål,498
2024-01-03,Romanian,445
2024-01-03,Vietnamese,393
2024-01-03,Indonesian,376
2024-01-03,Danish,344
2024-01-03,Czech,316
2024-01-03,Hungarian,302
2024-01-03,Greek,255
2024-01-03,Finnish,247
2024-01-03,Persian,189
2024-01-03,Hebrew,176
2024-01-03,Georgian,170
2024-01-03,Ukrainian,161
2024-01-03,Croatian,154
2024-01-03,Hindi,144
2024-01-03,Thai,136
2024-01-03,Slovak,125
2024-01-03,Slovenian,80
2024-01-03,Uzbek,80
2024-01-03,(other),76
2024-01-03,Serbian,71
