date,browser,os,visits
2024-01-04,Chrome,Windows,220260
2024-01-04,Safari,iOS,183247
2024-01-04,Chrome,Android,105943
2024-01-04,Chrome,Linux,90375
2024-01-04,Edge,Windows,67484
2024-01-04,Chrome,Macintosh,29276
2024-01-04,Safari,Macintosh,25262
2024-01-04,Chrome,iOS,23809
2024-01-04,Chrome,Chrome OS,15169
2024-01-04,Firefox,Windows,10610
2024-01-04,(other),(other),8887
2024-01-04,Samsung Internet,Android,7680
2024-01-04,Safari (in-app),iOS,7251
2024-01-04,Android Webview,Android,6550
2024-01-04,Firefox,Linux,2026
2024-01-04,Firefox,Macintosh,1318
2024-01-04,Opera,Windows,940
2024-01-04,(not set),,890
2024-01-04,Firefox,Android,875
2024-01-04,Opera,Android,645
2024-01-04,Amazon Silk,Android,383
2024-01-04,Internet Explorer,Windows,351
2024-01-04,Edge,Macintosh,307
2024-01-04,UC Browser,Android,295
2024-01-04,Samsung Internet,Linux,124
2024-01-04,Mozilla Compatible Agent,Macintosh,108
2024-01-03,Chrome,Windows,289436
2024-01-03,Safari,iOS,215160
2024-01-03,Chrome,Linux,138231
2024-01-03,Chrome,Android,124289
2024-01-03,Edge,Windows,80135
2024-01-03,Chrome,Macintosh,34688
2024-01-03,Chrome,iOS,29382
2024-01-03,Safari,Macintosh,29287
2024-01-03,Chrome,Chrome OS,16107
2024-01-03,Firefox,Windows,10561
2024-01-03,Samsung Internet,Android,9814
2024-01-03,Safari (in-app),iOS,9007
2024-01-03,Android Webview,Android,7357
2024-01-03,Firefox,Linux,2457
2024-01-03,Firefox,Macintosh,1705
2024-01-03,Opera,Windows,1267
2024-01-03,(not set),(not set),1185
2024-01-03,Firefox,Android,1122
2024-01-03,Opera,Android,899
2024-01-03,Internet Explorer,Windows,546
2024-01-03,Edge,Android,537
2024-01-03,Amazon Silk,Android,507
2024-01-03,UC Browser,Android,400
2024-01-03,Edge,Macintosh,291
2024-01-03,Edge,Linux,234
2024-01-03,Samsung Internet,Linux,160
2024-01-03,Mozilla Compatible Agent,Macintosh,149
2024-01-03,Opera Mini,(not set),108
2024-01-02,Chrome,Windows,257818
2024-01-02,Safari,iOS,204033
2024-01-02,Chrome,Linux,132841
2024-01-02,Chrome,Android,115846
2024-01-02,Edge,Windows,71790
2024-01-02,Chrome,Macintosh,30916
2024-01-02,Safari,Macintosh,27716
2024-01-02,Chrome,iOS,27657
2024-01-02,Firefox,Windows,13515
2024-01-02,Chrome,Chrome OS,11221
2024-01-02,Samsung Internet,Android,8880
2024-01-02,Safari (in-app),iOS,8613
2024-01-02,Android Webview,Android,8123
2024-01-02,Firefox,Linux,1997
2024-01-02,Firefox,Macintosh,1639
2024-01-02,(not set),(not set),1383
2024-01-02,Opera,Windows,1181
2024-01-02,Firefox,Android,1117
2024-01-02,Opera,Android,780
2024-01-02,Internet Explorer,Windows,665
2024-01-02,Amazon Silk,Android,536
2024-01-02,Edge,Android,523
2024-01-02,UC Browser,Android,374
2024-01-02,Edge,Macintosh,236
2024-01-02,Edge,Linux,218
2024-01-02,Mozilla Compatible Agent,Macintosh,192
2024-01-02,Samsung Internet,Linux,174
2024-01-02,Opera Mini,(not set),119
2024-01-01,Safari,iOS,167145
2024-01-01,Chrome,Android,96572
2024-01-01,Chrome,Windows,79258
2024-01-01,Chrome,Linux,61039
2024-01-01,Chrome,iOS,21831
2024-01-01,Safari,Macintosh,17634
2024-01-01,Edge,Windows,15788
2024-01-01,Chrome,Macintosh,11805
2024-01-01,Android Webview,Android,8153
2024-01-01,Safari (in-app),iOS,7743
2024-01-01,Firefox,Windows,7295
2024-01-01,Samsung Internet,Android,7183
2024-01-01,Chrome,Chrome OS,4012
2024-01-01,Internet Explorer,Windows,1682
2024-01-01,Firefox,Android,969
2024-01-01,(not set),(not set),854
2024-01-01,Opera,Windows,821
2024-01-01,Opera,Android,798
2024-01-01,Firefox,Macintosh,789
2024-01-01,Firefox,Linux,523
2024-01-01,Amazon Silk,Android,480
2024-01-01,Edge,Android,383
2024-01-01,UC Browser,Android,358
2024-01-01,Edge,Linux,193
2024-01-01,Samsung Internet,Linux,142
2024-01-01,Mozilla Compatible Agent,Macintosh,132
2024-01-01,Edge,Macintosh,106
2023-12-31,Safari,iOS,144903
2023-12-31,Chrome,Android,89923
2023-12-31,Chrome,Linux,42304
2023-12-31,Chrome,Windows,39030
2023-12-31,Chrome,iOS,20232
2023-12-31,Safari,Macintosh,15151
2023-12-31,Edge,Windows,13011
2023-12-31,Chrome,Macintosh,10533
2023-12-31,Safari (in-app),iOS,6686
2023-12-31,Samsung Internet,Android,6627
2023-12-31,Android Webview,Android,6561
2023-12-31,Firefox,Windows,3489
2023-12-31,Chrome,Chrome OS,2953
2023-12-31,(not set),(not set),861
2023-12-31,Firefox,Android,858
2023-12-31,Opera,Android,781
2023-12-31,Opera,Windows,775
2023-12-31,Firefox,Macintosh,678
2023-12-31,Firefox,Linux,510
2023-12-31,Amazon Silk,Android,445
2023-12-31,UC Browser,Android,420
2023-12-31,Edge,Android,380
2023-12-31,Samsung Internet,Linux,142
2023-12-31,Mozilla Compatible Agent,Macintosh,117
2023-12-30,Safari,iOS,172719
2023-12-30,Chrome,Android,105381
2023-12-30,Chrome,Linux,47959
2023-12-30,Chrome,Windows,47865
2023-12-30,Chrome,iOS,22413
2023-12-30,Safari,Macintosh,17496
2023-12-30,Edge,Windows,15941
2023-12-30,Chrome,Macintosh,12179
2023-12-30,Samsung Internet,Android,7558
2023-12-30,Safari (in-app),iOS,7436
2023-12-30,Android Webview,Android,6815
2023-12-30,Firefox,Windows,6642
2023-12-30,Chrome,Chrome OS,3209
2023-12-30,Firefox,Android,1002
2023-12-30,(not set),(not set),902
2023-12-30,Opera,Android,841
2023-12-30,Opera,Windows,838
