date,screen_resolution,visits
2024-01-04,1920x1080,119115
2024-01-04,1360x1020,67357
2024-01-04,390x844,57954
2024-01-04,800x600,43330
2024-01-04,1440x900,34263
2024-01-04,430x932,33291
2024-01-04,428x926,31716
2024-01-04,1536x864,28685
2024-01-04,414x896,28532
2024-01-04,1280x720,26045
2024-01-04,1366x768,25953
2024-01-04,393x852,20191
2024-01-04,412x915,17257
2024-01-04,375x812,17147
2024-01-04,(other),14143
2024-01-04,1280x960,13630
2024-01-04,360x800,13102
2024-01-04,375x667,9704
2024-01-04,1920x1200,9265
2024-01-04,360x780,8191
2024-01-04,2560x1440,7845
2024-01-04,384x857,7213
2024-01-04,1600x900,7085
2024-01-04,385x854,5927
2024-01-04,1680x1050,5490
2024-01-04,1280x800,5448
2024-01-04,384x824,5103
2024-01-04,412x892,4742
2024-01-04,384x854,4428
2024-01-04,320x693,4064
2024-01-04,384x832,3817
2024-01-04,810x1080,3815
2024-01-04,1280x1024,3615
2024-01-04,393x873,3098
2024-01-04,3440x1440,3025
2024-01-04,412x883,2990
2024-01-04,412x869,2963
2024-01-04,1470x956,2849
2024-01-04,414x736,2618
2024-01-04,360x760,2277
2024-01-04,432x960,2251
2024-01-04,768x1024,2226
2024-01-04,1536x960,2124
2024-01-04,1512x982,2104
2024-01-04,2048x1152,1986
2024-01-04,820x1180,1839
2024-01-04,1024x1366,1804
2024-01-04,320x712,1798
2024-01-04,2240x1260,1720
2024-01-04,1707x793,1701
2024-01-04,360x740,1627
2024-01-04,1024x768,1561
2024-01-04,412x846,1555
2024-01-04,1728x1117,1544
2024-01-04,393x851,1473
2024-01-04,320x568,1461
2024-01-04,2560x1080,1364
2024-01-04,360x772,1361
2024-01-04,360x720,1355
2024-01-04,360x640,1303
2024-01-04,1517x852,1280
2024-01-04,360x806,1188
2024-01-04,834x1194,1177
2024-01-04,432x984,1145
2024-01-04,1792x1120,1106
2024-01-04,1368x912,1031
2024-01-04,360x820,1017
2024-01-03,1920x1080,151127
2024-01-03,1360x1020,109579
2024-01-03,800x600,82454
2024-01-03,390x844,70667
2024-01-03,1440x900,43978
2024-01-03,428x926,39742
2024-01-03,430x932,39185
2024-01-03,1536x864,34511
2024-01-03,414x896,33895
2024-01-03,1366x768,29759
2024-01-03,1280x720,28244
2024-01-03,393x852,24731
2024-01-03,375x812,20783
2024-01-03,412x915,20009
2024-01-03,1280x960,17679
2024-01-03,360x800,15636
2024-01-03,375x667,11672
2024-01-03,1920x1200,10856
2024-01-03,360x780,9868
2024-01-03,2560x1440,9733
2024-01-03,1600x900,8637
2024-01-03,384x857,8212
2024-01-03,385x854,6993
2024-01-03,1680x1050,6788
2024-01-03,1280x800,6342
2024-01-03,384x824,5970
2024-01-03,412x892,5681
2024-01-03,384x854,5154
2024-01-03,320x693,4887
2024-01-03,384x832,4531
2024-01-03,810x1080,4372
2024-01-03,1280x1024,3990
2024-01-03,3440x1440,3938
2024-01-03,393x873,3872
2024-01-03,412x883,3689
2024-01-03,412x869,3454
2024-01-03,414x736,3371
2024-01-03,1470x956,3287
2024-01-03,360x760,2793
2024-01-03,432x960,2718
2024-01-03,1536x960,2618
2024-01-03,768x1024,2617
2024-01-03,1512x982,2509
2024-01-03,2048x1152,2330
2024-01-03,820x1180,2312
2024-01-03,1024x1366,2230
2024-01-03,320x712,2180
2024-01-03,1024x768,2143
2024-01-03,1707x793,2109
2024-01-03,2240x1260,2028
2024-01-03,412x846,1991
2024-01-03,1728x1117,1988
2024-01-03,320x568,1815
2024-01-03,360x740,1747
2024-01-03,360x772,1727
2024-01-03,393x851,1724
2024-01-03,2560x1080,1675
2024-01-03,360x640,1627
2024-01-03,360x720,1626
2024-01-03,360x806,1561
2024-01-03,834x1194,1555
2024-01-03,1517x852,1379
2024-01-03,432x984,1323
2024-01-03,360x820,1280
2024-01-03,1792x1120,1161
2024-01-03,1368x912,1148
2024-01-03,385x824,1129
2024-01-03,360x880,1097
2024-01-03,1504x1003,1090
2024-01-03,320x694,1075
2024-01-03,1300x730,1013
2024-01-03,1366x1000,1007
2024-01-02,1920x1080,128426
2024-01-02,1360x1020,102742
2024-01-02,800x600,89697
2024-01-02,390x844,68202
2024-01-02,1440x900,41262
2024-01-02,430x932,38722
2024-01-02,428x926,36223
2024-01-02,414x896,31937
2024-01-02,1536x864,31177
2024-01-02,1280x720,27049
2024-01-02,1366x768,24394
2024-01-02,393x852,23144
2024-01-02,375x812,19872
2024-01-02,412x915,19145
2024-01-02,360x800,14867
2024-01-02,375x667,11221
2024-01-02,1920x1200,10747
2024-01-02,360x780,9212
2024-01-02,2560x1440,8722
2024-01-02,384x857,8098
2024-01-02,1600x900,7992
2024-01-02,385x854,6797
2024-01-02,1680x1050,6059
2024-01-02,1280x800,5929
2024-01-02,384x824,5546
2024-01-02,412x892,5323
2024-01-02,384x854,5005
2024-01-02,384x832,4530
2024-01-02,320x693,4474
2024-01-02,1280x1024,4116
2024-01-02,393x873,3849
2024-01-02,810x1080,3760
2024-01-02,412x883,3521
