source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
(direct),Direct,10745921,25537322,8760687,2.3764665681052373,134.03463890191858,0.48041540599451643
google,Organic Search,11669846,21602779,8241325,1.8511623032557585,190.2081995522172,0.40080974504719258
bing,Organic Search,627600,1483961,330152,2.3645012746972593,324.01671364256856,0.34089547482472915
(not set),Unassigned,165454,564222,143920,3.4101442092666239,343.56598433845664,0.96903671111003664
yahoo,Organic Search,137983,317394,82116,2.3002398846234682,290.08111287768781,0.31556061253922585
duckduckgo,Organic Search,96949,180195,74949,1.8586576447410494,179.34923322148759,0.3841298002042311
govdelivery,Email,45108,100323,33080,2.2240622505985637,181.58513735585706,0.48627737873547927
(other),(other),14143,18206,13916,1.2872799264653891,158.94728625567421,1
juvjust,Email,8122,16812,7500,2.0699335139128294,98.915690167569551,0.71103176557498149
(not set),Email,7571,14885,7020,1.9660546823405098,63.983142839387128,0.39783383965130104
stories,Email,7668,11988,5307,1.5633802816901408,205.73162941353675,0.52764736567553472
newsfrombja,Unassigned,4338,11187,3299,2.5788381742738591,203.70580125795297,0.48178884278469342
ecosia.org,Organic Search,4597,9862,3409,2.1453121601044161,228.28796321209487,0.36175766804437676
aol,Organic Search,2548,5769,1773,2.2641287284144429,255.47685972056519,0.28021978021978022
newsletter,Email,4729,4917,4615,1.0397547050116305,22.040641245294989,0.86847113554662725
national-press-releases,Email,2649,4649,1862,1.7550018875047189,168.75131143374858,0.57531143827859565
substack,Email,3650,4047,3092,1.1087671232876712,78.106351687397265,0.74054794520547951
JustGrants,Unassigned,1638,3842,806,2.3455433455433456,355.39971888522592,0.43650793650793651
yandex,Organic Search,2092,3817,1573,1.8245697896749522,117.50884866443594,0.628585086042065
baidu,Organic Search,1849,3544,1630,1.9167117360735533,117.95811502596,0.71606273661438613
