date,os_version,visits
2024-01-04,10,297475
2024-01-03,10,279480
2023-12-06,10,271980
2023-12-21,10,269246
2023-12-14,10,260808
2023-12-28,10,258844
2023-12-19,10,256394
2023-12-20,10,255285
2023-12-22,10,253749
2024-01-02,10,253196
2023-12-05,10,249038
2023-12-07,10,247669
2023-11-30,10,246236
2023-12-18,10,244833
2023-12-27,10,242981
2023-11-29,10,224553
2023-12-11,10,220039
2023-10-30,10,219694
2023-12-15,10,219095
2023-12-12,10,218325
2023-11-01,10,217952
2023-11-08,10,215613
2023-10-23,10,213710
2023-11-07,10,212885
2023-10-19,10,211702
2023-11-14,10,210447
2023-11-28,10,209662
2023-10-31,10,209510
2023-11-06,10,208015
2023-11-02,10,207757
2023-10-24,10,207596
2023-12-04,10,207091
2023-12-13,10,206735
2023-12-01,10,206185
2023-11-15,10,205636
2023-10-16,10,205608
2023-11-16,10,205601
2023-11-21,10,205397
2023-10-25,10,204825
2023-12-08,10,204577
2023-10-17,10,204317
2023-11-20,10,202372
2023-11-09,10,201402
2023-10-12,10,199696
2023-11-13,10,198370
2023-10-18,10,196591
2023-11-27,10,196551
2023-10-20,10,194013
2023-10-27,10,192305
2023-12-29,10,186243
2023-11-17,10,185317
2023-11-03,10,184499
2023-10-26,10,183158
2023-10-13,10,182858
2023-12-26,10,170471
2023-10-11,10,167815
2023-11-22,10,159248
2023-10-10,10,158471
2023-11-10,10,140343
2023-10-09,10,114131
2023-12-23,10,113954
2023-12-04,11,91299
2023-11-29,11,89510
2023-12-09,10,89367
2023-12-05,11,88945
2023-11-27,11,88842
2023-11-28,11,88820
2023-10-14,10,88776
2023-11-15,11,88566
2023-11-14,11,87784
2023-11-30,11,87449
2023-12-11,11,86922
2023-10-23,11,85918
2023-10-24,11,85349
2023-12-12,11,85345
2023-11-13,11,85143
2023-12-06,11,84992
2023-10-17,11,84958
2023-11-16,11,84850
2023-11-06,11,84233
2023-11-20,11,84048
2023-12-13,11,84034
2023-10-25,11,83755
2023-11-07,11,83390
2023-10-15,10,83144
2023-10-16,11,82739
2023-12-07,11,82581
2023-10-30,11,82486
2023-10-18,11,82467
2023-12-10,10,82462
2023-11-21,11,82326
2023-11-02,11,82315
2023-11-08,11,82011
2023-11-09,11,81989
2023-12-14,11,81665
2023-10-19,11,81013
2023-12-24,10,80235
2023-12-19,11,79875
2023-11-24,10,79336
2023-11-01,11,79319
2023-10-26,11,78939
