domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.careeronestop.org,www.careeronestop.org/Toolkit/Jobs/find-jobs-results.aspx,"Job Finder | Jobs | CareerOneStop",678959,82351,49428,8.2446964821313653,304.47066507797115,0.16202596204053382
webapps.dol.gov,webapps.dol.gov/wow,Workers Owed Wages (WOW),466548,111647,103252,4.1787777548881744,120.61506791017224,0.11779089451575053
www.careeronestop.org,www.careeronestop.org/toolkit/training/find-scholarships.aspx,"Scholarship Finder | CareerOneStop",428704,74252,51466,5.7736357269837848,301.52686190439312,0.32141895167806928
www.bls.gov,www.bls.gov/ooh/,Home : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,420688,297487,217329,1.4141391052382122,131.80571299921678,0.17498915919014948
www.bls.gov,www.bls.gov/,U.S. Bureau of Labor Statistics,398497,331671,251846,1.2014827946971547,106.01543107244831,0.22896183265947279
flag.dol.gov,flag.dol.gov/dashboard/cases,"Submitted Cases | Foreign Labor Application Gateway",318076,134713,21216,2.3611381232694693,238.38658107781725,0.008395626257302561
www.dol.gov,www.dol.gov/,"Home | U.S. Department of Labor",316026,275100,247767,1.1487677208287896,60.838183327880763,0.50629589240276263
flag.dol.gov,flag.dol.gov/processingtimes,"Processing Times | Flag.dol.gov",307167,274975,127344,1.1170724611328302,141.05987998114372,0.49300845531411946
www.osha.gov,www.osha.gov/,"Home | Occupational Safety and Health Administration",299473,254074,185346,1.1786841628816802,112.97906755192187,0.2707833150971764
www.osha.gov,www.osha.gov/ords/imis/establishment.inspection_detail,"Inspection Detail | Occupational Safety and Health Administration osha.gov",281074,70819,42638,3.9689066493455147,255.23697589749929,0.16537934735028736
www.osha.gov,www.osha.gov/ords/imis/establishment.html,"Establishment Search | Occupational Safety and Health Administration osha.gov",260872,105214,33867,2.4794418993670044,353.44077831605108,0.17661147756002052
flag.dol.gov,flag.dol.gov/,"Home | Flag.dol.gov",255222,242434,42296,1.0527483768778307,166.76775392215615,0.32384896507915556
www.bls.gov,www.bls.gov/cpi/,CPI Home : U.S. Bureau of Labor Statistics,247678,193380,158166,1.2807839487020374,108.78511410955115,0.26050263729444617
www.careeronestop.org,www.careeronestop.org/Toolkit/Careers/interest-assessment-questions.aspx,"Interest Assessment Questions | CareerOneStop",233714,33680,30658,6.9392517814726844,164.09773229144892,0.035213776722090258
www.osha.gov,www.osha.gov/data/sic-search,"Standard Industrial Classification (SIC) System Search | Occupational Safety and Health Administration",214710,69336,33803,3.0966597438560055,214.02996966740224,0.20658820814584056
www.bls.gov,www.bls.gov/data/inflation_calculator.htm,CPI Inflation Calculator,209290,219861,153486,0.95191962194295487,164.42029670472709,0.43323736360700627
www.careeronestop.org,www.careeronestop.org/Toolkit/Careers/interest-assessment-results.aspx,"Interest Assessment Results | CareerOneStop",208937,41787,32189,5.0000478617751929,295.01722081925,0.15969081293225165
webapps.dol.gov,webapps.dol.gov/wow/,Workers Owed Wages (WOW),195030,132967,127625,1.4667549091127874,66.451337415742245,0.12615160152519045
www.dol.gov,www.dol.gov/agencies/whd/fmla/forms,"FMLA: Forms | U.S. Department of Labor",191460,136936,98736,1.3981714085412162,264.83738250024095,0.2590334170707484
www.careeronestop.org,www.careeronestop.org/Toolkit/Jobs/find-jobs-details.aspx,"Job Finder | Jobs | CareerOneStop",185656,53461,33479,3.4727371354819403,301.23375668831483,0.16127644451095191
flag.dol.gov,flag.dol.gov/dashboard,"Dashboard | Foreign Labor Application Gateway",184303,146635,24907,1.2568827360452826,71.332398106127457,0.012725474818426705
www.careeronestop.org,www.careeronestop.org/,Careers and Career Information - CareerOneStop,177352,143021,105886,1.2400416722019842,104.26713147115458,0.27942749666132943
www.careeronestop.org,www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx,"Scholarship Finder | CareerOneStop",164939,39966,29980,4.126982935495171,307.35120981616876,0.17559925937046489
www.dol.gov,www.dol.gov/agencies/whd/fmla,"Family and Medical Leave Act | U.S. Department of Labor",162364,138757,120515,1.1701319573066584,120.75207511561939,0.2672585887558826
www.careeronestop.org,www.careeronestop.org/toolkit/careers/interest-assessment-results.aspx,"Interest Assessment Results | CareerOneStop",141332,26578,19305,5.3176311234855893,376.6440601022274,0.16201369553766273
flag.dol.gov,flag.dol.gov/dashboard/application/,"New Application | Foreign Labor Application Gateway",133465,62647,12144,2.1304292304499817,728.90406472512655,0.049499576994907979
www.osha.gov,www.osha.gov/ords/imis/establishment.search,"Establishment Search Results | Occupational Safety and Health Administration osha.gov",131223,53458,23473,2.4546934041677577,157.01192513562052,0.091417561450110374
data.bls.gov,data.bls.gov/pdq/SurveyOutputServlet,Bureau of Labor Statistics Data,127964,66672,35623,1.9193064554835613,234.27890414284855,0.1845602351811855
www.careeronestop.org,www.careeronestop.org/site-search.aspx,"Site Search | Careers | CareerOneStop",123253,54867,41434,2.2463958299159787,148.25386775207321,0.095139154683142879
www.askebsa.dol.gov,www.askebsa.dol.gov/VFCPCalculator/WebCalculator.aspx,VFCP Calculator,107980,7999,3726,13.499187398424803,762.48240167145889,0.27778472309038632
www.careeronestop.org,www.careeronestop.org/Toolkit/Wages/highest-paying-careers.aspx,"Highest Paying Careers | Careers | CareerOneStop",107042,22031,18995,4.8586991058054556,178.40497444419228,0.23634878126276609
www.careeronestop.org,www.careeronestop.org/Toolkit/Training/find-scholarships.aspx,"Scholarship Finder | CareerOneStop",106325,21387,14568,4.9714780006546029,262.15538656193019,0.33211764155795576
www.bls.gov,www.bls.gov/news.release/cpi.nr0.htm,Consumer Price Index Summary - 2023 M11 Results,103943,97320,80929,1.0680538429921906,99.375459032572948,0.25964858199753393
www.careeronestop.org,www.careeronestop.org/toolkit/careers/interest-assessment-questions.aspx,"Interest Assessment Questions | CareerOneStop",96602,21235,18978,4.5491876618789737,145.76395012790204,0.022557099128796797
owcpmed.dol.gov,owcpmed.dol.gov/portal/provider/provider-login,"Provider Login | OFFICE OF WORKERS' COMPENSATION PROGRAMS",92536,105543,27299,0.87676113053447413,289.43331668705645,0.40837383815127482
www.osha.gov,www.osha.gov/laws-regs,"Law and Regulations | Occupational Safety and Health Administration",91140,74388,55381,1.2251976125181481,67.07167288629887,0.10224767435607894
www.careeronestop.org,www.careeronestop.org/ExploreCareers/explore-careers.aspx,"Explore Careers | CareerOneStop",88095,57425,46476,1.5340879407923378,76.753684151118861,0.07838049629952111
www.dol.gov,www.dol.gov/general/topic/benefits-leave/fmla,"Family and Medical Leave (FMLA) | U.S. Department of Labor",77593,72001,61339,1.0776655879779447,131.21652150846515,0.311162344967431
owcpmed.dol.gov,owcpmed.dol.gov/,"Medical Bill Processing Portal | Office of Workers' Compensation Programs",76351,72978,28305,1.0462194085888898,189.5844235069336,0.23948313190276521
www.dol.gov,www.dol.gov/agencies/whd/fmla/faq,"FMLA Frequently Asked Questions | U.S. Department of Labor",76067,80971,65097,0.93943510639611716,192.51910410938484,0.39122648849588126
flag.dol.gov,flag.dol.gov/case-status-search,"Case Status Search | Flag.dol.gov",75238,70887,34424,1.0613793784473882,149.56779326193802,0.32087688856913116
www.osha.gov,www.osha.gov/laws-regs/regulations/standardnumber/1910,"1910 | Occupational Safety and Health Administration",74922,54958,33548,1.36325921612868,138.63349153879327,0.13583099821682013
www.bls.gov,www.bls.gov/news.release/empsit.nr0.htm,Employment Situation Summary - 2023 M11 Results,71822,67545,56402,1.0633207491302095,86.957372950092548,0.29285661410911246
www.apprenticeship.gov,www.apprenticeship.gov/apprenticeship-job-finder,"Apprenticeship Finder | Apprenticeship.gov",70845,50867,42925,1.3927497198576679,126.25454427424458,0.1618534609864942
www.bls.gov,www.bls.gov/k12/games/geography-quiz/,K‐12 : Games ‐ Name that state! : U.S. Bureau of Labor Statistics,70113,42587,27678,1.6463474769295794,278.3270164987203,0.40564021884612678
flag.dol.gov,flag.dol.gov/dashboard/success,"New Application | Foreign Labor Application Gateway",65735,34909,10572,1.883038757913432,514.99686093047637,0.015869832994356757
www.bls.gov,www.bls.gov/schedule/news_release/cpi.htm,Schedule of Releases for the Consumer Price Index,65611,62132,47667,1.0559936908517351,97.203500046385116,0.39543230541427926
www.osha.gov,"www.osha.gov/silica-crystalline#googtrans(en|es)","Silica, Crystalline - Overview | Occupational Safety and Health Administration",65580,64766,65090,1.0125683228854645,6.5560539066022292,0.44026186579378068
www.dol.gov,www.dol.gov/agencies/whd/flsa,"Wages and the Fair Labor Standards Act | U.S. Department of Labor",64806,59025,47363,1.0979415501905971,135.91413947191867,0.24606522659889876
www.oalj.dol.gov,www.oalj.dol.gov/DMSSEARCH2/caseStatus2.jsp,DMS SEARCH,64390,32908,5711,1.9566670718366355,172.55105758329279,0.14607390300230946
www.dol.gov,www.dol.gov/agencies/whd/fact-sheets,"WHD Fact Sheets | U.S. Department of Labor",64296,48742,40444,1.3191087768249148,103.25535337372287,0.24311681917032538
www.oalj.dol.gov,www.oalj.dol.gov/DMSSEARCH2/SEARCHRESULTS.jsp,DMS SEARCH,64135,28724,5971,2.2328018381840971,144.7716676701713,0.15286868124216682
seasonaljobs.dol.gov,seasonaljobs.dol.gov/jobs?search=&location=&start_date=&job_type=all&sort=relevancy&radius=100&wage=all&facets=,"Find Jobs | SeasonalJobs.dol.gov",63133,38332,25744,1.6470051132213295,134.0732810930815,0.02308775957424606
www.bls.gov,www.bls.gov/schedule/2024/01_sched.htm,Schedule of Selected Releases for January 2024,62920,10486,7291,6.0003814609956132,225.37008846433338,0.19950410070570285
www.careeronestop.org,www.careeronestop.org/Toolkit/Wages/find-salary.aspx,"Salary Finder | CareerOneStop",62859,23709,18535,2.6512716689864608,243.51415539322619,0.19131975199291409
www.careeronestop.org,www.careeronestop.org/Toolkit/Training/find-local-training.aspx,Local Training Finder,62592,19645,15501,3.1861542377195216,210.33550568282004,0.1372359378976839
www.bls.gov,www.bls.gov/bls/exit_BLS.htm,Thanks for visiting us. You are now exiting the U.S. Bureau of Labor Statistics website : U.S. Bureau of Labor Statistics,61022,43710,37864,1.3960649736902311,108.88004113363074,0.084420041180507888
www.dol.gov,www.dol.gov/agencies/whd/contact/complaints,"How to File a Complaint | U.S. Department of Labor",60910,50909,42027,1.1964485650867234,120.70768112481095,0.32190771769235305
www.msha.gov,www.msha.gov/,"Homepage | Mine Safety and Health Administration (MSHA)",60545,49642,25323,1.2196325691954393,120.27649647685426,0.22652189678095161
www.dol.gov,www.dol.gov/agencies/ebsa/,"Employee Benefits Security Administration | U.S. Department of Labor",60468,57710,50695,1.0477906775255588,20.836307389031361,0.907035175879397
www.careeronestop.org,www.careeronestop.org/LocalHelp/UnemploymentBenefits/find-unemployment-benefits.aspx,"Unemployment Benefits Finder | CareerOneStop",59046,46615,35628,1.2666738174407379,133.16705279373593,0.2375201115520755
www.dol.gov,www.dol.gov/agencies/whd,"WHD | U.S. Department of Labor",57809,48767,41748,1.1854122664916849,85.086720821600665,0.15440769372731561
www.careeronestop.org,www.careeronestop.org/JobSearch/job-search.aspx,"Job Search | CareerOneStop",57040,42882,35054,1.3301618394664427,58.977600929457587,0.06429271022806772
www.bls.gov,www.bls.gov/ooh/healthcare/home.htm,Healthcare Occupations : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,56348,43568,36163,1.293334557473375,145.18368006484116,0.13551230260741828
www.careeronestop.org,www.careeronestop.org/Toolkit/Skills/skills-matcher-results.aspx,"Skills Matcher | Careers | CareerOneStop",55347,16074,12637,3.4432624113475176,222.38599037445564,0.13730247604827672
www.bls.gov,www.bls.gov/data/,"Databases, Tables & Calculators by Subject",54529,47088,37243,1.1580232755691471,71.211926340787457,0.30812521236833162
seasonaljobs.dol.gov,seasonaljobs.dol.gov/,"Homepage | SeasonalJobs.dol.gov",54308,39312,26713,1.3814611314611314,105.22637205993081,0.10747354497354497
www.oalj.dol.gov,www.oalj.dol.gov/OALJ_Case_Status.html,Office of Administrative Law Judges - U.S. Department of Labor - Case Status Lookups,54230,29836,6190,1.8176028958305404,72.098400979823026,0.052989676900388791
data.bls.gov,data.bls.gov/cgi-bin/surveymost,Top Picks (Most Requested Statistics) : U.S. Bureau of Labor Statistics,53628,34968,27737,1.53363074811256,63.294309787462822,0.11559139784946236
www.dol.gov,www.dol.gov/agencies/ofccp,"Office of Federal Contract Compliance Programs | U.S. Department of Labor",52873,47429,41698,1.114782095342512,69.912296563473831,0.54879925783803163
www.bls.gov,www.bls.gov/k12/students/careers/career-exploration.htm,K‐12 : Student Resources : U.S. Bureau of Labor Statistics,52638,26350,19818,1.9976470588235293,203.27948901187855,0.14212523719165085
www.careeronestop.org,www.careeronestop.org/Videos/CareerVideos/career-videos.aspx,"Career videos | Videos | CareerOneStop",52147,21975,15125,2.3730147895335607,225.0175453730148,0.17551763367463027
www.osha.gov,www.osha.gov/recordkeeping/forms,"Recordkeeping - Recordkeeping Forms | Occupational Safety and Health Administration",50799,44960,35585,1.1298709964412812,187.73843945716192,0.2618994661921708
www.careeronestop.org,www.careeronestop.org/Toolkit/Jobs/find-businesses-results.aspx,"Business Finder | CareerOneStop",49347,3266,1241,15.109308022045315,307.46085405756276,0.23974280465401102
www.careeronestop.org,www.careeronestop.org/Toolkit/Careers/interest-assessment.aspx,"Interest Assessment | CareerOneStop",49342,40937,35707,1.2053154847692795,58.835647731807413,0.094584361335710965
www.bls.gov,www.bls.gov/ooh/occupation-finder.htm,Occupation Finder : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,49231,38746,30356,1.2706085789500852,133.07967305662521,0.21700304547566202
seasonaljobs.dol.gov,seasonaljobs.dol.gov/es/jobs?search=&location=&start_date=&job_type=all&sort=relevancy&radius=100&wage=all&facets=,"Encontrar Trabajo | SeasonalJobs.dol.gov",48324,25785,18842,1.8741128563118092,143.31977129047897,0.03133604808997479
www.osha.gov,www.osha.gov/laws-regs/regulations/standardnumber/1926,"1926 | Occupational Safety and Health Administration",47203,32012,19949,1.4745407972010496,166.37129213544921,0.15044358365612895
www.govloans.gov,www.govloans.gov/,"Welcome to GovLoans.gov | GovLoans",46463,33567,30960,1.3841868501802366,40.59259318515209,0.1813686060714392
www.careeronestop.org,www.careeronestop.org/Toolkit/Training/find-certifications.aspx,"Certification Finder | CareerOneStop",46270,13094,10333,3.5336795478845273,233.08936686283795,0.17382007026118834
www.oalj.dol.gov,www.oalj.dol.gov/OALJ_DMS_Search.html,Office of Administrative Law Judges - U.S. Department of Labor - DMS Search,45946,25124,5837,1.8287693042509154,77.8881625290957,0.055046967043464415
www.osha.gov,www.osha.gov/injuryreporting,"Injury Tracking Application (ITA) | Occupational Safety and Health Administration",45743,39253,33309,1.1653376811963416,115.36789181779737,0.33347769597228238
www.dol.gov,www.dol.gov/general/topic/health-plans/cobra,"Continuation of Health Coverage (COBRA) | U.S. Department of Labor",44797,42372,36206,1.0572311904087606,116.0291755337015,0.34869725290286036
www.osha.gov,www.osha.gov/injuryreporting/ita,"Injury Tracking Application | Occupational Safety and Health Administration",44610,33571,20714,1.3288254743677579,124.07665229504632,0.2703821750915969
www.osha.gov,www.osha.gov/workers/file-complaint,"File a Complaint | Occupational Safety and Health Administration",44349,38009,31381,1.1668025993843563,107.55304721776422,0.24133757794206634
www.bls.gov,www.bls.gov/oes/,OES Home : U.S. Bureau of Labor Statistics,44077,35392,30726,1.2453944394213381,68.757624326853531,0.099400994575045212
www.osha.gov,www.osha.gov/ords/imis/accidentsearch.accident_detail,"Accident Report Detail | Occupational Safety and Health Administration osha.gov",44059,12270,9746,3.5907905460472698,215.23761614262429,0.21988590057049714
www.apprenticeship.gov,www.apprenticeship.gov/,"Homepage | Apprenticeship.gov",43476,37482,31719,1.1599167600448215,90.118415692652476,0.29056613841310497
www.msha.gov,www.msha.gov/data-and-reports/fatality-reports/search,"Fatality Reports | Mine Safety and Health Administration (MSHA)",42870,21150,10004,2.0269503546099292,186.28444427276597,0.14397163120567377
flag.dol.gov,flag.dol.gov/dashboard/application,"New Application | Foreign Labor Application Gateway",42537,26683,9405,1.5941610763407412,219.17538283506352,0.010381141550800135
data.bls.gov,data.bls.gov/pdq/SurveyOutputServlet,Formatting Options,42155,17529,12852,2.4048719265217637,44.25846298556678,0.012493582064008215
www.careeronestop.org,www.careeronestop.org/Toolkit/Training/find-scholarships-detail.aspx,"Scholarship Finder | CareerOneStop",41174,10016,7073,4.11082268370607,350.49868138708069,0.16673322683706071
www.bls.gov,www.bls.gov/charts/consumer-price-index/consumer-price-index-by-category.htm,"12-month percentage change, Consumer Price Index, selected categories",41003,30511,26551,1.3438759791550587,82.614576694667491,0.079872832748844685
www.bls.gov,www.bls.gov/cpi/data.htm,Consumer Price Index (CPI) Databases : U.S. Bureau of Labor Statistics,40900,31676,26263,1.2911983836342973,73.905792904722816,0.0948983457507261
www.dol.gov,www.dol.gov/general/forms,"Forms | U.S. Department of Labor",39847,30409,26724,1.3103686408629025,142.92856522194086,0.10582393370383768
www.bls.gov,www.bls.gov/ooh/fastest-growing.htm,Fastest Growing Occupations : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,39512,33187,28792,1.190586675505469,125.17525998933317,0.2060144032301805
www.bls.gov,www.bls.gov/ooh/healthcare/registered-nurses.htm,Registered Nurses : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,39272,36455,28680,1.0772733507063503,195.01518361744616,0.27749279934165411
data.bls.gov,data.bls.gov/cgi-bin/srgate,BLS Series Report : U.S. Bureau of Labor Statistics,38593,21789,15585,1.7712148331727018,71.567825233604111,0.055853871219422646
www.askebsa.dol.gov,www.askebsa.dol.gov/vfcpcalculator/webcalculator.aspx,VFCP Calculator,38141,4075,1829,9.3597546012269941,568.549839688589,0.31018404907975461
www.osha.gov,www.osha.gov/recordkeeping,"Recordkeeping - Overview | Occupational Safety and Health Administration",37373,30014,24296,1.2451855800626375,158.37225663820217,0.14803091890451123
www.dol.gov,www.dol.gov/agencies/whd/fact-sheets/17a-overtime,"Fact Sheet #17A: Exemption for Executive, Administrative, Professional, Computer & Outside Sales Employees Under the Fair Labor Standards Act (FLSA) | U.S. Department of Labor",37052,38796,26634,0.95504691205278891,200.75898596708421,0.37766780080420664
www.dol.gov,www.dol.gov/agencies/whd/wow,"Workers Owed Wages | U.S. Department of Labor",36823,30860,27631,1.1932274789371355,82.104779475340251,0.13606610499027869
www.careeronestop.org,www.careeronestop.org/LocalHelp/UnemploymentBenefits/unemployment-benefits.aspx,"Unemployment benefits | CareerOneStop",36442,30904,27929,1.1792001035464665,51.79422841211494,0.12279963758736732
www.dol.gov,www.dol.gov/agencies/eta,"ETA | U.S. Department of Labor",36051,29034,24495,1.2416821657367225,97.605278936109386,0.26486188606461392
www.osha.gov,www.osha.gov/aboutosha,"About OSHA | Occupational Safety and Health Administration",35546,32415,28364,1.0965910843745179,112.87159806956656,0.21850994909764
www.bls.gov,www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,Physicians and Surgeons : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,34526,27287,21307,1.2652911642906879,194.71021616154212,0.20093817568805658
www.bls.gov,www.bls.gov/charts/consumer-price-index/consumer-price-index-by-category-line-chart.htm,"12-month percentage change, Consumer Price Index, selected categories",34395,31366,23031,1.0965695338901995,150.74535007689855,0.31594720397883058
www.osha.gov,"www.osha.gov/warehousing/hazards-solutions#googtrans(en|es)","Warehousing - Hazards and Solutions | Occupational Safety and Health Administration",34213,34137,34472,1.0022263233441719,7.4818151027331048,0.07537276269150775
www.dol.gov,www.dol.gov/agencies/whd/workers,"Worker Rights | U.S. Department of Labor",34104,27451,25539,1.2423591126006339,81.299541833667263,0.078321372627590979
www.bls.gov,www.bls.gov/ooh/computer-and-information-technology/home.htm,Computer and Information Technology Occupations : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,33117,26250,20877,1.2616,139.07252428129524,0.15561904761904763
www.dol.gov,www.dol.gov/agencies/whd/fmla/final-rule/faq,"Frequently Asked Questions and Answers About the Revisions to the Family and Medical Leave Act | U.S. Department of Labor",32624,32925,28518,0.99085801063022017,152.12019255043282,0.38195899772209568
www.dol.gov,www.dol.gov/general/topics/posters,"Workplace Posters | U.S. Department of Labor",32437,21026,16989,1.5427090269190527,202.63980181113862,0.2200608770094169
www.dol.gov,www.dol.gov/agencies/whd/fact-sheets/28-fmla,"Fact Sheet #28: The Family and Medical Leave Act | U.S. Department of Labor",31995,32718,26491,0.97790207225380521,182.47936470921206,0.24344397579314139
www.osha.gov,www.osha.gov/data/sic-manual,"SIC Manual | Occupational Safety and Health Administration",31977,24131,14774,1.3251419336123658,142.68169900576024,0.22029754258008372
www.bls.gov,www.bls.gov/ooh/architecture-and-engineering/home.htm,Architecture and Engineering Occupations : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,31870,24298,20499,1.3116305868795786,128.43587303773973,0.1115729689686394
www.bls.gov,www.bls.gov/oes/current/oes_stru.htm,List of SOC Occupations,31829,29595,21536,1.0754857239398548,177.18307687697245,0.26132792701469842
data.bls.gov,data.bls.gov/cgi-bin/surveymost,Bureau of Labor Statistics Data,31725,23117,15929,1.3723666565730848,139.95381510122422,0.12410779945494657
data.bls.gov,data.bls.gov/cgi-bin/srgate,Formatting Options,31653,13217,9105,2.3948702428690325,33.042017827343571,0.011349020201255958
www.bls.gov,www.bls.gov/ooh/highest-paying.htm,Highest Paying Occupations : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,31543,25135,23154,1.2549433061468072,87.536175884503677,0.12218022677541276
www.careeronestop.org,www.careeronestop.org/toolkit/careers/interest-assessment.aspx,"Interest Assessment | CareerOneStop",31322,26190,21885,1.1959526536846123,92.2748284873234,0.08247422680412371
www.dol.gov,www.dol.gov/agencies/whd/forms,"Forms | U.S. Department of Labor",31272,19601,17097,1.5954288046528238,141.39685747609818,0.0927503698790878
www.bls.gov,www.bls.gov/ooh/business-and-financial/home.htm,Business and Financial Occupations : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,31164,23821,19852,1.3082574199235968,129.97134180403845,0.097938793501532256
www.careeronestop.org,www.careeronestop.org/ExploreCareers/Learn/career-clusters.aspx,"Career clusters | Explore Careers | CareerOneStop",31048,18126,13453,1.7128985986980028,128.20033625168267,0.10151164073706279
www.osha.gov,www.osha.gov/injuryreporting/ita/establishments,"Injury Tracking Application | Occupational Safety and Health Administration",30756,12705,9484,2.4207792207792207,113.77976795922865,0.012278630460448641
www.bls.gov,www.bls.gov/ppi/,Producer Price Index Home : U.S. Bureau of Labor Statistics,30616,24386,19583,1.2554744525547445,107.86744882621176,0.27122119248749282
www.dol.gov,www.dol.gov/agencies/whd/overtime,"Overtime Pay | U.S. Department of Labor",30396,25992,21889,1.1694367497691598,117.02798377031395,0.25607879347491536
www.careeronestop.org,www.careeronestop.org/JobSearch/FindJobs/find-jobs.aspx,"Find Jobs | CareerOneStop",30367,24934,17651,1.2178952434426886,50.625646379160976,0.078086147429213118
www.apprenticeship.gov,www.apprenticeship.gov/career-seekers,"Career Seekers | Apprenticeship.gov",30062,24850,23580,1.2097384305835011,62.903105815895366,0.10378269617706237
www.careeronestop.org,www.careeronestop.org/Toolkit/Careers/interest-assessment-questions.aspx#000000000000000000000000000000,"Interest Assessment Questions | CareerOneStop",29533,26023,24291,1.1348806824731967,83.8742339566153,0.018752641893709412
www.dol.gov,www.dol.gov/agencies/ebsa/laws-and-regulations/laws/cobra,"COBRA Continuation Coverage | U.S. Department of Labor",29465,28163,22158,1.0462308702908072,169.38221398270781,0.29272449668004119
www.bls.gov,www.bls.gov/charts/employment-situation/civilian-unemployment-rate.htm,Civilian unemployment rate,29344,26170,21243,1.1212839128773404,148.0668300078334,0.3018341612533435
seasonaljobs.dol.gov,seasonaljobs.dol.gov/jobs?search=,"Find Jobs | SeasonalJobs.dol.gov",29113,24383,8437,1.1939876143214534,282.42292626046833,0.38694992412746587
flag.dol.gov,flag.dol.gov/dashboard/cases,"Dashboard | Foreign Labor Application Gateway",29035,12347,6892,2.351583380578278,147.67617336308416,0.047541913015307365
www.osha.gov,www.osha.gov/injuryreporting/ita/home,"Injury Tracking Application | Occupational Safety and Health Administration",28248,19828,11656,1.4246520072624571,342.17586639610653,0.14338309461367763
www.dol.gov,www.dol.gov/general/contact,"Contact the Department of Labor | U.S. Department of Labor",28036,23532,21647,1.1913989461159273,72.96523085003399,0.18447220805711373
www.bls.gov,www.bls.gov/ooh/home.htm,Home : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,27833,17553,13876,1.5856548738107445,145.27992754338288,0.1872044664729676
www.dol.gov,www.dol.gov/newsroom/releases,"News Releases | U.S. Department of Labor",27687,16049,10769,1.7251542152159014,140.4876362668702,0.24045111844974765
www.bls.gov,www.bls.gov/ooh/a-z-index.htm,A-Z Index : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,27509,20500,16494,1.3419024390243903,154.649324153561,0.14507317073170731
www.dol.gov,www.dol.gov/general/topic/workhours/breaks,"Breaks and Meal Periods | U.S. Department of Labor",27132,25601,21566,1.0598023514706456,139.12660130436311,0.32709659778914885
www.osha.gov,www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1030,"1910.1030 - Bloodborne pathogens. | Occupational Safety and Health Administration",26874,25122,19904,1.069739670408407,173.43242223931216,0.40474484515564046
www.osha.gov,www.osha.gov/safety-management,"Safety Management - A safe workplace is sound business | Occupational Safety and Health Administration",26705,16430,12324,1.6253804017041997,452.31973844534389,0.26366402921485088
www.careeronestop.org,www.careeronestop.org/Toolkit/toolkit.aspx,"Toolkit | CareerOneStop",26664,18240,13977,1.4618421052631578,53.995311495723683,0.048958333333333333
www.bls.gov,www.bls.gov/schedule/2023/12_sched.htm,Schedule of Selected Releases for December 2023,26488,23089,16599,1.1472129585516913,72.325862145047424,0.17675083373034778
www.bls.gov,www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,Accountants and Auditors : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,26227,25104,20678,1.0447339069471,163.40528102123167,0.22347036328871894
www.osha.gov,www.osha.gov/publications/publication-products,"OSHA Publications By Search | Occupational Safety and Health Administration",26177,18697,16399,1.400064181419479,73.136313922554436,0.40771246724073379
www.bls.gov,www.bls.gov/respondents/mwr/electronic-data-interchange/appendix-d-usps-state-abbreviations-and-fips-codes.htm,Appendix D ‐ USPS State Abbreviations and FIPS Codes : U.S. Bureau of Labor Statistics,26015,27932,16314,0.93136903909494484,116.97289066568808,0.67463840756122007
