date,browser,visits
2024-01-04,Chrome,496326
2024-01-04,Safari,159690
2024-01-04,Edge,115364
2024-01-04,Firefox,18534
2024-01-04,Samsung Internet,5838
2024-01-04,Android Webview,3889
2024-01-04,Safari (in-app),2751
2024-01-04,Opera,1294
2024-01-04,Mozilla Compatible Agent,476
2024-01-04,Amazon Silk,391
2024-01-04,Internet Explorer,243
2024-01-04,(not set),164
2024-01-04,UC Browser,55
2024-01-04,Opera Mini,51
2024-01-04,Whale Browser,46
2024-01-04,YaBrowser,33
2024-01-04,Coc Coc,25
2024-01-04,Aloha Browser,9
2024-01-04,Mozilla,7
2024-01-04,Android Runtime,4
2024-01-04,DuckDuckGo Browser,4
2024-01-04,Seznam,3
2024-01-04,Meta Quest Browser,2
2024-01-04,SeaMonkey,2
2024-01-04,IE with Chrome Frame,1
2024-01-04,Iron,1
2024-01-04,Lynx,1
2024-01-04,NetFront,1
2024-01-04,PaleMoon,1
2024-01-04,Vivaldi,1
2024-01-04,Waterfox,1
2024-01-03,Chrome,379367
2024-01-03,Safari,145469
2024-01-03,Edge,99454
2024-01-03,Firefox,15622
2024-01-03,Samsung Internet,4611
2024-01-03,Android Webview,3792
2024-01-03,Safari (in-app),2685
2024-01-03,Opera,1142
2024-01-03,Amazon Silk,348
2024-01-03,Mozilla Compatible Agent,239
2024-01-03,Internet Explorer,210
2024-01-03,(not set),180
2024-01-03,Opera Mini,58
2024-01-03,Whale Browser,55
2024-01-03,UC Browser,52
2024-01-03,YaBrowser,45
2024-01-03,Coc Coc,24
2024-01-03,Aloha Browser,9
2024-01-03,Android Browser,5
2024-01-03,Android Runtime,4
2024-01-03,DuckDuckGo Browser,4
2024-01-03,Phoenix Browser,3
2024-01-03,Meta Quest Browser,2
2024-01-03,Mozilla,2
2024-01-03,Puffin,1
2024-01-03,Waterfox,1
2024-01-02,Chrome,326970
2024-01-02,Safari,123914
2024-01-02,Edge,85974
2024-01-02,Firefox,13340
2024-01-02,Samsung Internet,4295
2024-01-02,Android Webview,2769
2024-01-02,Safari (in-app),2447
2024-01-02,Opera,1111
2024-01-02,Amazon Silk,261
2024-01-02,Internet Explorer,203
2024-01-02,(not set),197
2024-01-02,Mozilla Compatible Agent,177
2024-01-02,Whale Browser,49
2024-01-02,UC Browser,41
2024-01-02,Opera Mini,40
2024-01-02,YaBrowser,37
2024-01-02,Coc Coc,27
2024-01-02,Aloha Browser,6
2024-01-02,DuckDuckGo Browser,6
2024-01-02,Android Browser,3
2024-01-02,Mozilla,3
2024-01-02,Phoenix Browser,3
2024-01-02,Meta Quest Browser,2
2024-01-02,SeaMonkey,2
2024-01-02,Android Runtime,1
2024-01-02,BlackBerry,1
2024-01-02,Netscape,1
2024-01-02,PaleMoon,1
2024-01-02,Waterfox,1
2024-01-01,Chrome,112767
2024-01-01,Safari,75043
2024-01-01,Edge,15542
2024-01-01,Firefox,8219
2024-01-01,Samsung Internet,2732
2024-01-01,Android Webview,2123
2024-01-01,Safari (in-app),1382
2024-01-01,Opera,665
2024-01-01,Amazon Silk,271
2024-01-01,Mozilla Compatible Agent,150
2024-01-01,(not set),103
2024-01-01,Internet Explorer,41
2024-01-01,UC Browser,40
2024-01-01,Opera Mini,37
2024-01-01,Coc Coc,25
2024-01-01,YaBrowser,21
2024-01-01,Whale Browser,20
2024-01-01,Aloha Browser,5
2024-01-01,Mozilla,5
2024-01-01,Android Browser,3
2024-01-01,Nintendo Browser,3
2024-01-01,Android Runtime,2
2024-01-01,Waterfox,2
2024-01-01,DuckDuckGo Browser,1
2024-01-01,Iron,1
2024-01-01,Meta Quest Browser,1
2024-01-01,Netscape,1
2024-01-01,Phoenix Browser,1
2024-01-01,SeaMonkey,1
2023-12-31,Chrome,95004
2023-12-31,Safari,63332
2023-12-31,Edge,10779
2023-12-31,Firefox,7589
2023-12-31,Android Webview,2194
2023-12-31,Samsung Internet,2150
2023-12-31,Safari (in-app),1425
2023-12-31,Opera,495
2023-12-31,Amazon Silk,240
2023-12-31,Mozilla Compatible Agent,136
2023-12-31,(not set),106
2023-12-31,Opera Mini,33
2023-12-31,UC Browser,32
2023-12-31,Internet Explorer,22
2023-12-31,YaBrowser,21
2023-12-31,Whale Browser,16
2023-12-31,Coc Coc,15
2023-12-31,Aloha Browser,14
2023-12-31,Nintendo Browser,7
2023-12-31,Android Runtime,5
2023-12-31,Mozilla,3
2023-12-31,Android Browser,2
2023-12-31,Meta Quest Browser,2
2023-12-31,Phoenix Browser,2
2023-12-31,SeaMonkey,2
2023-12-31,Maxthon,1
2023-12-31,PaleMoon,1
2023-12-31,Waterfox,1
2023-12-30,Chrome,93531
2023-12-30,Safari,68281
2023-12-30,Edge,12430
2023-12-30,Firefox,8390
2023-12-30,Android Webview,2384
2023-12-30,Samsung Internet,2344
2023-12-30,Safari (in-app),1575
2023-12-30,Opera,574
2023-12-30,Amazon Silk,211
