date,mobile_device,visits
2023-09-02,(not set),43365
2023-09-02,1,1
2023-09-02,1 Plus,2
2023-09-02,1.4,3
2023-09-02,100003562,2
2023-09-02,100005209,1
2023-09-02,100011885,4
2023-09-02,100011886,8
2023-09-02,100011886A,1
2023-09-02,100015685-A,1
2023-09-02,100026191,1
2023-09-02,100071481,3
2023-09-02,100071483,3
2023-09-02,100071485,2
2023-09-02,1610,2
2023-09-02,1611,1
2023-09-02,1716,1
2023-09-02,1723,2
2023-09-02,1724,5
2023-09-02,1726,1
2023-09-02,1727,1
2023-09-02,1801,3
2023-09-02,1803,3
2023-09-02,1804,1
2023-09-02,1806,1
2023-09-02,1807,1
2023-09-02,1808,2
2023-09-02,1811,5
2023-09-02,1814,1
2023-09-02,1816,1
2023-09-02,1818,2
2023-09-02,1819,3
2023-09-02,1820,8
2023-09-02,1901,6
2023-09-02,1902,3
2023-09-02,1904,6
2023-09-02,1906,16
2023-09-02,1907,4
2023-09-02,1907_19,1
2023-09-02,1908,2
2023-09-02,1909,1
2023-09-02,1915,6
2023-09-02,1916,1
2023-09-02,1920,4
2023-09-02,1921,1
2023-09-02,1935,5
2023-09-02,1938,9
2023-09-02,1951,1
2023-09-02,2.1,2
2023-09-02,2.3,2
2023-09-02,2.4,1
2023-09-02,2019,1
2023-09-02,21061119AG,2
2023-09-02,21061119BI,6
2023-09-02,21061119DG,1
2023-09-02,2107113SG,1
2023-09-02,2107113SI,1
2023-09-02,2107119DC,1
2023-09-02,21081111RG,3
2023-09-02,21091116AI,1
2023-09-02,21091116UG,4
2023-09-02,21091116UI,1
2023-09-02,2109119DG,1
2023-09-02,2109119DI,1
2023-09-02,211033MI,2
2023-09-02,21121119SG,3
2023-09-02,21121119TL,2
2023-09-02,21121210G,2
2023-09-02,22011119UY,1
2023-09-02,2201116PG,1
2023-09-02,2201116PI,1
2023-09-02,2201116SG,3
2023-09-02,2201116SI,1
2023-09-02,2201116TG,4
2023-09-02,2201117PG,3
2023-09-02,2201117SG,4
2023-09-02,2201117SL,2
2023-09-02,2201117TG,8
2023-09-02,2201117TI,2
2023-09-02,2201117TL,1
2023-09-02,2201117TY,1
2023-09-02,2201123G,1
2023-09-02,22021211RG,2
2023-09-02,22021211RI,2
2023-09-02,220233L2G,2
2023-09-02,220233L2I,3
2023-09-02,22031116BG,3
2023-09-02,2203121C,1
2023-09-02,2203129G,1
2023-09-02,220333QAG,4
2023-09-02,220333QBI,3
2023-09-02,220333QL,3
2023-09-02,220333QNY,8
2023-09-02,220333QPG,3
2023-09-02,22041219I,2
2023-09-02,2206122SC,1
2023-09-02,2206123SC,1
2023-09-02,220733SFG,1
2023-09-02,220733SG,7
2023-09-02,220733SI,3
2023-09-02,220733SL,2
2023-09-02,220733SPH,1
2023-09-02,220733SPI,1
2023-09-02,220743FI,3
2023-09-02,22081212UG,3
2023-09-02,22101316UG,1
2023-09-02,22101320I,1
2023-09-02,22111317I,1
2023-09-02,22111317IPG,1
2023-09-02,22120RN86G,2
2023-09-02,22120RN86I,2
2023-09-02,22127PC95I,1
2023-09-02,22127RK46C,5
2023-09-02,2212ARNC4L,1
2023-09-02,23021RAAEG,2
2023-09-02,23026RN54G,1
2023-09-02,23028RA60L,5
2023-09-02,23028RN4DI,1
2023-09-02,23028RNCAG,2
2023-09-02,3622A,1
2023-09-02,4188C,6
2023-09-02,4188L,2
2023-09-02,4188O,1
2023-09-02,4188R,4
2023-09-02,5002R,8
2023-09-02,5003D,1
2023-09-02,5004R,2
2023-09-02,5004S,3
2023-09-02,5005R,2
2023-09-02,5007S,5
2023-09-02,5007W,2
2023-09-02,5007Z,3
2023-09-02,5024A,1
2023-09-02,5028A,2
2023-09-02,5028D,1
2023-09-02,5033A,1
2023-09-02,5033E,1
2023-09-02,5033G,1
2023-09-02,5033M,2
2023-09-02,5033TR,1
2023-09-02,5033X_EEA,1
2023-09-02,5049S,3
2023-09-02,5059R,1
2023-09-02,5059Z,1
2023-09-02,5062Z,5
2023-09-02,5087Z,3
2023-09-02,6.2,3
2023-09-02,6062W,1
2023-09-02,6125F,1
2023-09-02,7 Plus,3
2023-09-02,8 V 5G UW,1
2023-09-02,800P32C,1
2023-09-02,8050,1
2023-09-02,8050G,1
2023-09-02,8094X,2
2023-09-02,8298-A01,1
2023-09-02,8330,1
2023-09-02,9000,1
2023-09-02,9013A,1
2023-09-02,9030,2
2023-09-02,9032W,1
2023-09-02,9032Z,9
