date,browser,visits
2024-01-04,Internet Explorer,243
2024-01-03,Internet Explorer,210
2024-01-02,Internet Explorer,203
2023-12-29,Internet Explorer,116
2023-12-28,Internet Explorer,118
2023-12-27,Internet Explorer,181
2023-12-26,Internet Explorer,132
2023-12-22,Internet Explorer,126
2023-12-21,Internet Explorer,414
2023-12-20,Internet Explorer,244
2023-12-19,Internet Explorer,251
2023-12-18,Internet Explorer,239
2023-12-15,Internet Explorer,411
2023-12-14,Internet Explorer,489
2023-12-13,Internet Explorer,227
2023-12-12,Internet Explorer,294
2023-12-11,Internet Explorer,300
2023-12-08,Internet Explorer,227
2023-12-07,Internet Explorer,322
2023-12-06,Internet Explorer,303
2023-12-05,Internet Explorer,300
2023-12-04,Internet Explorer,316
2023-12-03,Internet Explorer,117
2023-12-02,Internet Explorer,173
2023-12-01,Internet Explorer,395
2023-11-30,Internet Explorer,277
2023-11-29,Internet Explorer,273
2023-11-28,Internet Explorer,266
2023-11-27,Internet Explorer,271
2023-11-22,Internet Explorer,189
2023-11-21,Internet Explorer,285
2023-11-20,Internet Explorer,300
2023-11-17,Internet Explorer,295
2023-11-16,Internet Explorer,363
2023-11-15,Internet Explorer,391
2023-11-14,Internet Explorer,378
2023-11-13,Internet Explorer,367
2023-11-10,Internet Explorer,214
2023-11-09,Internet Explorer,333
2023-11-08,Internet Explorer,409
2023-11-07,Internet Explorer,344
2023-11-06,Internet Explorer,350
2023-11-03,Internet Explorer,298
2023-11-02,Internet Explorer,304
2023-11-01,Internet Explorer,310
2023-10-31,Internet Explorer,334
2023-10-30,Internet Explorer,347
2023-10-28,Internet Explorer,328
2023-10-27,Internet Explorer,329
2023-10-26,Internet Explorer,322
2023-10-25,Internet Explorer,403
2023-10-24,Internet Explorer,389
2023-10-23,Internet Explorer,381
2023-10-20,Internet Explorer,321
2023-10-19,Internet Explorer,376
2023-10-18,Internet Explorer,372
2023-10-17,Internet Explorer,400
2023-10-16,Internet Explorer,418
2023-10-13,Internet Explorer,351
2023-10-12,Internet Explorer,487
2023-10-11,Internet Explorer,406
2023-10-10,Internet Explorer,379
2023-10-09,Internet Explorer,311
