date,language,visits
2024-01-04,English,776058
2024-01-04,Spanish,14916
2024-01-04,Portuguese,3476
2024-01-04,Chinese,2481
2024-01-04,Japanese,1288
2024-01-04,Korean,1284
2024-01-04,French,1215
2024-01-04,German,833
2024-01-04,Vietnamese,729
2024-01-04,Turkish,588
2024-01-04,Russian,569
2024-01-04,Arabic,439
2024-01-04,Italian,422
2024-01-04,Indonesian,289
2024-01-04,Polish,237
2024-01-04,Dutch,226
2024-01-04,Thai,159
2024-01-04,Croatian,148
2024-01-04,Swedish,137
2024-01-04,Ukrainian,127
2024-01-04,Bosnian,122
2024-01-04,Czech,105
2024-01-04,Norwegian Bokmål,104
2024-01-04,Danish,97
2024-01-04,Hebrew,89
2024-01-04,Greek,87
2024-01-04,Hungarian,83
2024-01-04,Macedonian,80
2024-01-04,Romanian,78
2024-01-04,Finnish,61
2024-01-04,Persian,58
2024-01-04,Albanian,53
2024-01-04,Slovak,47
2024-01-04,Serbian,46
2024-01-04,Bulgarian,41
2024-01-04,(other),37
2024-01-04,Hindi,30
2024-01-04,Slovenian,26
2024-01-04,Panjabi,24
2024-01-04,Latvian,14
2024-01-04,Malay,12
2024-01-03,English,633390
2024-01-03,Spanish,15326
2024-01-03,Portuguese,3461
2024-01-03,Chinese,2336
2024-01-03,Korean,1568
2024-01-03,French,1248
2024-01-03,Japanese,1068
2024-01-03,German,902
2024-01-03,Vietnamese,674
2024-01-03,Russian,623
2024-01-03,Turkish,611
2024-01-03,Italian,498
2024-01-03,Arabic,446
2024-01-03,Indonesian,376
2024-01-03,Polish,295
2024-01-03,Dutch,237
2024-01-03,Thai,237
2024-01-03,Croatian,167
2024-01-03,Swedish,154
2024-01-03,Ukrainian,144
2024-01-03,Bosnian,129
2024-01-03,Hungarian,114
2024-01-03,Danish,103
2024-01-03,Czech,101
2024-01-03,Greek,100
2024-01-03,Macedonian,97
2024-01-03,Norwegian Bokmål,90
2024-01-03,Hebrew,85
2024-01-03,Romanian,84
2024-01-03,Persian,81
2024-01-03,Serbian,76
2024-01-03,Finnish,56
2024-01-03,(other),50
2024-01-03,Hindi,50
2024-01-03,Albanian,48
2024-01-03,Slovak,35
2024-01-03,Bulgarian,34
2024-01-03,Slovenian,28
2024-01-03,Latvian,24
2024-01-03,Catalan,22
2024-01-03,Uzbek,16
2024-01-03,Malay,13
2024-01-02,English,531515
2024-01-02,Spanish,13651
2024-01-02,Portuguese,3038
2024-01-02,Chinese,2153
2024-01-02,Korean,1152
2024-01-02,French,1020
2024-01-02,German,678
2024-01-02,Japanese,659
2024-01-02,Turkish,617
2024-01-02,Vietnamese,582
2024-01-02,Russian,509
2024-01-02,Arabic,440
2024-01-02,Italian,367
2024-01-02,Indonesian,252
2024-01-02,Polish,248
2024-01-02,Dutch,164
2024-01-02,Thai,130
2024-01-02,Croatian,121
2024-01-02,Greek,118
2024-01-02,Swedish,116
2024-01-02,Ukrainian,113
2024-01-02,Bosnian,111
2024-01-02,Czech,96
2024-01-02,Danish,86
2024-01-02,Hungarian,83
2024-01-02,Hebrew,79
2024-01-02,Macedonian,77
2024-01-02,Persian,74
2024-01-02,Norwegian Bokmål,65
2024-01-02,Romanian,64
2024-01-02,Finnish,46
2024-01-02,Albanian,41
2024-01-02,Serbian,33
2024-01-02,Bulgarian,29
2024-01-02,Hindi,29
2024-01-02,Slovak,27
2024-01-02,Uzbek,23
2024-01-02,Latvian,21
2024-01-02,(other),20
2024-01-02,Slovenian,19
2024-01-02,Catalan,16
2024-01-02,Malay,16
2024-01-01,English,205823
2024-01-01,Spanish,5912
2024-01-01,Portuguese,1261
2024-01-01,Chinese,1178
2024-01-01,Korean,620
2024-01-01,Japanese,544
2024-01-01,French,493
2024-01-01,Vietnamese,406
2024-01-01,Arabic,386
2024-01-01,Turkish,323
2024-01-01,Russian,313
2024-01-01,German,269
2024-01-01,Indonesian,213
2024-01-01,Italian,161
2024-01-01,Polish,151
2024-01-01,Hebrew,90
2024-01-01,Dutch,89
2024-01-01,Bosnian,79
2024-01-01,Persian,73
2024-01-01,Ukrainian,73
2024-01-01,Thai,72
2024-01-01,Croatian,68
2024-01-01,Hungarian,59
2024-01-01,Czech,57
2024-01-01,Greek,54
2024-01-01,Swedish,54
2024-01-01,Romanian,50
2024-01-01,Norwegian Bokmål,42
2024-01-01,Danish,40
2024-01-01,Macedonian,35
2024-01-01,Albanian,33
2024-01-01,Hindi,28
2024-01-01,Finnish,27
2024-01-01,Slovak,27
2024-01-01,Malay,14
2024-01-01,(other),13
2024-01-01,Serbian,13
2024-01-01,Latvian,12
2024-01-01,Catalan,11
2024-01-01,Slovenian,11
2023-12-31,English,174672
2023-12-31,Spanish,4413
2023-12-31,Portuguese,825
2023-12-31,Chinese,733
2023-12-31,Japanese,565
2023-12-31,French,528
2023-12-31,Arabic,443
2023-12-31,Korean,348
2023-12-31,Turkish,278
2023-12-31,German,264
2023-12-31,Vietnamese,254
2023-12-31,Russian,196
2023-12-31,Indonesian,189
2023-12-31,Italian,155
2023-12-31,Dutch,76
2023-12-31,Croatian,75
2023-12-31,Hebrew,69
2023-12-31,Persian,69
2023-12-31,Polish,62
2023-12-31,Bosnian,59
2023-12-31,Thai,54
2023-12-31,Greek,43
2023-12-31,Hungarian,38
2023-12-31,Czech,36
2023-12-31,Macedonian,36
2023-12-31,Ukrainian,36
2023-12-31,Swedish,34
2023-12-31,Albanian,31
2023-12-31,Romanian,31
2023-12-31,Danish,28
2023-12-31,Norwegian Bokmål,25
2023-12-31,Serbian,25
2023-12-31,(other),21
2023-12-31,Finnish,20
2023-12-31,Hindi,20
2023-12-31,Slovak,20
2023-12-31,Azerbaijani,12
2023-12-31,Uzbek,12
2023-12-31,Bulgarian,11
2023-12-30,English,179522
2023-12-30,Spanish,5555
2023-12-30,Portuguese,1063
2023-12-30,Chinese,872
2023-12-30,French,580
2023-12-30,Arabic,413
2023-12-30,Korean,332
2023-12-30,Vietnamese,327
2023-12-30,German,323
2023-12-30,Japanese,267
2023-12-30,Russian,255
2023-12-30,Turkish,245
2023-12-30,Italian,166
2023-12-30,Indonesian,165
2023-12-30,Polish,103
2023-12-30,Dutch,94
2023-12-30,Persian,83
2023-12-30,Croatian,81
2023-12-30,Bosnian,80
2023-12-30,Macedonian,62
2023-12-30,Swedish,62
2023-12-30,Ukrainian,61
2023-12-30,Romanian,55
2023-12-30,Thai,54
2023-12-30,Hungarian,52
2023-12-30,Greek,46
2023-12-30,Albanian,44
2023-12-30,Hebrew,34
2023-12-30,Czech,32
2023-12-30,Danish,32
2023-12-30,Finnish,29
2023-12-30,Hindi,29
2023-12-30,Slovak,28
2023-12-30,(other),24
2023-12-30,Norwegian Bokmål,22
2023-12-30,Serbian,19
2023-12-30,Azerbaijani,18
2023-12-30,Bulgarian,13
2023-12-30,Slovenian,11
2023-12-29,English,314692
2023-12-29,Spanish,8238
2023-12-29,Portuguese,1475
2023-12-29,Chinese,1247
2023-12-29,French,740
2023-12-29,Korean,503
2023-12-29,Turkish,406
2023-12-29,German,405
2023-12-29,Vietnamese,387
2023-12-29,Russian,375
2023-12-29,Arabic,360
2023-12-29,Japanese,325
2023-12-29,Italian,229
2023-12-29,Indonesian,218
2023-12-29,Polish,162
2023-12-29,Dutch,147
2023-12-29,Croatian,112
2023-12-29,Persian,102
2023-12-29,Bosnian,99
2023-12-29,Swedish,84
2023-12-29,Ukrainian,83
2023-12-29,Thai,76
2023-12-29,Romanian,66
2023-12-29,Macedonian,65
2023-12-29,Hungarian,62
2023-12-29,Hebrew,58
2023-12-29,Greek,57
2023-12-29,Albanian,51
2023-12-29,Danish,47
2023-12-29,Czech,44
2023-12-29,Hindi,37
2023-12-29,Serbian,29
2023-12-29,Slovak,27
2023-12-29,Finnish,26
2023-12-29,Norwegian Bokmål,24
2023-12-29,Bulgarian,23
2023-12-29,Malay,22
2023-12-29,Slovenian,21
2023-12-29,(other),20
2023-12-28,English,385749
2023-12-28,Spanish,9621
2023-12-28,Portuguese,1780
2023-12-28,Chinese,1720
2023-12-28,French,854
2023-12-28,Japanese,842
2023-12-28,Korean,765
2023-12-28,Turkish,590
2023-12-28,German,482
2023-12-28,Russian,452
2023-12-28,Vietnamese,444
