domain,page,page_title,pageviews
(other),(other),(other),225949
www.careeronestop.org,www.careeronestop.org/Toolkit/Jobs/find-jobs-results.aspx,"Job Finder | Jobs | CareerOneStop",151385
webapps.dol.gov,webapps.dol.gov/wow,Workers Owed Wages (WOW),125897
www.careeronestop.org,www.careeronestop.org/toolkit/training/find-scholarships.aspx,"Scholarship Finder | CareerOneStop",125521
flag.dol.gov,flag.dol.gov/processingtimes,"Processing Times | Flag.dol.gov",102163
flag.dol.gov,flag.dol.gov/dashboard/cases,"Submitted Cases | Foreign Labor Application Gateway",76490
www.dol.gov,www.dol.gov/,"Home | U.S. Department of Labor",73797
www.bls.gov,www.bls.gov/,U.S. Bureau of Labor Statistics,73172
www.bls.gov,www.bls.gov/ooh/,Home : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,70010
www.osha.gov,www.osha.gov/,"Home | Occupational Safety and Health Administration",64991
www.osha.gov,www.osha.gov/ords/imis/establishment.inspection_detail,"Inspection Detail | Occupational Safety and Health Administration osha.gov",59994
www.osha.gov,www.osha.gov/ords/imis/establishment.html,"Establishment Search | Occupational Safety and Health Administration osha.gov",56314
webapps.dol.gov,webapps.dol.gov/wow/,Workers Owed Wages (WOW),54885
flag.dol.gov,flag.dol.gov/,"Home | Flag.dol.gov",54204
www.careeronestop.org,www.careeronestop.org/Toolkit/Careers/interest-assessment-questions.aspx,"Interest Assessment Questions | CareerOneStop",53913
www.careeronestop.org,www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx,"Scholarship Finder | CareerOneStop",48684
www.dol.gov,www.dol.gov/agencies/whd/fmla/forms,"FMLA: Forms | U.S. Department of Labor",47250
www.careeronestop.org,www.careeronestop.org/Toolkit/Careers/interest-assessment-results.aspx,"Interest Assessment Results | CareerOneStop",47141
www.bls.gov,www.bls.gov/data/inflation_calculator.htm,CPI Inflation Calculator,43587
www.osha.gov,www.osha.gov/data/sic-search,"Standard Industrial Classification (SIC) System Search | Occupational Safety and Health Administration",43254
