date,device,visits
2024-01-04,mobile,21495633
2024-01-04,desktop,19064233
2024-01-04,(other),767281
2024-01-04,tablet,370446
2024-01-04,smart tv,49452
2024-01-03,mobile,24955260
2024-01-03,desktop,23073435
2024-01-03,tablet,632163
2024-01-03,smart tv,73124
2024-01-02,mobile,25701314
2024-01-02,desktop,21494041
2024-01-02,tablet,634379
2024-01-02,smart tv,75839
2024-01-01,mobile,17467781
2024-01-01,desktop,9208273
2024-01-01,tablet,489273
2024-01-01,smart tv,76062
2023-12-31,mobile,14866593
2023-12-31,desktop,7309435
2023-12-31,tablet,414463
2023-12-31,smart tv,68797
2023-12-30,mobile,19676258
2023-12-30,desktop,7993620
2023-12-30,tablet,490641
2023-12-30,smart tv,69137
2023-12-29,mobile,22354875
2023-12-29,desktop,13180889
2023-12-29,tablet,530567
2023-12-29,smart tv,74973
2023-12-28,mobile,23476279
2023-12-28,desktop,15854696
2023-12-28,tablet,565936
2023-12-28,smart tv,71879
2023-12-27,mobile,22673513
2023-12-27,desktop,15307567
2023-12-27,tablet,574094
2023-12-27,smart tv,72565
2023-12-26,mobile,22576311
2023-12-26,desktop,13013586
2023-12-26,tablet,526752
2023-12-26,smart tv,70241
2023-12-25,mobile,13681896
2023-12-25,desktop,5775002
2023-12-25,tablet,367039
2023-12-25,smart tv,70397
2023-12-24,mobile,15098826
2023-12-24,desktop,5841298
2023-12-24,tablet,376496
2023-12-24,smart tv,67006
2023-12-23,mobile,20652670
2023-12-23,desktop,7705649
2023-12-23,tablet,487815
2023-12-23,smart tv,66697
2023-12-22,mobile,25228171
2023-12-22,desktop,14161725
2023-12-22,tablet,557141
2023-12-22,smart tv,68730
2023-12-21,mobile,26714407
2023-12-21,desktop,17708097
2023-12-21,tablet,581509
2023-12-21,smart tv,67720
2023-12-20,mobile,26696213
2023-12-20,desktop,18913832
2023-12-20,tablet,608275
2023-12-20,smart tv,67584
2023-12-19,mobile,27866565
2023-12-19,desktop,19772388
2023-12-19,tablet,612675
2023-12-19,smart tv,65622
2023-12-18,mobile,28111395
2023-12-18,desktop,20499871
2023-12-18,tablet,661489
2023-12-18,smart tv,68902
2023-12-17,mobile,20069000
2023-12-17,desktop,8936311
2023-12-17,tablet,540300
2023-12-17,smart tv,69084
2023-12-16,mobile,22498658
2023-12-16,desktop,8994050
2023-12-16,tablet,564360
2023-12-16,smart tv,70560
2023-12-15,mobile,25772444
2023-12-15,desktop,17904751
2023-12-15,tablet,607378
2023-12-15,smart tv,79638
2023-12-14,mobile,27080259
2023-12-14,desktop,20223859
2023-12-14,tablet,621116
2023-12-14,smart tv,76132
2023-12-13,mobile,26086576
2023-12-13,desktop,21108564
2023-12-13,tablet,636030
2023-12-13,smart tv,74956
2023-12-12,mobile,25480724
2023-12-12,desktop,21803669
2023-12-12,tablet,624291
2023-12-12,smart tv,74021
2023-12-11,mobile,27285846
2023-12-11,desktop,22165556
2023-12-11,tablet,675647
2023-12-11,smart tv,77437
2023-12-10,mobile,19324229
2023-12-10,desktop,10090521
2023-12-10,tablet,536557
2023-12-10,smart tv,71872
2023-12-09,mobile,22494369
2023-12-09,desktop,9217992
2023-12-09,tablet,559654
2023-12-09,smart tv,70526
2023-12-08,mobile,26132198
2023-12-08,desktop,18273849
2023-12-08,tablet,607810
2023-12-08,smart tv,67099
2023-12-07,mobile,27801651
2023-12-07,desktop,22101050
2023-12-07,tablet,665268
2023-12-07,smart tv,74942
2023-12-06,mobile,27484484
2023-12-06,desktop,22746191
2023-12-06,tablet,665843
2023-12-06,smart tv,77259
2023-12-05,mobile,28453991
2023-12-05,desktop,23221235
2023-12-05,tablet,671087
2023-12-05,smart tv,74577
2023-12-04,mobile,28668260
2023-12-04,desktop,24271008
2023-12-04,tablet,709794
2023-12-04,smart tv,65646
2023-12-03,mobile,20219424
2023-12-03,desktop,10869237
2023-12-03,tablet,568254
2023-12-03,smart tv,56320
2023-12-02,mobile,23482946
2023-12-02,desktop,10154474
2023-12-02,tablet,591639
2023-12-02,smart tv,56953
2023-12-01,mobile,27574360
2023-12-01,desktop,20016781
2023-12-01,tablet,652072
2023-12-01,smart tv,62095
2023-11-30,mobile,27756464
2023-11-30,desktop,23609551
2023-11-30,tablet,682928
2023-11-30,smart tv,68852
2023-11-29,mobile,26925093
2023-11-29,desktop,22637958
2023-11-29,tablet,686483
2023-11-29,smart tv,72675
2023-11-28,mobile,25109455
2023-11-28,desktop,23139173
2023-11-28,tablet,665976
2023-11-28,smart tv,71799
2023-11-27,mobile,24913467
2023-11-27,desktop,23476301
2023-11-27,tablet,644171
2023-11-27,smart tv,71857
2023-11-26,mobile,17887921
2023-11-26,desktop,9856775
2023-11-26,tablet,508318
2023-11-26,smart tv,69332
2023-11-25,mobile,19245054
2023-11-25,desktop,8576002
2023-11-25,tablet,513176
2023-11-25,smart tv,70397
2023-11-24,mobile,20218244
2023-11-24,desktop,10657009
2023-11-24,tablet,552324
2023-11-24,smart tv,72388
2023-11-23,mobile,15638735
2023-11-23,desktop,8076887
2023-11-23,tablet,417395
2023-11-23,smart tv,73361
2023-11-22,mobile,22070189
2023-11-22,desktop,15804408
2023-11-22,tablet,572446
2023-11-22,smart tv,65371
2023-11-21,mobile,24215464
2023-11-21,desktop,20469654
2023-11-21,tablet,640267
2023-11-21,smart tv,68101
2023-11-20,mobile,25557035
2023-11-20,desktop,20640758
2023-11-20,tablet,660350
2023-11-20,smart tv,66854
2023-11-19,mobile,16526092
2023-11-19,desktop,9437026
2023-11-19,tablet,487386
2023-11-19,smart tv,65516
2023-11-18,mobile,19138148
2023-11-18,desktop,9013774
2023-11-18,tablet,527697
2023-11-18,smart tv,64017
2023-11-17,mobile,22537304
2023-11-17,desktop,18176944
2023-11-17,tablet,579174
2023-11-17,smart tv,66644
2023-11-16,mobile,23839984
2023-11-16,desktop,21309215
2023-11-16,tablet,638610
2023-11-16,smart tv,66982
2023-11-15,mobile,24110873
2023-11-15,desktop,21714170
2023-11-15,tablet,631881
2023-11-15,smart tv,67485
2023-11-14,mobile,22546127
2023-11-14,desktop,22063004
2023-11-14,tablet,602420
2023-11-14,smart tv,64628
2023-11-13,mobile,25827946
2023-11-13,desktop,22475441
2023-11-13,tablet,624570
2023-11-13,smart tv,64046
2023-11-12,mobile,16920204
2023-11-12,desktop,9517351
2023-11-12,tablet,473126
2023-11-12,smart tv,59633
2023-11-11,mobile,17330434
2023-11-11,desktop,8650329
2023-11-11,tablet,477560
2023-11-11,smart tv,59750
2023-11-10,mobile,21140503
2023-11-10,desktop,15615976
2023-11-10,tablet,581084
2023-11-10,smart tv,65022
2023-11-09,mobile,23129202
2023-11-09,desktop,21018044
2023-11-09,tablet,615239
2023-11-09,smart tv,64065
2023-11-08,mobile,22988607
2023-11-08,desktop,22306046
2023-11-08,tablet,616996
2023-11-08,smart tv,65721
2023-11-07,mobile,23011724
2023-11-07,desktop,22383110
2023-11-07,tablet,616356
2023-11-07,smart tv,69286
2023-11-06,mobile,23842344
2023-11-06,desktop,23113247
2023-11-06,tablet,620083
2023-11-06,smart tv,67705
2023-11-05,mobile,16212651
