date,language,visits
2023-12-12,English,44243989
2023-12-12,Spanish,2489925
2023-12-12,Chinese,367058
2023-12-12,French,201328
2023-12-12,German,133769
2023-12-12,Russian,120130
2023-12-12,Portuguese,113597
2023-12-12,Japanese,106760
2023-12-12,Korean,80364
2023-12-12,Italian,56285
2023-12-12,Turkish,54930
2023-12-12,Arabic,42222
2023-12-12,Dutch,36463
2023-12-12,Vietnamese,31923
2023-12-12,Polish,27497
2023-12-12,Swedish,23877
2023-12-12,Indonesian,23617
2023-12-12,Ukrainian,17581
2023-12-12,Danish,14132
2023-12-12,Norwegian Bokmål,13648
2023-12-12,Thai,12009
2023-12-12,Greek,11881
2023-12-12,Hebrew,10673
2023-12-12,Czech,10501
2023-12-12,Finnish,9021
2023-12-12,Hungarian,8824
2023-12-12,Romanian,7761
2023-12-12,Catalan,7583
2023-12-12,(other),7003
2023-12-12,Persian,5933
2023-12-12,Slovak,5450
2023-12-12,Croatian,4323
2023-12-12,Hindi,3380
2023-12-12,Bulgarian,2869
2023-12-12,Serbian,2627
2023-12-12,Slovenian,2355
2023-12-12,Lithuanian,1914
2023-12-12,Georgian,1371
2023-12-12,Estonian,1140
2023-12-12,Latvian,1131
2023-12-12,Uzbek,938
2023-12-12,Azerbaijani,874
2023-12-12,Bosnian,741
2023-12-12,Malay,698
2023-12-12,Bengali,651
2023-12-12,Central Khmer,620
2023-12-12,Albanian,609
2023-12-12,Marathi,403
2023-12-12,Panjabi,390
2023-12-12,Afrikaans,380
2023-12-12,Icelandic,365
2023-12-12,Gujarati,358
2023-12-12,Macedonian,356
2023-12-12,Tamil,348
2023-12-12,Amharic,338
2023-12-12,Burmese,325
2023-12-12,Basque,288
2023-12-12,Galician,254
2023-12-12,Telugu,240
2023-12-12,Malayalam,192
2023-12-12,Mongolian,175
2023-12-12,Armenian,172
2023-12-12,Urdu,165
2023-12-12,Corsican,156
2023-12-12,Irish,148
2023-12-12,Kannada,135
2023-12-12,Welsh,127
2023-12-12,Norwegian,121
2023-12-12,Belarusian,117
2023-12-12,Swahili,115
2023-12-12,Nepali,108
2023-12-12,Somali,106
2023-12-12,Samoan,102
2023-12-12,Tonga,99
2023-12-12,Lao,85
2023-12-12,Tagalog,72
2023-12-12,Kazakh,65
2023-12-12,Tigrinya,60
2023-12-12,Sinhala,59
2023-12-12,Gaelic,57
2023-12-12,Igbo,57
2023-12-12,Tibetan,53
2023-12-12,Norwegian Nynorsk,50
2023-12-12,Pushto,49
2023-12-12,Esperanto,47
2023-12-12,Yoruba,44
2023-12-12,Akan,43
2023-12-12,Maori,42
2023-12-12,Shona,38
2023-12-12,Latin,36
2023-12-12,Haitian,35
2023-12-12,Luxembourgish,34
2023-12-12,Oriya,33
2023-12-12,Oromo,33
2023-12-12,Assamese,24
2023-12-12,Ido,22
2023-12-12,Ganda,21
2023-12-12,Kirghiz,20
2023-12-12,Aragonese,19
2023-12-12,Kashmiri,18
2023-12-12,Maltese,17
2023-12-12,Faroese,16
2023-12-12,Yiddish,15
2023-12-12,Divehi,12
2023-12-12,Kinyarwanda,11
2023-12-12,Wolof,11
2023-12-12,Interlingua,10
2023-12-12,Manx,10
2023-12-12,Twi,10
2023-12-12,Zulu,10
2023-12-12,Sanskrit,9
2023-12-12,Northern Sami,8
2023-12-12,Breton,7
2023-12-12,Ewe,7
2023-12-12,Uighur,7
2023-12-12,Xhosa,7
2023-12-12,Chichewa,6
2023-12-12,Kurdish,6
2023-12-12,Sindhi,6
2023-12-12,Tajik,6
2023-12-12,Venda,6
2023-12-12,Western Frisian,6
2023-12-12,Rundi,5
2023-12-12,Dzongkha,4
2023-12-12,Hausa,4
2023-12-12,Javanese,4
2023-12-12,Serbo-Croatian,4
2023-12-12,Tatar,4
2023-12-12,Inuktitut,3
2023-12-12,Kalaallisut,3
2023-12-12,Quechua,3
2023-12-12,Romansh,3
2023-12-12,Sardinian,3
2023-12-12,Tswana,3
2023-12-12,Bambara,2
2023-12-12,Fulah,2
2023-12-12,Kikuyu,2
2023-12-12,Lingala,2
2023-12-12,North Ndebele,2
2023-12-12,Sichuan Yi,2
2023-12-12,Southern Sotho,2
2023-12-12,Turkmen,2
2023-12-12,Walloon,2
