date,screen_resolution,visits
2024-01-04,(other),40710992
2024-01-04,1360x1020,179019
2024-01-04,1280x960,92697
2024-01-04,800x600,87079
2024-01-04,1920x1080,59604
2024-01-04,1280x720,23423
2024-01-04,390x844,18732
2024-01-04,1366x768,12608
2024-01-04,1440x900,12426
2024-01-04,1280x1024,10961
2024-01-04,1536x864,8755
2024-01-04,1024x768,7939
2024-01-04,428x926,6263
2024-01-04,640x480,5413
2024-01-04,1728x1117,5108
2024-01-04,430x932,4998
2024-01-04,414x896,4509
2024-01-04,1600x900,3505
2024-01-04,393x852,3315
2024-01-04,375x812,2809
2024-01-04,412x915,2708
2024-01-04,2560x1440,2597
2024-01-04,360x800,1981
2024-01-04,1920x1200,1867
2024-01-04,1280x800,1715
2024-01-04,1680x1050,1635
2024-01-04,375x667,1576
2024-01-04,360x780,1475
2024-01-04,810x1080,1202
2024-01-03,1920x1080,7249646
2024-01-03,390x844,5141012
2024-01-03,428x926,2669376
2024-01-03,430x932,2370052
2024-01-03,414x896,2248257
2024-01-03,1536x864,2076974
2024-01-03,1440x900,2074397
2024-01-03,393x852,1817084
2024-01-03,1366x768,1770073
2024-01-03,375x812,1616799
2024-01-03,1280x720,1504127
2024-01-03,412x915,1111983
2024-01-03,375x667,880103
2024-01-03,360x800,832037
2024-01-03,360x780,627971
2024-01-03,2560x1440,614229
2024-01-03,1600x900,510411
2024-01-03,412x892,426826
2024-01-03,800x600,421181
2024-01-03,1280x800,418320
2024-01-03,1680x1050,407786
2024-01-03,810x1080,394775
2024-01-03,1280x960,388533
2024-01-03,1920x1200,375097
2024-01-03,320x693,361046
2024-01-03,384x824,354249
2024-01-03,1280x1024,330678
2024-01-03,385x854,324046
2024-01-03,384x854,323660
2024-01-03,768x1024,307664
2024-01-03,412x883,285791
2024-01-03,384x832,276719
2024-01-03,384x857,269574
2024-01-03,393x873,231662
2024-01-03,820x1180,229267
2024-01-03,412x869,224798
2024-01-03,414x736,223630
2024-01-03,1470x956,222357
2024-01-03,1024x1366,198387
2024-01-03,1360x1020,191064
2024-01-03,1512x982,178598
2024-01-03,3440x1440,177196
2024-01-03,1024x768,173900
2024-01-03,1536x960,163422
2024-01-03,2048x1152,155596
2024-01-03,360x760,151851
2024-01-03,432x960,143573
2024-01-03,320x568,143247
2024-01-03,834x1194,140513
2024-01-03,320x712,131553
2024-01-03,1728x1117,131439
2024-01-03,412x846,125086
2024-01-03,360x740,121243
2024-01-03,393x851,110976
2024-01-03,360x772,109286
2024-01-03,360x640,99334
2024-01-03,2560x1080,98908
2024-01-03,1792x1120,97447
2024-01-03,834x1112,93021
2024-01-03,2240x1260,84123
2024-01-03,360x880,80207
2024-01-03,432x984,77530
2024-01-03,1368x912,76212
2024-01-03,360x720,74219
2024-01-03,320x694,70501
2024-01-03,385x824,66568
2024-01-03,1504x1003,62303
2024-01-03,360x820,57852
2024-01-03,360x806,57338
2024-01-03,1710x1107,55570
2024-01-03,1360x768,54177
2024-01-03,339x753,53463
2024-01-03,1517x852,51654
2024-01-03,1707x1067,49881
2024-01-03,800x1280,49500
2024-01-03,345x883,47321
2024-01-03,412x938,44898
2024-01-03,1707x960,41627
2024-01-03,1300x730,40252
2024-01-03,320x640,40183
2024-01-03,1440x960,38834
2024-01-03,448x998,34896
2024-01-03,1536x1024,33919
2024-01-03,377x837,33757
2024-01-03,360x804,33592
2024-01-03,339x735,32207
2024-01-03,360x803,30991
2024-01-03,1080x1920,29840
2024-01-03,347x772,29740
2024-01-03,744x1133,28451
2024-01-03,376x835,27963
2024-01-03,601x962,27561
2024-01-03,320x687,27248
2024-01-03,3840x2160,26509
2024-01-03,388x861,25458
2024-01-03,412x1006,24356
2024-01-03,320x676,24304
2024-01-03,424x942,23930
2024-01-03,320x658,22851
2024-01-03,691x829,22742
2024-01-03,412x877,22420
2024-01-03,412x823,22182
2024-01-03,3840x1600,21965
2024-01-03,2752x1152,21449
2024-01-03,1344x840,20331
2024-01-03,1500x1000,19762
2024-01-03,1098x618,19711
2024-01-03,360x825,19302
2024-01-03,393x876,18965
2024-01-03,412x918,18819
2024-01-03,5120x1440,18673
2024-01-03,412x732,18657
2024-01-03,3840x1080,18427
2024-01-03,339x727,18052
2024-01-03,1241x697,18020
2024-01-03,1664x1110,17505
2024-01-03,1093x615,17434
2024-01-03,534x854,17431
2024-01-03,1536x865,17232
2024-01-03,352x781,16788
2024-01-03,320x872,16769
2024-01-03,1600x1200,16552
2024-01-03,2195x1235,16515
2024-01-03,640x480,14965
2024-01-03,1600x1600,14666
2024-01-03,388x883,13687
2024-01-03,320x714,13570
2024-01-03,346x768,13252
2024-01-03,1746x982,12991
2024-01-03,320x569,12882
2024-01-03,1494x934,12842
2024-01-03,1187x667,12825
2024-01-03,485x1076,12499
2024-01-03,486x1079,12498
2024-01-03,1024x2160,12336
2024-01-03,360x796,12298
2024-01-03,1280x854,11987
2024-01-03,1152x720,11898
2024-01-03,352x800,11886
2024-01-03,320x729,11785
2024-01-03,800x1334,11530
2024-01-03,674x842,11157
2024-01-03,384x811,11128
2024-01-03,2560x1600,10934
2024-01-03,1800x1169,10927
2024-01-03,962x601,10342
2024-01-03,3072x1728,10267
2024-01-03,601x1007,10185
2024-01-03,915x412,10092
2024-01-03,412x960,10091
2024-01-03,1024x640,10027
2024-01-03,2294x960,10020
2024-01-03,360x771,9813
2024-01-03,1280x768,9770
2024-01-03,339x756,9587
2024-01-03,1334x800,9394
2024-01-03,1280x832,9244
2024-01-03,1024x1024,9117
2024-01-03,1496x967,8794
2024-01-03,361x722,8692
2024-01-03,3008x1692,8631
2024-01-03,393x786,8595
2024-01-03,1280x721,8482
2024-01-03,339x716,8181
2024-01-03,393x895,8156
2024-01-03,2560x1441,8051
2024-01-03,1685x948,8049
2024-01-03,1205x753,7649
2024-01-03,1600x1067,7482
2024-01-03,1220x1280,7283
2024-01-03,1710x1112,7181
2024-01-03,424x918,7081
2024-01-03,1352x878,7075
2024-01-03,320x783,7029
2024-01-03,509x1130,6936
2024-01-03,1440x810,6898
2024-01-03,1397x786,6864
2024-01-03,376x814,6845
2024-01-03,1463x823,6803
2024-01-03,1229x692,6780
2024-01-03,2048x1153,6758
2024-01-03,485x1049,6669
2024-01-03,800x360,6667
2024-01-03,393x830,6655
2024-01-03,1200x800,6649
2024-01-03,753x1205,6630
2024-01-03,393x808,6586
2024-01-03,1715x965,6557
2024-01-03,396x880,6473
2024-01-03,1396x785,6277
2024-01-03,1739x979,6260
2024-01-03,1024x820,6207
2024-01-03,1372x772,6151
2024-01-03,1620x1080,6134
2024-01-03,320x570,6060
2024-01-03,377x816,5933
2024-01-03,1366x912,5873
2024-01-03,2056x1329,5873
2024-01-03,2048x1280,5755
2024-01-03,712x1138,5752
2024-01-03,1477x831,5687
2024-01-03,600x1024,5609
2024-01-03,1829x1029,5452
2024-01-03,1067x600,5402
2024-01-03,385x769,5395
2024-01-03,1600x3000,5367
2024-01-03,385x833,5303
2024-01-03,486x1052,5283
2024-01-03,1440x932,5263
2024-01-03,412x919,5218
2024-01-03,1383x864,5127
2024-01-03,1138x639,5059
2024-01-03,1423x800,4920
2024-01-03,1760x990,4904
2024-01-03,780x360,4859
2024-01-03,339x829,4796
2024-01-03,1281x720,4740
2024-01-03,384x939,4719
2024-01-03,1024x576,4708
2024-01-03,360x756,4683
2024-01-03,1537x864,4647
2024-01-03,1463x915,4623
2024-01-03,1280x2160,4611
2024-01-03,1680x945,4495
2024-01-03,2000x2000,4474
2024-01-03,1138x712,4443
2024-01-03,960x540,4398
2024-01-03,2048x1080,4359
2024-01-03,1200x1920,4305
2024-01-03,1300x731,4201
2024-01-03,339x697,4195
2024-01-03,414x920,4193
2024-01-03,385x811,4144
2024-01-03,1676x943,4137
2024-01-03,1408x792,4136
2024-01-03,1098x686,4019
2024-01-03,600x960,4017
2024-01-03,1120x700,4006
2024-01-03,1152x864,3977
2024-01-03,1642x924,3967
2024-01-03,960x600,3941
2024-01-03,1616x909,3889
2024-01-03,1376x774,3886
2024-01-03,1220x686,3885
2024-01-03,1476x830,3801
2024-01-03,1730x973,3798
2024-01-03,1164x655,3787
2024-01-03,1200x750,3782
2024-01-03,1440x2560,3779
2024-01-03,412x812,3774
2024-01-03,509x1158,3771
2024-01-03,1318x825,3760
2024-01-03,350x699,3688
2024-01-03,1700x956,3680
2024-01-03,1348x758,3660
2024-01-03,1670x940,3644
2024-01-03,384x790,3605
2024-01-03,2048x864,3567
2024-01-03,360x757,3552
2024-01-03,1812x1019,3493
2024-01-03,1410x940,3441
2024-01-03,360x770,3422
2024-01-03,1517x853,3404
2024-01-03,1762x991,3388
2024-01-03,1138x640,3379
2024-01-03,582x931,3363
2024-01-03,378x840,3351
2024-01-03,1795x1010,3321
2024-01-03,1312x848,3311
2024-01-03,407x904,3306
2024-01-03,1290x860,3283
2024-01-03,1024x600,3272
2024-01-03,1614x908,3266
2024-01-03,2561x1440,3254
2024-01-03,686x1098,3217
2024-01-03,892x412,3200
2024-01-03,375x833,3166
2024-01-03,385x860,3162
2024-01-03,1524x858,3157
2024-01-03,377x858,3150
2024-01-03,353x765,3126
2024-01-03,393x875,3118
2024-01-03,640x1024,3096
2024-01-03,1440x1080,3079
2024-01-03,1708x960,3072
2024-01-03,2144x1206,3063
2024-01-03,1600x1000,3057
2024-01-03,1200x675,3053
2024-01-03,350x738,3044
2024-01-03,412x797,2996
2024-01-03,3072x1280,2994
2024-01-03,1455x819,2971
2024-01-03,1549x871,2969
2024-01-03,1092x613,2955
2024-01-03,346x692,2949
2024-01-03,3200x1800,2902
2024-01-03,1628x916,2898
2024-01-03,412x922,2896
2024-01-03,1241x698,2891
2024-01-03,432x864,2891
2024-01-03,376x800,2867
2024-01-03,2880x1620,2843
2024-01-03,402x1030,2839
2024-01-03,1603x902,2828
2024-01-03,1600x2000,2782
2024-01-03,825x1318,2756
2024-01-03,3360x1890,2748
2024-01-03,1756x1098,2732
2024-01-03,355x793,2726
2024-01-03,854x385,2721
2024-01-03,1778x1000,2720
2024-01-03,360x792,2706
2024-01-03,4096x1152,2705
2024-01-03,1847x1039,2657
2024-01-03,1128x752,2655
2024-01-03,590x736,2642
2024-01-03,1745x981,2625
2024-01-03,432x964,2620
2024-01-03,1574x886,2590
2024-01-03,1587x893,2575
2024-01-03,378x811,2561
2024-01-03,418x976,2493
2024-01-03,1280x828,2474
2024-01-03,1561x879,2429
2024-01-03,384x768,2424
2024-01-03,857x384,2416
2024-01-03,824x384,2407
2024-01-03,1728x972,2400
2024-01-03,1489x838,2395
2024-01-03,346x749,2353
2024-01-03,1007x601,2341
2024-01-03,360x748,2330
2024-01-03,686x1143,2311
2024-01-03,598x718,2310
2024-01-03,854x384,2309
2024-01-03,1216x684,2262
2024-01-03,1500x844,2253
2024-01-03,424x848,2245
2024-01-03,1181x664,2231
2024-01-03,2400x1350,2222
2024-01-03,1400x1050,2206
2024-01-03,1152x648,2198
2024-01-03,1418x798,2190
2024-01-03,1239x697,2181
2024-01-03,1450x816,2180
2024-01-03,1336x752,2166
2024-01-03,424x946,2160
2024-01-03,1669x938,2158
2024-01-03,1050x1680,2145
2024-01-03,320x820,2141
2024-01-03,854x534,2141
2024-01-03,1182x665,2139
2024-01-03,1865x1049,2138
2024-01-03,324x720,2136
2024-01-03,1050x590,2128
2024-01-03,2560x1067,2124
2024-01-03,1883x1059,2116
2024-01-03,1707x793,2108
2024-01-03,1920x1243,2104
2024-01-03,400x889,2090
2024-01-03,1371x771,2089
2024-01-03,360x840,2063
2024-01-03,1512x851,2059
2024-01-03,1918x975,2059
2024-01-03,970x1389,2050
2024-01-03,3840x1200,2049
2024-01-03,320x717,2047
2024-01-03,377x753,2038
2024-01-03,1216x811,2030
2024-01-03,1392x783,2029
2024-01-03,1536x961,2026
2024-01-03,347x791,2026
2024-01-03,1475x830,1963
2024-01-03,2049x1152,1949
2024-01-03,480x854,1946
2024-01-03,1639x922,1931
2024-01-03,378x819,1918
2024-01-03,883x412,1909
2024-01-03,1696x954,1896
2024-01-03,377x795,1895
2024-01-03,2304x1296,1884
2024-01-03,1289x725,1880
2024-01-03,832x384,1875
2024-01-03,3414x1440,1866
2024-01-03,873x393,1865
2024-01-03,1242x699,1857
2024-01-03,491x1091,1856
2024-01-03,1384x779,1838
2024-01-03,3000x3000,1831
2024-01-03,1433x806,1828
2024-01-03,1472x828,1826
2024-01-03,1143x643,1820
2024-01-03,1147x745,1817
2024-01-03,1334x750,1811
2024-01-03,424x895,1806
2024-01-03,1270x715,1785
2024-01-03,528x1174,1785
2024-01-03,712x320,1784
2024-01-03,1360x765,1774
2024-01-03,1313x739,1760
2024-01-03,424x949,1757
2024-01-03,463x1002,1750
2024-01-03,1260x709,1747
2024-01-03,1344x756,1739
2024-01-03,1966x823,1735
2024-01-03,240x320,1730
2024-01-03,360x747,1728
2024-01-03,408x907,1728
2024-01-03,960x432,1706
2024-01-03,1466x825,1688
2024-01-03,393x869,1679
2024-01-03,1228x691,1672
2024-01-03,869x412,1672
2024-01-03,1143x686,1664
2024-01-03,854x480,1660
2024-01-03,2560x1280,1659
2024-01-03,1525x858,1658
2024-01-03,320x682,1654
2024-01-03,1444x813,1648
2024-01-03,640x360,1636
2024-01-03,806x968,1633
2024-01-03,1720x720,1629
2024-01-03,1325x745,1621
2024-01-03,1186x667,1619
2024-01-03,1120x630,1604
2024-01-03,320x715,1598
