domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
tools.usps.com,34422612,25509112,63237538,1.8370929550610511,201.36847847452398,0.67138989917441472
reg.usps.com,3159185,2797652,4877021,1.5437592290416673,277.41528681571106,0.38276675788217529
www.gsaadvantage.gov,2774861,2798891,6335410,2.2831449935690471,12.19827386733858,0.031884479979357526
www.myhealth.va.gov,2741704,2714331,4034168,1.4714090215428071,53.422472560852704,0.87132929010571525
www.usps.com,2400259,2036912,4044864,1.6851781411922631,99.358102112339537,0.32967692236546137
www.nsopw.gov,2377504,2399611,9543612,4.0141307858998347,91.718570792190874,0.10234598974386584
radar.weather.gov,2228521,2101591,15881123,7.1263061914157415,811.42600932590767,0.62147002428965215
www.usajobs.gov,2119108,1933983,5014583,2.36636499885801,97.006223997934029,0.629354426485106
www.irs.gov,1763447,1715099,3465856,1.9653871083168364,100.91546405045742,0.62475821501865381
informeddelivery.usps.com,1629086,1192720,5010820,3.0758474383795575,166.92377269726765,0.02160229723906534
forecast.weather.gov,1307369,929839,8485604,6.4905959985283417,639.96320199845024,0.62413060123041009
studentaid.gov,1299090,1026072,10469121,8.0588111678174723,496.66574637589309,0.087298801468720419
www.cdc.gov,1114980,1105836,3099989,2.7803090638397103,165.72165311366649,0.43399343485981812
www.weather.gov,1100407,841074,5008049,4.5510879156530262,538.27213515745984,0.39652419513870779
www.fda.gov,1029131,1009947,2723435,2.64634434294565,108.66778867308052,0.5325104384184326
www.va.gov,1025856,1016706,1868649,1.821550977915029,71.053572976829116,0.70489912814274125
www.ssa.gov,956191,924616,1687131,1.764428864107694,150.40906796791751,0.49811282473899043
sam.gov,814011,754788,4077218,5.0087996353857624,93.453438387992279,0.041713195521927836
www.cisa.gov,726698,722281,930911,1.2810149470619157,38.373058560157077,0.97005496093287724
www.nlm.nih.gov,676304,684051,708542,1.0476679126546642,2.9948174276139139,0.99058559464382878
