date,page_title,event_label,file_name,page,total_events
2024-01-04,"About Form W-9, Request for Taxpayer Identification Number and Certification | Internal Revenue Service",file_download,/pub/irs-pdf/fw9.pdf,www.irs.gov/forms-pubs/about-form-w-9,28634
2024-01-04,"Small Entity Compliance Guide | FinCEN.gov",file_download,/sites/default/files/shared/boi_small_compliance_guide.v1.1-final.pdf,www.fincen.gov/boi/small-entity-compliance-guide,9426
2024-01-04,Passport Fees,file_download,/content/dam/passports/forms-fees/fee%20chart%202023.pdf,travel.state.gov/content/travel/en/passports/how-apply/fees.html,9295
2024-01-04,"Employment Eligibility Verification | USCIS",file_download,/sites/default/files/document/forms/i-9.pdf,www.uscis.gov/i-9,8984
2024-01-04,General Schedule,file_download,/policy-data-oversight/pay-leave/salaries-wages/salary-tables/24tables/pdf/dcb.pdf,www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2024/general-schedule,8774
2024-01-04,General Schedule,file_download,/policy-data-oversight/pay-leave/salaries-wages/salary-tables/24tables/pdf/rus.pdf,www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2024/general-schedule,8174
2024-01-04,"About Form W-4, Employee's Withholding Certificate | Internal Revenue Service",file_download,/pub/irs-pdf/fw4.pdf,www.irs.gov/forms-pubs/about-form-w-4,6385
2024-01-04,"Tax Withholding | Internal Revenue Service",file_download,/pub/irs-pdf/n1036.pdf,www.irs.gov/payments/tax-withholding,6312
2024-01-04,"Replace Social Security card | SSA",file_download,/forms/ss-5.pdf,www.ssa.gov/number-card/replace-card,5942
2024-01-04,"About Form 1040, U.S. Individual Income Tax Return | Internal Revenue Service",file_download,/pub/irs-pdf/f1040.pdf,www.irs.gov/forms-pubs/about-form-1040,5545
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/f1040.pdf,www.irs.gov/forms-instructions,5052
2024-01-04,"Affidavit of Support Under Section 213A of the INA | USCIS",file_download,/sites/default/files/document/forms/i-864.pdf,www.uscis.gov/i-864,4976
2024-01-04,"FMLA: Forms | U.S. Department of Labor",file_download,/sites/dolgov/files/whd/legacy/files/wh-380-e.pdf,www.dol.gov/agencies/whd/fmla/forms,4954
2024-01-04,"About Form 1099-NEC, Nonemployee Compensation | Internal Revenue Service",file_download,/pub/irs-pdf/f1099nec.pdf,www.irs.gov/forms-pubs/about-form-1099-nec,4926
2024-01-04,"About Form W-2, Wage and Tax Statement | Internal Revenue Service",file_download,/pub/irs-pdf/fw2.pdf,www.irs.gov/forms-pubs/about-form-w-2,4892
2024-01-04,"Forms & Instructions | Internal Revenue Service",file_download,/pub/irs-pdf/i1040gi.pdf,www.irs.gov/forms-instructions,4559
2024-01-04,Renew my Passport by Mail,file_download,/forms/ds82.pdf,travel.state.gov/content/travel/en/passports/have-passport/renew.html,4486
2024-01-04,How to Apply in Person for a Passport,file_download,/forms/ds11.pdf,travel.state.gov/content/travel/en/passports/need-passport/apply-in-person.html,4254
2024-01-04,"Beneficial Ownership Information Reporting | FinCEN.gov",file_download,/sites/default/files/shared/boi%20informational%20brochure%20508c.pdf,www.fincen.gov/boi,4075
2024-01-04,"About Form 1099-MISC, Miscellaneous Information | Internal Revenue Service",file_download,/pub/irs-pdf/f1099msc.pdf,www.irs.gov/forms-pubs/about-form-1099-misc,3996
2024-01-04,General Schedule,file_download,/policy-data-oversight/pay-leave/salaries-wages/salary-tables/24tables/pdf/gs.pdf,www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2024/general-schedule,3929
2024-01-04,"Application for Employment Authorization | USCIS",file_download,/sites/default/files/document/forms/i-765.pdf,www.uscis.gov/i-765,3909
2024-01-04,"Application to Register Permanent Residence or Adjust Status | USCIS",file_download,/sites/default/files/document/forms/i-485.pdf,www.uscis.gov/i-485,3828
2024-01-04,"Recordkeeping - Recordkeeping Forms | Occupational Safety and Health Administration",file_download,/sites/default/files/osha-rk-forms-package.pdf,www.osha.gov/recordkeeping/forms,3722
2024-01-04,"Boston/Norton, MA Weather Forecast Office Winter Weather Forecasts",file_download,/images/box/winter/stormtotalsnowweb.jpg,www.weather.gov/box/winter,3573
2024-01-04,Apply for a Child's U.S. Passport,file_download,/forms/ds11.pdf,travel.state.gov/content/travel/en/passports/need-passport/under-16.html,3568
2024-01-04,"Petition for Alien Relative | USCIS",file_download,/sites/default/files/document/forms/i-130.pdf,www.uscis.gov/i-130,2977
2024-01-04,"Change name with Social Security | SSA",file_download,/forms/ss-5.pdf,www.ssa.gov/personal-record/change-name,2932
2024-01-04,"About Form W-4V, Voluntary Withholding Request | Internal Revenue Service",file_download,/pub/irs-pdf/fw4v.pdf,www.irs.gov/forms-pubs/about-form-w-4-v,2924
2024-01-04,Astronomy Picture of the Day,file_download,/apod/image/2401/zetaoph_spitzer_4015.jpg,apod.nasa.gov/apod/astropix.html,2722
