domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
tools.usps.com,tools.usps.com/go/TrackConfirmAction,USPS.com® - USPS Tracking® Results,175651763,126859658,41122748,1.3846148237290692,171.74193047494396,0.516912713102222
tools.usps.com,tools.usps.com/go/TrackConfirmAction_input,USPS.com® - USPS Tracking® Results,172077548,137854682,53726725,1.2482531931704721,143.76776746692858,0.71359610404817442
www.time.gov,www.time.gov/,"National Institute of Standards and Technology | NIST",84090552,1266571,636538,66.392291470434742,5480.046422452051,0.32670888564478423
time.gov,time.gov/,"National Institute of Standards and Technology | NIST",72639584,670903,288571,108.27136560724874,8884.0348247349248,0.32556867386194427
informeddelivery.usps.com,informeddelivery.usps.com/box/pages/secure/DashboardAction_input.action,Informed Delivery,69452793,38515219,7172331,1.8032558246650499,139.83037450543193,0.065903896327319342
reg.usps.com,reg.usps.com/entreg/LoginAction_input,USPS.com® - Sign In,48787297,42294001,19010794,1.1535275889363128,65.027813792656616,0.25750216916105906
tools.usps.com,tools.usps.com/go/TrackConfirmAction.action,USPS.com® - USPS Tracking® Results,39112726,31254428,13242495,1.2514298773920931,137.3760588116821,0.67310251206645022
www.usps.com,www.usps.com/,"Welcome | USPS",38337381,30140169,16102673,1.27196967608244,75.4410073226582,0.1505468665421219
www.usps.com,www.usps.com/manage/informed-delivery.htm,"Informed Delivery - Mail & Package Notifications | USPS",35945379,32447672,8288147,1.107795314252437,45.984241744616888,0.072226013625877383
reg.usps.com,reg.usps.com/portal/login,USPS.com® - Sign In,30299198,27517507,4890637,1.1010880091717612,32.001429442707845,0.012020856395166903
informeddelivery.usps.com,informeddelivery.usps.com/box/pages/secure/packageDashboardAction,(not set),28379825,20017149,6463598,1.4177755783303607,113.98965732911149,0.089061584144675146
tools.usps.com,tools.usps.com/go/TrackConfirmAction_input,USPS.com® - USPS Tracking®,22646810,17411105,10038238,1.3007106671288238,71.161551295942232,0.1059213071197951
studentaid.gov,studentaid.gov/h/apply-for-aid/fafsa,Federal Student Aid,19902031,8764030,4839301,2.2708767541872859,145.96854891043648,0.18220613119763396
radar.weather.gov,radar.weather.gov/,NWS Radar,13675386,4780611,2810893,2.8605937609230283,352.20060701766289,0.42993416531903555
studentaid.gov,studentaid.gov/fsa-id/sign-in,Federal Student Aid,11863564,9290684,5962188,1.2769312786873388,118.11151566052851,0.022208698519936745
reg.usps.com,reg.usps.com/logout,USPS.com® - Sign Out,11670241,8843014,3992187,1.3197130525859169,332.78255290396368,0.036222943896730232
www.weather.gov,www.weather.gov/,National Weather Service,11328284,9195861,3174912,1.23188943373546,93.8073981577526,0.17371152086792091
www.ssa.gov,www.ssa.gov/,"The United States Social Security Administration | SSA",10343354,8338422,5496628,1.2404450146562502,149.24187229396418,0.27547634312583363
informeddelivery.usps.com,informeddelivery.usps.com/box/pages/secure/DashboardAction_input,Informed Delivery,9871502,8865783,2733536,1.1134382603318849,80.275805075785513,0.047846197002565934
www.myhealth.va.gov,www.myhealth.va.gov/mhv-portal-web/home,Home - My HealtheVet - My HealtheVet,9816984,6723743,4289808,1.4600474765320448,93.516105379787618,0.47772587381760429
