source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
(other),(other),1080212054,2475650499,571361925,2.2918189903850119,220.60076470557766,0.46170487743881444
(direct),Direct,80464625,285535302,70884723,3.5485817773959676,233.68678223856156,0.61654289695627118
google,Organic Search,9408586,79558165,6902362,8.4559109094607834,810.44542019970811,0.034662700643858707
(not set),Unassigned,872744,35138580,797332,40.262184558129306,4499.109711721916,0.99675391638326927
bing,Organic Search,848354,6773114,617885,7.983829863476803,703.07727295579434,0.017608215438366531
google,Paid Search,542253,2109300,456480,3.8898816604057513,419.99226499859293,0.0762227226036555
yahoo,Organic Search,182899,1558155,135974,8.5192100558231587,731.07200889916294,0.0030617991350417443
govdelivery,Email,847693,1302882,815141,1.5369738808743261,26.058623744472346,0.59042247606149867
other,Email,146092,757024,87153,5.1818306272759633,652.14299733607584,0.0681830627275963
duckduckgo,Organic Search,87851,575735,67845,6.5535395157710212,630.26253626319556,0.0028798761539424707
outfordelivery,Email,58803,319311,39854,5.4301821335646139,790.1564132923661,0.099722803258337156
expected,Email,62517,310592,38460,4.96812067117744,523.26457704261236,0.0850808580066222
adcouncil.org,Display,24110,179436,7933,7.4423890501866445,1803.5239097922026,0.1978846951472418
baidu,Organic Search,18279,159203,12782,8.709612123201488,556.32167542070135,0.039608293670332077
payment-confirmation,Email,24155,136547,12694,5.6529496998551023,520.10628891037049,0.028192920720347753
delivered,Email,22858,121319,16204,5.3075072184793068,493.86947291040332,0.033992475282176915
(unlinked SA360 account),Unassigned,16814,99190,12520,5.8992506244796,627.59514872879754,0.0051742595456167476
bing,Paid Search,24614,98056,23102,3.9837490858860809,391.30528504603069,0.022101243194929714
google-my-business-url,Unassigned,12972,97247,8153,7.49668516805427,1418.0910524389451,0.0023126734505087882
googlediscovery,Organic Social,94688,95930,94110,1.0131167624197364,11.632259485584235,0.97108398107468741
