date,browser,os_version,visits
2024-01-04,Chrome,10,187723
2024-01-04,Internet Explorer,2000,43927
2024-01-04,Edge,10,37925
2024-01-04,Firefox,10,3291
2024-01-04,Chrome,8,1159
2024-01-04,Chrome,7,744
2024-01-04,Opera,10,388
2024-01-04,Internet Explorer,10,183
2024-01-04,Chrome,8.1,169
2024-01-04,Firefox,7,146
2024-01-03,Chrome,10,706447
2024-01-03,Edge,10,260559
2024-01-03,Chrome,11,75878
2024-01-03,Internet Explorer,2000,48947
2024-01-03,Edge,11,44228
2024-01-03,Firefox,10,21113
2024-01-03,Chrome,8,12879
2024-01-03,Chrome,7,7718
2024-01-03,Chrome,8.1,4029
2024-01-03,Internet Explorer,8,1827
2024-01-03,Internet Explorer,10,1576
2024-01-03,Opera,10,1232
2024-01-03,Firefox,7,835
2024-01-03,Firefox,8,407
2024-01-03,Internet Explorer,7,397
2024-01-03,Edge,7,285
2024-01-03,Edge,8.1,212
2024-01-03,Firefox,8.1,183
2024-01-03,YaBrowser,10,102
2024-01-02,Chrome,10,489574
2024-01-02,Edge,10,235762
2024-01-02,Chrome,11,84351
2024-01-02,Edge,11,42143
2024-01-02,Internet Explorer,2000,32987
2024-01-02,Firefox,10,23287
2024-01-02,Chrome,8,12309
2024-01-02,Chrome,7,5751
2024-01-02,Chrome,8.1,3276
2024-01-02,Internet Explorer,8,1689
2024-01-02,Opera,10,1512
2024-01-02,Edge,8.1,814
2024-01-02,Firefox,7,609
2024-01-02,Internet Explorer,10,563
2024-01-02,Firefox,8,438
2024-01-02,Internet Explorer,7,339
2024-01-02,Edge,7,228
2024-01-02,Firefox,8.1,108
2024-01-01,Chrome,10,250951
2024-01-01,Edge,10,172966
2024-01-01,Chrome,11,74285
2024-01-01,Internet Explorer,2000,69778
2024-01-01,Edge,11,39419
2024-01-01,Firefox,10,20654
2024-01-01,Chrome,8,10933
2024-01-01,Chrome,7,5506
2024-01-01,Chrome,8.1,3110
2024-01-01,Opera,10,1877
2024-01-01,Internet Explorer,8,1030
2024-01-01,Edge,8.1,884
2024-01-01,Firefox,7,802
2024-01-01,Firefox,8,530
2024-01-01,Internet Explorer,7,407
2024-01-01,Internet Explorer,10,279
2024-01-01,Edge,7,230
2024-01-01,Firefox,8.1,171
2023-12-31,Chrome,10,196539
2023-12-31,Edge,10,174536
2023-12-31,Chrome,11,65269
2023-12-31,Edge,11,37378
2023-12-31,Firefox,10,17582
2023-12-31,Internet Explorer,2000,9953
2023-12-31,Chrome,8,7447
2023-12-31,Chrome,7,5197
2023-12-31,Chrome,8.1,2906
2023-12-31,Opera,10,1827
2023-12-31,Internet Explorer,8,919
2023-12-31,Edge,8.1,852
2023-12-31,Firefox,7,805
2023-12-31,Firefox,8,500
2023-12-31,Internet Explorer,10,476
2023-12-31,Internet Explorer,7,412
2023-12-31,Edge,7,246
2023-12-31,Firefox,8.1,135
2023-12-30,Chrome,10,204747
2023-12-30,Edge,10,186296
2023-12-30,Chrome,11,52965
2023-12-30,Internet Explorer,2000,42599
2023-12-30,Edge,11,30229
2023-12-30,Firefox,10,19284
2023-12-30,Chrome,8,14785
2023-12-30,Chrome,7,7383
2023-12-30,Chrome,8.1,3179
2023-12-30,Internet Explorer,8,2010
2023-12-30,Opera,10,1587
2023-12-30,Firefox,7,966
2023-12-30,Edge,8.1,835
2023-12-30,Firefox,8,476
2023-12-30,Internet Explorer,10,424
2023-12-30,Internet Explorer,7,406
2023-12-30,YaBrowser,10,321
2023-12-30,Edge,7,290
2023-12-30,Firefox,8.1,174
2023-12-30,Chrome,XP,146
2023-12-29,Chrome,10,419998
2023-12-29,Edge,10,220409
2023-12-29,Chrome,11,57026
2023-12-29,Internet Explorer,2000,41089
2023-12-29,Edge,11,34115
2023-12-29,Firefox,10,19446
2023-12-29,Chrome,8,14363
2023-12-29,Chrome,7,5941
2023-12-29,Chrome,8.1,3618
2023-12-29,Internet Explorer,8,2055
2023-12-29,Opera,10,1301
2023-12-29,Firefox,7,859
2023-12-29,Edge,8.1,833
2023-12-29,Internet Explorer,10,612
2023-12-29,Firefox,8,585
