date,browser,visits
2023-12-26,Chrome,15733631
2023-12-26,Safari,14461053
2023-12-26,Edge,2688187
2023-12-26,Safari (in-app),968742
2023-12-26,Firefox,645231
2023-12-26,Samsung Internet,605973
2023-12-26,Android Webview,443130
2023-12-26,Opera,66072
2023-12-26,Amazon Silk,57356
2023-12-26,Internet Explorer,46347
2023-12-26,(not set),38225
2023-12-26,Mozilla Compatible Agent,17757
2023-12-26,YaBrowser,6976
2023-12-26,UC Browser,3603
2023-12-26,Whale Browser,3486
2023-12-26,Opera Mini,2889
2023-12-26,Coc Coc,1387
2023-12-26,Mozilla,872
2023-12-26,Aloha Browser,721
2023-12-26,Android Runtime,695
2023-12-26,Iron,469
2023-12-26,Android Browser,441
2023-12-26,DuckDuckGo Browser,421
2023-12-26,PaleMoon,388
2023-12-26,SeaMonkey,324
2023-12-26,Phoenix Browser,220
2023-12-26,Meta Quest Browser,216
2023-12-26,Lynx,203
2023-12-26,Vivaldi,193
2023-12-25,Chrome,8595250
2023-12-25,Safari,8378991
2023-12-25,Edge,920663
2023-12-25,Safari (in-app),577436
2023-12-25,Samsung Internet,367282
2023-12-25,Firefox,353499
2023-12-25,Android Webview,302499
2023-12-25,Internet Explorer,81171
2023-12-25,Opera,49217
2023-12-25,Amazon Silk,40835
2023-12-25,(not set),33348
2023-12-25,Mozilla Compatible Agent,13217
2023-12-25,YaBrowser,6649
2023-12-25,UC Browser,3197
2023-12-25,Whale Browser,2730
2023-12-25,Opera Mini,2532
2023-12-25,Coc Coc,1296
2023-12-25,Mozilla,873
2023-12-25,Android Runtime,640
2023-12-25,Android Browser,580
2023-12-25,Aloha Browser,570
2023-12-25,PaleMoon,327
2023-12-25,DuckDuckGo Browser,279
2023-12-25,Meta Quest Browser,242
2023-12-25,Vivaldi,220
2023-12-25,SeaMonkey,216
2023-12-25,Phoenix Browser,193
2023-12-25,Lynx,164
2023-12-24,Safari,9953219
2023-12-24,Chrome,8705664
2023-12-24,Edge,971552
2023-12-24,Safari (in-app),634909
2023-12-24,Samsung Internet,408788
2023-12-24,Firefox,362723
2023-12-24,Android Webview,337471
2023-12-24,Opera,49012
2023-12-24,Amazon Silk,43378
2023-12-24,(not set),33159
2023-12-24,Internet Explorer,29841
2023-12-24,Mozilla Compatible Agent,16728
2023-12-24,YaBrowser,5878
2023-12-24,UC Browser,3331
2023-12-24,Opera Mini,2828
2023-12-24,Whale Browser,2346
2023-12-24,Coc Coc,1082
2023-12-24,Mozilla,842
2023-12-24,Android Runtime,582
2023-12-24,Aloha Browser,562
2023-12-24,Android Browser,490
2023-12-24,DuckDuckGo Browser,304
2023-12-24,PaleMoon,296
2023-12-24,SeaMonkey,210
2023-12-24,Phoenix Browser,183
2023-12-24,Meta Quest Browser,169
2023-12-24,Vivaldi,143
2023-12-24,Iron,108
2023-12-23,Safari,13744914
2023-12-23,Chrome,11828792
2023-12-23,Edge,1265299
2023-12-23,Safari (in-app),857724
2023-12-23,Samsung Internet,577174
2023-12-23,Firefox,464545
2023-12-23,Android Webview,416826
2023-12-23,Internet Explorer,79105
2023-12-23,Opera,58627
2023-12-23,Amazon Silk,57368
2023-12-23,(not set),38810
2023-12-23,Mozilla Compatible Agent,17139
2023-12-23,YaBrowser,5459
2023-12-23,UC Browser,3452
2023-12-23,Opera Mini,2802
2023-12-23,Whale Browser,2016
2023-12-23,Coc Coc,968
2023-12-23,Mozilla,860
2023-12-23,Android Browser,725
2023-12-23,Aloha Browser,677
2023-12-23,Lynx,670
2023-12-23,Android Runtime,665
2023-12-23,PaleMoon,386
2023-12-23,DuckDuckGo Browser,369
2023-12-23,SeaMonkey,301
2023-12-23,Phoenix Browser,191
2023-12-23,Meta Quest Browser,187
2023-12-23,Iron,183
2023-12-23,Vivaldi,147
2023-12-22,Chrome,17294600
2023-12-22,Safari,17103413
2023-12-22,Edge,2856711
2023-12-22,Safari (in-app),1033551
2023-12-22,Firefox,703400
2023-12-22,Samsung Internet,679085
2023-12-22,Android Webview,489859
2023-12-22,Internet Explorer,111834
2023-12-22,Opera,66974
2023-12-22,Amazon Silk,62284
2023-12-22,(not set),40287
2023-12-22,Mozilla Compatible Agent,19938
2023-12-22,YaBrowser,6799
2023-12-22,UC Browser,3328
2023-12-22,Opera Mini,2951
2023-12-22,Whale Browser,2582
2023-12-22,Coc Coc,1249
2023-12-22,Mozilla,864
2023-12-22,Android Runtime,813
2023-12-22,Lynx,792
2023-12-22,Aloha Browser,709
2023-12-22,PaleMoon,465
2023-12-22,DuckDuckGo Browser,461
2023-12-22,Android Browser,446
2023-12-22,Iron,381
2023-12-22,SeaMonkey,367
2023-12-22,Vivaldi,270
2023-12-22,Phoenix Browser,193
2023-12-22,Meta Quest Browser,185
2023-12-21,Chrome,19804378
2023-12-21,Safari,18045854
2023-12-21,Edge,3657825
2023-12-21,Safari (in-app),1078873
2023-12-21,Firefox,809756
2023-12-21,Samsung Internet,708270
2023-12-21,Android Webview,495622
2023-12-21,Opera,76277
2023-12-21,Amazon Silk,62887
2023-12-21,(not set),40198
2023-12-21,Internet Explorer,38496
2023-12-21,Mozilla Compatible Agent,20959
2023-12-21,YaBrowser,7471
2023-12-21,UC Browser,3369
2023-12-21,Whale Browser,3329
2023-12-21,Opera Mini,3082
2023-12-21,Coc Coc,1501
2023-12-21,Mozilla,956
2023-12-21,Aloha Browser,811
2023-12-21,Android Runtime,681
2023-12-21,Lynx,560
2023-12-21,Android Browser,544
2023-12-21,DuckDuckGo Browser,466
2023-12-21,PaleMoon,453
2023-12-21,SeaMonkey,440
2023-12-21,Iron,383
2023-12-21,Vivaldi,235
2023-12-21,Phoenix Browser,211
2023-12-21,Meta Quest Browser,178
2023-12-21,Waterfox,143
2023-12-21,Puffin,126
2023-12-20,Chrome,21099200
2023-12-20,Safari,18316154
2023-12-20,Edge,3857275
