date,language,visits
2023-12-26,English,32357326
2023-12-26,Spanish,2153145
2023-12-26,Chinese,280405
2023-12-26,French,153304
2023-12-26,Portuguese,96015
2023-12-26,German,93542
2023-12-26,Japanese,87935
2023-12-26,Russian,85625
2023-12-26,Korean,65162
2023-12-26,Turkish,50897
2023-12-26,Italian,48176
2023-12-26,Arabic,35462
2023-12-26,Dutch,25559
2023-12-26,Vietnamese,24335
2023-12-26,Polish,19821
2023-12-26,Indonesian,16614
2023-12-26,Swedish,14819
2023-12-26,Ukrainian,13658
2023-12-26,Hebrew,10505
2023-12-26,Thai,9166
2023-12-26,Danish,8474
2023-12-26,Norwegian Bokmål,8226
2023-12-26,Hungarian,7275
2023-12-26,Czech,6937
2023-12-26,Greek,6849
2023-12-26,(other),6543
2023-12-26,Finnish,6093
2023-12-26,Romanian,6010
2023-12-26,Persian,5912
2023-12-26,Catalan,4460
2023-12-26,Hindi,3389
2023-12-26,Slovak,3364
2023-12-26,Croatian,3174
2023-12-26,Serbian,2053
2023-12-26,Bulgarian,2007
2023-12-26,Slovenian,1535
2023-12-26,Lithuanian,1204
2023-12-26,Georgian,813
2023-12-26,Latvian,752
2023-12-26,Estonian,716
2023-12-26,Malay,692
2023-12-26,Bengali,657
2023-12-26,Azerbaijani,636
2023-12-26,Uzbek,611
2023-12-26,Bosnian,566
2023-12-26,Central Khmer,504
2023-12-26,Albanian,480
2023-12-26,Marathi,406
2023-12-26,Panjabi,347
2023-12-26,Tamil,337
2023-12-26,Gujarati,333
2023-12-26,Macedonian,316
2023-12-26,Afrikaans,302
2023-12-26,Burmese,294
2023-12-26,Amharic,270
2023-12-26,Telugu,255
2023-12-26,Icelandic,251
2023-12-26,Basque,214
2023-12-26,Galician,208
2023-12-26,Malayalam,175
2023-12-26,Urdu,155
2023-12-26,Armenian,142
2023-12-26,Kannada,141
2023-12-26,Corsican,137
2023-12-26,Irish,135
2023-12-26,Mongolian,135
2023-12-26,Somali,112
2023-12-26,Nepali,108
2023-12-26,Belarusian,90
2023-12-26,Samoan,88
2023-12-26,Swahili,87
