date,browser,os,visits
2023-12-26,Safari,iOS,12803143
2023-12-26,Chrome,Android,6062133
2023-12-26,Chrome,Windows,5591092
2023-12-26,Edge,Windows,2629158
2023-12-26,Safari,Macintosh,1660073
2023-12-26,Chrome,iOS,1642662
2023-12-26,Chrome,Macintosh,1190894
2023-12-26,Chrome,Linux,983101
2023-12-26,Safari (in-app),iOS,968742
2023-12-26,Samsung Internet,Android,593444
2023-12-26,Android Webview,Android,443130
2023-12-26,Firefox,Windows,430362
2023-12-26,Chrome,Chrome OS,276844
2023-12-26,Firefox,Macintosh,96945
2023-12-26,Firefox,Android,71297
2023-12-26,Amazon Silk,Android,57356
2023-12-26,Edge,Android,47513
2023-12-26,Internet Explorer,Windows,46270
2023-12-26,Firefox,Linux,45909
2023-12-26,Opera,Windows,42848
2023-12-26,(not set),(not set),34015
2023-12-26,Opera,Android,19785
2023-12-26,Mozilla Compatible Agent,Macintosh,16136
2023-12-26,Samsung Internet,Linux,13206
2023-12-26,Edge,Macintosh,10337
2023-12-26,Safari,Linux,7816
2023-12-26,YaBrowser,Windows,4505
2023-12-26,(not set),iOS,3417
2023-12-26,UC Browser,Android,3289
2023-12-26,Opera,Macintosh,3158
2023-12-26,Edge,Linux,2736
2023-12-26,Opera Mini,(not set),2190
2023-12-26,Whale Browser,Android,1674
2023-12-26,Whale Browser,Windows,1633
2023-12-26,YaBrowser,Android,1466
2023-12-26,Mozilla Compatible Agent,Linux,1289
2023-12-26,Coc Coc,Windows,1262
2023-12-26,Opera,Linux,949
2023-12-26,Samsung Internet,Tizen,826
2023-12-26,Android Runtime,Android,695
2023-12-26,YaBrowser,iOS,647
2023-12-26,Opera Mini,Android,629
2023-12-26,(not set),Android,623
2023-12-26,Firefox,OS/2,566
2023-12-26,Chrome,Fuchsia,515
2023-12-26,Safari,Windows,513
2023-12-26,Mozilla,Linux,510
2023-12-26,Aloha Browser,iOS,468
2023-12-26,Iron,iOS,467
2023-12-26,Android Browser,Android,441
2023-12-26,Firefox,Firefox OS,429
2023-12-26,DuckDuckGo Browser,iOS,348
2023-12-26,Safari,Playstation 4,328
2023-12-26,Mozilla,Windows,326
2023-12-26,PaleMoon,Windows,309
2023-12-26,UC Browser,iOS,297
2023-12-26,SeaMonkey,Windows,241
2023-12-26,YaBrowser,Macintosh,226
2023-12-26,Aloha Browser,Android,221
2023-12-26,Meta Quest Browser,Linux,215
2023-12-26,Lynx,(not set),203
2023-12-26,Phoenix Browser,Android,202
2023-12-26,Vivaldi,Windows,186
2023-12-26,Mozilla Compatible Agent,(not set),184
2023-12-26,Chrome,(not set),150
2023-12-26,(not set),Windows,142
2023-12-25,Safari,iOS,7435028
2023-12-25,Chrome,Android,4005532
2023-12-25,Chrome,Windows,2148136
2023-12-25,Chrome,iOS,1044504
2023-12-25,Safari,Macintosh,948922
2023-12-25,Edge,Windows,894189
2023-12-25,Chrome,Linux,751537
2023-12-25,Safari (in-app),iOS,577436
2023-12-25,Chrome,Macintosh,574635
2023-12-25,Samsung Internet,Android,359811
2023-12-25,Android Webview,Android,302499
2023-12-25,Firefox,Windows,219068
2023-12-25,Chrome,Chrome OS,175503
2023-12-25,Internet Explorer,Windows,81103
2023-12-25,Firefox,Android,50642
2023-12-25,Firefox,Macintosh,49804
2023-12-25,Amazon Silk,Android,40835
2023-12-25,Firefox,Linux,33546
2023-12-25,(not set),(not set),31127
2023-12-25,Opera,Windows,30352
2023-12-25,Edge,Android,24878
2023-12-25,Opera,Android,15802
2023-12-25,Mozilla Compatible Agent,Macintosh,11668
2023-12-25,Samsung Internet,Linux,9173
2023-12-25,Safari,Linux,7584
2023-12-25,Edge,Macintosh,5197
2023-12-25,YaBrowser,Windows,4526
2023-12-25,UC Browser,Android,2975
2023-12-25,(not set),iOS,2246
2023-12-25,Opera,Macintosh,1993
2023-12-25,Opera Mini,(not set),1918
2023-12-25,Edge,Linux,1653
2023-12-25,Whale Browser,Android,1564
2023-12-25,YaBrowser,Android,1304
2023-12-25,Mozilla Compatible Agent,Linux,1288
2023-12-25,Coc Coc,Windows,1194
2023-12-25,Whale Browser,Windows,1076
2023-12-25,Samsung Internet,Tizen,733
2023-12-25,Opera,Linux,716
2023-12-25,Android Runtime,Android,640
2023-12-25,Android Browser,Android,580
2023-12-25,YaBrowser,iOS,577
2023-12-25,Opera Mini,Android,558
2023-12-25,Mozilla,Linux,526
2023-12-25,Firefox,OS/2,513
2023-12-25,(not set),Android,441
2023-12-25,Chrome,Fuchsia,419
2023-12-25,Firefox,Firefox OS,350
2023-12-25,Safari,Windows,343
2023-12-25,Aloha Browser,iOS,341
2023-12-25,Mozilla,Windows,316
2023-12-25,Safari,Playstation 4,296
2023-12-25,PaleMoon,Windows,264
2023-12-25,Meta Quest Browser,Linux,240
2023-12-25,DuckDuckGo Browser,iOS,227
2023-12-25,UC Browser,iOS,226
2023-12-25,YaBrowser,Macintosh,219
2023-12-25,Vivaldi,Windows,216
2023-12-25,Aloha Browser,Android,195
2023-12-25,Phoenix Browser,Android,183
2023-12-25,Mozilla Compatible Agent,(not set),165
2023-12-25,Lynx,(not set),164
2023-12-25,SeaMonkey,Windows,163
2023-12-25,(not set),Windows,124
2023-12-24,Safari,iOS,8752323
2023-12-24,Chrome,Android,4259556
2023-12-24,Chrome,Windows,2100654
2023-12-24,Chrome,iOS,1147906
2023-12-24,Safari,Macintosh,1027738
2023-12-24,Edge,Windows,936804
2023-12-24,Chrome,Linux,703605
2023-12-24,Safari (in-app),iOS,634909
2023-12-24,Chrome,Macintosh,579074
2023-12-24,Samsung Internet,Android,398922
2023-12-24,Android Webview,Android,337471
2023-12-24,Firefox,Windows,234053
2023-12-24,Chrome,Chrome OS,180531
2023-12-24,Firefox,Android,53775
2023-12-24,Firefox,Macintosh,53469
2023-12-24,Amazon Silk,Android,43378
2023-12-24,Edge,Android,31947
2023-12-24,(not set),(not set),30984
2023-12-24,Internet Explorer,Windows,29788
2023-12-24,Opera,Windows,29560
2023-12-24,Firefox,Linux,27936
2023-12-24,Opera,Android,16067
2023-12-24,Mozilla Compatible Agent,Macintosh,11731
2023-12-24,Samsung Internet,Linux,10064
2023-12-24,Safari,Linux,6852
2023-12-24,Edge,Macintosh,5030
2023-12-24,YaBrowser,Windows,3698
2023-12-24,Mozilla Compatible Agent,(not set),3403
2023-12-24,UC Browser,Android,3055
2023-12-24,(not set),iOS,2200
2023-12-24,Opera Mini,(not set),2168
2023-12-24,Opera,Macintosh,1991
2023-12-24,Whale Browser,Android,1679
2023-12-24,Edge,Linux,1556
2023-12-24,YaBrowser,Android,1372
2023-12-24,Mozilla Compatible Agent,Linux,1285
2023-12-24,Samsung Internet,Tizen,1179
2023-12-24,Coc Coc,Windows,1014
2023-12-24,Opera,Linux,728
2023-12-24,Chrome,Fuchsia,642
2023-12-24,Opera Mini,Android,603
2023-12-24,Whale Browser,Windows,602
2023-12-24,Android Runtime,Android,582
2023-12-24,Firefox,OS/2,555
2023-12-24,YaBrowser,iOS,551
2023-12-24,Mozilla,Linux,532
2023-12-24,Android Browser,Android,490
2023-12-24,(not set),Android,445
2023-12-24,Firefox,Firefox OS,344
2023-12-24,Safari,Playstation 4,320
2023-12-24,Aloha Browser,iOS,317
2023-12-24,Safari,Windows,316
2023-12-24,Mozilla,Windows,279
2023-12-24,DuckDuckGo Browser,iOS,246
2023-12-24,PaleMoon,Windows,238
2023-12-24,UC Browser,iOS,233
2023-12-24,Aloha Browser,Android,194
2023-12-24,YaBrowser,Macintosh,186
2023-12-24,Phoenix Browser,Android,175
2023-12-24,Meta Quest Browser,Linux,168
2023-12-24,SeaMonkey,Windows,157
2023-12-24,Vivaldi,Windows,138
2023-12-24,(not set),Windows,113
2023-12-24,Iron,iOS,106
2023-12-23,Safari,iOS,12365542
2023-12-23,Chrome,Android,5632791
2023-12-23,Chrome,Windows,2770055
2023-12-23,Chrome,iOS,1554068
2023-12-23,Safari,Macintosh,1381752
2023-12-23,Edge,Windows,1217377
2023-12-23,Chrome,Linux,879094
2023-12-23,Safari (in-app),iOS,857724
2023-12-23,Chrome,Macintosh,743437
2023-12-23,Samsung Internet,Android,561677
